itemId,displayName,decisionStatus,oldShapeId,newShapeId,orderedCells,oldCoreCellLocal,technicalCoreCellLocal,coreCellStatus,defaultOrientation,evidence
I001,震雷符,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image
I002,五雷急符,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(0,1)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I003,震雷破壳印,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I004,五雷急令,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(0,1)","(1,0)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I005,照壳雷镜,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I006,天鼓槌,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(0,1)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I007,离火符,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image
I008,焚邪长符,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I009,离火焚邪印,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)",TECHNICAL_RESERVED,single,user_confirmed_i009_fix+authored_image
I010,风火令旗,APPROVED_CHANGE,shape_line2_v,shape_corner3,"(0,0);(1,0);(0,1)","(0,1)","(0,1)",TECHNICAL_RESERVED,corner,screenshot+authored_image
I011,照焚铜镜,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(0,1)","(1,0)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I012,长明灯,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I013,护身符,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image
I014,镇宅长符,APPROVED_CHANGE,shape_line3_h,shape_line3_v,"(0,0);(0,1);(0,2)","(1,0)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I015,中岳镇守章,APPROVED_CHANGE,shape_corner3,shape_line3_v,"(0,0);(0,1);(0,2)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I016,护坛令旗,APPROVED_CHANGE,shape_line2_v,shape_corner3,"(0,0);(1,0);(0,1)","(0,1)","(0,1)",TECHNICAL_RESERVED,corner,screenshot+authored_image
I017,照邪八卦镜,APPROVED_CHANGE,shape_line3_v,shape_line2_v,"(0,0);(0,1)","(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I018,镇山铜鼎,APPROVED_KEEP,shape_block2x2,shape_block2x2,"(0,0);(1,0);(0,1);(1,1)","(1,1)","(1,1)",TECHNICAL_RESERVED,block,screenshot+authored_image
I019,净水符,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image
I020,涤秽长符,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I021,玄水涤秽印,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(0,1)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I022,玄水流令,APPROVED_CHANGE,shape_line2_v,shape_line3_v,"(0,0);(0,1);(0,2)","(0,1)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I023,照秽水镜,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(0,1)","(1,0)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I024,净水盂,APPROVED_CHANGE,shape_corner3,shape_line2_h,"(0,0);(1,0)","(0,0)","(0,0)",TECHNICAL_RESERVED,horizontal,user_confirmed_authored_image_priority
I025,封煞符,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)",TECHNICAL_RESERVED,single,screenshot+authored_image
I026,太白斩符,APPROVED_CHANGE,shape_line2_h,shape_line3_v,"(0,0);(0,1);(0,2)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I027,太白斩煞印,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0)","(0,0)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I028,断煞令,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(0,1)","(1,0)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
I029,照煞镜,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)",TECHNICAL_RESERVED,single,user_confirmed_i029_fix+authored_image
I030,桃木剑,APPROVED_CHANGE,shape_line3_h,shape_line3_v,"(0,0);(0,1);(0,2)","(1,0)","(0,1)",TECHNICAL_RESERVED,vertical,screenshot+authored_image
