ruleId,category,subject,expected,result
ALPS-001,schema,schemaId,AuthoredLayoutPressureSourceAdapter.v1,PASS
ALPS-002,schema,schemaVersion,1,PASS
ALPS-003,status,Complete,1,PASS
ALPS-004,status,Unknown,2,PASS
ALPS-005,status,Invalid,3,PASS
ALPS-006,completeness,Complete,1,PASS
ALPS-007,completeness,Incomplete,2,PASS
ALPS-008,missing,disposition,Unknown+Incomplete+null,PASS
ALPS-009,malformed,disposition,Invalid+Incomplete+null,PASS
ALPS-010,precedence,InvalidOverUnknown,true,PASS
ALPS-011,presence,nullVsExplicitEmpty,distinct,PASS
ALPS-012,domain,exactDeclaredBoard,true,PASS
ALPS-013,usable,explicitEmptyAllowed,true,PASS
ALPS-014,connections,explicitEmptyAllowed,true,PASS
ALPS-015,connections,normalizeUndirectedEndpoints,YThenX,PASS
ALPS-016,clauses,noDefaultsOrInference,true,PASS
ALPS-017,validator,N01CPressureOnly,true,PASS
ALPS-018,evaluator,calls,0,PASS
ALPS-019,applicability,publicInputOutputRows,0,PASS
ALPS-020,p1,itemBuildReads,0,PASS
ALPS-021,realContent,mapEncounterRequirementReadinessRows,0,PASS
ALPS-022,canonical,format,sha256Colon64LowerHex,PASS
ALPS-023,canonical,ordering,OrdinalInvariantStable,PASS
ALPS-024,canonical,edgeEndpointSwapInsensitive,true,PASS
ALPS-025,canonical,presenceAndFieldSensitive,true,PASS
ALPS-026,immutability,defensiveReadOnly,true,PASS
