assertionId,category,expected,actual,result,labels
assignment_sha,freeze,31c724c15d2539c042acca0b37b9708cb386db73c12a8bce02ddc8a69928b5b3,31c724c15d2539c042acca0b37b9708cb386db73c12a8bce02ddc8a69928b5b3,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
semantic_inputs,freeze,39,39,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
output_manifest,whitelist,28,28,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
existing_modifications,whitelist,0,0,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
normal_stages,flow,9,9,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
boss_gate,flow,1,1,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
manual_challenge,flow,1,1,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
phase1_temporary_clear,flow,1,1,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
session_unlock,flow,1,1,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
chapter2_battle_starts,boundary,0,0,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
save_reward_drop_inventory,boundary,0/0/0/0,0/0/0/0,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
unity_batch,qa,PASS,PASS,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
boss_readiness_before_flow,boss_handoff,I007-I012 positive real requests + I031 owned/placed,I007-I012 positive real requests + I031 owned/placed,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
boss_not_ready_state,boss_handoff,BossGate and zero request consumed,BossGate and zero request consumed,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
boss_authored_surface,boss_handoff,AuthoredResetButton.onClick.Invoke exactly once,AuthoredResetButton.onClick.Invoke exactly once,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
direct_runtime_toggle,boss_handoff,0,0,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
bounded_handoff_diagnostic,boss_handoff,3 seconds,3 seconds,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
repair_status,status,AUTOMATED_QA_PASS / USER_RETEST_READY,AUTOMATED_QA_PASS / USER_RETEST_READY,PASS,PHASE1_DEV_VERTICAL_SLICE;NOT_CONTENT_FINAL;NOT_FORMAL_BOSS_COMPLETION
