assertionId,category,expected,actual,result
"assignment-sha256","source","db04bd4afe30c3eb5e40d2b62f5595dade6d100ea405b463debbac17d6c334f1","db04bd4afe30c3eb5e40d2b62f5595dade6d100ea405b463debbac17d6c334f1","PASS"
"read-input-assets--game-scripts-talismanbag-contracts-battle-battlestartrequest-cs","source","d207a8d3fa4f80b73356e840d794c2ba00842a7ec91fc2b4dd2fb9e6de2d0c79","d207a8d3fa4f80b73356e840d794c2ba00842a7ec91fc2b4dd2fb9e6de2d0c79","PASS"
"read-input-assets--game-scripts-talismanbag-contracts-battle-battleresultsnapshot-cs","source","ddad9bf73e8821f027a5af14816368ad2d44a30468c8bc7ccf0888b2fa9bca8e","ddad9bf73e8821f027a5af14816368ad2d44a30468c8bc7ccf0888b2fa9bca8e","PASS"
"read-input-docs-v0-4-reports-boneaspectcontentcatalog-csv","source","56bd2430adcaefb69ec2b51297f2ba2c561c63f953571e528d40080f6b6e660c","56bd2430adcaefb69ec2b51297f2ba2c561c63f953571e528d40080f6b6e660c","PASS"
"read-input-docs-v0-4-reports-boneaspectencounternodecatalog-csv","source","7d84bb15b4a878834d5f6ba2396b39c51cd7ebcbcc9f49b2b402b98db7afa3bb","7d84bb15b4a878834d5f6ba2396b39c51cd7ebcbcc9f49b2b402b98db7afa3bb","PASS"
"read-input-aggregate","protection","d7f13a98a439ab7d1a201bc02bf159241a6656691be7e2e880190080ab342683","d7f13a98a439ab7d1a201bc02bf159241a6656691be7e2e880190080ab342683","PASS"
"locked-count","protection","15","15","PASS"
"locked-aggregate","protection","7e780edae087eb746e54804b2f310da94efc4586d7a94ba5ad1e58ad5e65001f","7e780edae087eb746e54804b2f310da94efc4586d7a94ba5ad1e58ad5e65001f","PASS"
"governance-aggregate","protection","beb966f88802126703960ca47ef826fa3b5436d222e3a33fd0523668454b15e2","beb966f88802126703960ca47ef826fa3b5436d222e3a33fd0523668454b15e2","PASS"
"formal-v03-aggregate","protection","97601405b64b17f4dd1ff01fefd36e910fe5bbf50e95a12a41a8d2ca3c99cc7d","97601405b64b17f4dd1ff01fefd36e910fe5bbf50e95a12a41a8d2ca3c99cc7d","PASS"
"chapters","manifest","4","4","PASS"
"stages","manifest","40","40","PASS"
"encounter-nodes","manifest","12","12","PASS"
"boss-gates","manifest","4","4","PASS"
"manual-boss-challenges","manifest","4","4","PASS"
"normal-content-bindings","binding","0","0","PASS"
"duplicate-stage-ids","manifest","0","0","PASS"
"missing-hook-ids","hook","0","0","PASS"
"feature-default","isolation","False","False","PASS"
"dev-only-default","isolation","True","True","PASS"
"is-enabled-default","isolation","False","False","PASS"
"formal-flow-default","isolation","False","False","PASS"
"feature-disabled-reject","reducer","False","False","PASS"
"feature-disabled-no-mutation","reducer","True","True","PASS"
"feature-disabled-diagnostic","reducer","BLINE_FLOW_FEATURE_DISABLED","BLINE_FLOW_FEATURE_DISABLED","PASS"
"transition-open-session","transition","PASS","PASS","PASS"
"transition-select-chapter-1","transition","PASS","PASS","PASS"
"transition-enter-prepare-1","transition","PASS","PASS","PASS"
"request-initial-phase-1-1","reducer","Prepare","Prepare","PASS"
"transition-request-1-1","transition","PASS","PASS","PASS"
"projection-not-null-1-1","projection","True","True","PASS"
"projection-request-id-1-1","projection","req.1-1","req.1-1","PASS"
"projection-chapter-id-1-1","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-1","projection","1-1","1-1","PASS"
"projection-round-id-1-1","projection","1-1","1-1","PASS"
"projection-boss-flag-1-1","projection","False","False","PASS"
"projection-boss-profile-1-1","projection","","","PASS"
"projection-entry-source-1-1","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-1","projection","False","False","PASS"
"projection-dev-1-1","projection","True","True","PASS"
"projection-source-route-1-1","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-1","projection","","","PASS"
"projection-source-controller-1-1","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-stale-start-request","transition","PASS","PASS","PASS"
"transition-started-1-1","transition","PASS","PASS","PASS"
"transition-stale-result-request","transition","PASS","PASS","PASS"
"transition-stale-result-round","transition","PASS","PASS","PASS"
"transition-stale-result-stage","transition","PASS","PASS","PASS"
"transition-conflicting-result-flags","transition","PASS","PASS","PASS"
"transition-persistence-write-rejected","transition","PASS","PASS","PASS"
"transition-grant-rejected","transition","PASS","PASS","PASS"
"transition-accept-result-1-1","transition","PASS","PASS","PASS"
"transition-duplicate-result-noop","transition","PASS","PASS","PASS"
"transition-duplicate-result-conflict","transition","PASS","PASS","PASS"
"transition-settlement-1-1","transition","PASS","PASS","PASS"
"transition-drop-preview-1-1","transition","PASS","PASS","PASS"
"request-initial-phase-1-2","reducer","Prepare","Prepare","PASS"
"transition-request-1-2","transition","PASS","PASS","PASS"
"projection-not-null-1-2","projection","True","True","PASS"
"projection-request-id-1-2","projection","req.1-2","req.1-2","PASS"
"projection-chapter-id-1-2","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-2","projection","1-2","1-2","PASS"
"projection-round-id-1-2","projection","1-2","1-2","PASS"
"projection-boss-flag-1-2","projection","False","False","PASS"
"projection-boss-profile-1-2","projection","","","PASS"
"projection-entry-source-1-2","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-2","projection","False","False","PASS"
"projection-dev-1-2","projection","True","True","PASS"
"projection-source-route-1-2","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-2","projection","","","PASS"
"projection-source-controller-1-2","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-2","transition","PASS","PASS","PASS"
"transition-accept-result-1-2","transition","PASS","PASS","PASS"
"transition-settlement-1-2","transition","PASS","PASS","PASS"
"transition-drop-preview-1-2","transition","PASS","PASS","PASS"
"request-initial-phase-1-3","reducer","Prepare","Prepare","PASS"
"transition-request-1-3","transition","PASS","PASS","PASS"
"projection-not-null-1-3","projection","True","True","PASS"
"projection-request-id-1-3","projection","req.1-3","req.1-3","PASS"
"projection-chapter-id-1-3","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-3","projection","1-3","1-3","PASS"
"projection-round-id-1-3","projection","1-3","1-3","PASS"
"projection-boss-flag-1-3","projection","False","False","PASS"
"projection-boss-profile-1-3","projection","","","PASS"
"projection-entry-source-1-3","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-3","projection","False","False","PASS"
"projection-dev-1-3","projection","True","True","PASS"
"projection-source-route-1-3","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-3","projection","","","PASS"
"projection-source-controller-1-3","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-3","transition","PASS","PASS","PASS"
"transition-accept-result-1-3","transition","PASS","PASS","PASS"
"transition-settlement-1-3","transition","PASS","PASS","PASS"
"transition-drop-preview-1-3","transition","PASS","PASS","PASS"
"request-initial-phase-1-4","reducer","Prepare","Prepare","PASS"
"transition-request-1-4","transition","PASS","PASS","PASS"
"projection-not-null-1-4","projection","True","True","PASS"
"projection-request-id-1-4","projection","req.1-4","req.1-4","PASS"
"projection-chapter-id-1-4","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-4","projection","1-4","1-4","PASS"
"projection-round-id-1-4","projection","1-4","1-4","PASS"
"projection-boss-flag-1-4","projection","False","False","PASS"
"projection-boss-profile-1-4","projection","","","PASS"
"projection-entry-source-1-4","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-4","projection","False","False","PASS"
"projection-dev-1-4","projection","True","True","PASS"
"projection-source-route-1-4","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-4","projection","","","PASS"
"projection-source-controller-1-4","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-4","transition","PASS","PASS","PASS"
"transition-accept-result-1-4","transition","PASS","PASS","PASS"
"transition-settlement-1-4","transition","PASS","PASS","PASS"
"transition-drop-preview-1-4","transition","PASS","PASS","PASS"
"request-initial-phase-1-5","reducer","Prepare","Prepare","PASS"
"transition-request-1-5","transition","PASS","PASS","PASS"
"projection-not-null-1-5","projection","True","True","PASS"
"projection-request-id-1-5","projection","req.1-5","req.1-5","PASS"
"projection-chapter-id-1-5","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-5","projection","1-5","1-5","PASS"
"projection-round-id-1-5","projection","1-5","1-5","PASS"
"projection-boss-flag-1-5","projection","False","False","PASS"
"projection-boss-profile-1-5","projection","","","PASS"
"projection-entry-source-1-5","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-5","projection","False","False","PASS"
"projection-dev-1-5","projection","True","True","PASS"
"projection-source-route-1-5","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-5","projection","","","PASS"
"projection-source-controller-1-5","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-5","transition","PASS","PASS","PASS"
"transition-accept-result-1-5","transition","PASS","PASS","PASS"
"transition-settlement-1-5","transition","PASS","PASS","PASS"
"transition-drop-preview-1-5","transition","PASS","PASS","PASS"
"request-initial-phase-1-6","reducer","Prepare","Prepare","PASS"
"transition-request-1-6","transition","PASS","PASS","PASS"
"projection-not-null-1-6","projection","True","True","PASS"
"projection-request-id-1-6","projection","req.1-6","req.1-6","PASS"
"projection-chapter-id-1-6","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-6","projection","1-6","1-6","PASS"
"projection-round-id-1-6","projection","1-6","1-6","PASS"
"projection-boss-flag-1-6","projection","False","False","PASS"
"projection-boss-profile-1-6","projection","","","PASS"
"projection-entry-source-1-6","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-6","projection","False","False","PASS"
"projection-dev-1-6","projection","True","True","PASS"
"projection-source-route-1-6","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-6","projection","","","PASS"
"projection-source-controller-1-6","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-6","transition","PASS","PASS","PASS"
"transition-accept-result-1-6","transition","PASS","PASS","PASS"
"transition-settlement-1-6","transition","PASS","PASS","PASS"
"transition-drop-preview-1-6","transition","PASS","PASS","PASS"
"request-initial-phase-1-7","reducer","Prepare","Prepare","PASS"
"transition-request-1-7","transition","PASS","PASS","PASS"
"projection-not-null-1-7","projection","True","True","PASS"
"projection-request-id-1-7","projection","req.1-7","req.1-7","PASS"
"projection-chapter-id-1-7","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-7","projection","1-7","1-7","PASS"
"projection-round-id-1-7","projection","1-7","1-7","PASS"
"projection-boss-flag-1-7","projection","False","False","PASS"
"projection-boss-profile-1-7","projection","","","PASS"
"projection-entry-source-1-7","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-7","projection","False","False","PASS"
"projection-dev-1-7","projection","True","True","PASS"
"projection-source-route-1-7","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-7","projection","","","PASS"
"projection-source-controller-1-7","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-7","transition","PASS","PASS","PASS"
"transition-accept-result-1-7","transition","PASS","PASS","PASS"
"transition-settlement-1-7","transition","PASS","PASS","PASS"
"transition-drop-preview-1-7","transition","PASS","PASS","PASS"
"request-initial-phase-1-8","reducer","Prepare","Prepare","PASS"
"transition-request-1-8","transition","PASS","PASS","PASS"
"projection-not-null-1-8","projection","True","True","PASS"
"projection-request-id-1-8","projection","req.1-8","req.1-8","PASS"
"projection-chapter-id-1-8","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-8","projection","1-8","1-8","PASS"
