testId,initialPhase,action,expectedPhase,actualPhase,mutationExpectation,accepted,diagnosticCode,result
"feature-disabled","Disabled","OpenSession","Disabled","Disabled","UNCHANGED","false","BLINE_FLOW_FEATURE_DISABLED","PASS"
"open-session","Disabled","OpenSession","ChapterSelect","ChapterSelect","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"select-chapter-1","ChapterSelect","SelectChapter","ChapterSelect","ChapterSelect","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"enter-prepare-1","ChapterSelect","EnterPrepare","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-1","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"stale-start-request","BattleRequested","ConfirmBattleStarted","BattleRequested","BattleRequested","UNCHANGED","false","BLINE_FLOW_REQUEST_MISMATCH","PASS"
"started-1-1","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"stale-result-request","BattleRunning","AcceptBattleResult","BattleRunning","BattleRunning","UNCHANGED","false","BLINE_FLOW_REQUEST_MISMATCH","PASS"
"stale-result-round","BattleRunning","AcceptBattleResult","BattleRunning","BattleRunning","UNCHANGED","false","BLINE_FLOW_ROUND_MISMATCH","PASS"
"stale-result-stage","BattleRunning","AcceptBattleResult","BattleRunning","BattleRunning","UNCHANGED","false","BLINE_FLOW_STAGE_MISMATCH","PASS"
"conflicting-result-flags","BattleRunning","AcceptBattleResult","BattleRunning","BattleRunning","UNCHANGED","false","BLINE_RESULT_CONTRADICTORY_FLAGS","PASS"
"persistence-write-rejected","BattleRunning","AcceptBattleResult","BattleRunning","BattleRunning","UNCHANGED","false","BLINE_RESULT_PERSISTENCE_WRITE_REJECTED","PASS"
"grant-rejected","BattleRunning","AcceptBattleResult","BattleRunning","BattleRunning","UNCHANGED","false","BLINE_RESULT_GRANT_REJECTED","PASS"
"accept-result-1-1","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"duplicate-result-noop","Settlement","AcceptBattleResult","Settlement","Settlement","UNCHANGED","false","BLINE_FLOW_DUPLICATE_RESULT_NOOP","PASS"
"duplicate-result-conflict","Settlement","AcceptBattleResult","Settlement","Settlement","UNCHANGED","false","BLINE_FLOW_CONFLICTING_DUPLICATE_RESULT","PASS"
"settlement-1-1","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-1","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-2","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-2","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-2","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-2","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-2","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-3","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-3","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-3","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-3","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-3","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-4","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-4","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-4","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-4","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-4","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-5","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-5","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-5","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-5","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-5","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-6","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-6","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-6","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-6","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-6","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-7","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-7","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-7","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-7","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-7","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-8","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-8","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-8","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-8","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-8","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-9","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-9","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-9","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-9","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-1-9","DropCandidatePreview","ContinueFromDropCandidatePreview","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"open-boss-gate-1","BossGate","OpenBossGate","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"boss-request-from-gate-rejected-1","BossGate","RequestBattle","BossGate","BossGate","UNCHANGED","false","BLINE_FLOW_BOSS_MANUAL_CHALLENGE_REQUIRED","PASS"
"boss-gate-return-prepare-1","BossGate","ReturnToPrepareFromBossGate","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"boss-request-from-prepare-rejected-1","Prepare","RequestBattle","Prepare","Prepare","UNCHANGED","false","BLINE_FLOW_BOSS_MANUAL_CHALLENGE_REQUIRED","PASS"
"reopen-boss-gate-1","Prepare","OpenBossGate","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"confirm-manual-boss-1","BossGate","ConfirmManualBossChallenge","BossChallengeReady","BossChallengeReady","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-1-10","BossChallengeReady","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-1-10","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-1-10","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-1-10","Settlement","ContinueFromSettlement","ChapterComplete","ChapterComplete","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"return-chapter-select-1","ChapterComplete","ReturnToChapterSelect","ChapterSelect","ChapterSelect","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"select-chapter-2","ChapterSelect","SelectChapter","ChapterSelect","ChapterSelect","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"enter-prepare-2","ChapterSelect","EnterPrepare","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-1","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-1","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-1","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-1","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-1","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-2","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-2","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-2","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-2","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-2","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-3","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-3","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-3","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-3","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-3","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-4","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-4","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-4","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-4","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-4","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-5","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-5","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-5","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-5","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-5","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-6","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-6","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-6","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-6","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-6","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-7","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-7","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-7","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-7","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-7","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-8","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-8","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-8","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-8","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-8","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-9","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-9","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
