feedbackKey,category,feedbackKind,reuseChannel,playerSurface,sourceDataPath,developerDataPanelFieldKey,playerVisible,developerVisible,developerFieldsHiddenFromPlayer,writesFormalUi,writesFormalFlow,writesSceneLayout
energy.none,EnergyFeedback,failureFeedback,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.energy.none,formationCorePowerRange,True,True,True,False,False,False
energy.weakPulse,EnergyFeedback,mechanicFeedback,FloatingCombatText,MechanicFloatingText,BattleFeedbackReadabilityPreview.energy.weakPulse,formationCorePowerRange,True,True,True,False,False,False
energy.powered,EnergyFeedback,mechanicFeedback,FloatingCombatText,MechanicFloatingText,BattleFeedbackReadabilityPreview.energy.powered,formationCorePowerRange,True,True,True,False,False,False
energy.suppressed,EnergyFeedback,bossState,BossInfoPanel,BossStateText,BattleFeedbackReadabilityPreview.energy.suppressed,formationCorePowerRange,True,True,True,False,False,False
itemTrigger.damage,ItemTriggerFeedback,mechanicFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.legacy.damage,legacyItemBehavior,True,True,True,False,False,False
itemTrigger.shield,ItemTriggerFeedback,bossState,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.legacy.shield,legacyItemBehavior,True,True,True,False,False,False
itemTrigger.heal,ItemTriggerFeedback,mechanicFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.itemStat.heal,itemStatCombatPreview,True,True,True,False,False,False
itemTrigger.cleanse,ItemTriggerFeedback,mechanicFeedback,FloatingCombatText,MechanicFloatingText,BattleFeedbackReadabilityPreview.legacy.cleanse,legacyItemBehavior,True,True,True,False,False,False
itemTrigger.control,ItemTriggerFeedback,mechanicFeedback,FloatingCombatText,MechanicFloatingText,BattleFeedbackReadabilityPreview.legacy.control,legacyItemBehavior,True,True,True,False,False,False
itemTrigger.rhythm,ItemTriggerFeedback,mechanicFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.legacy.rhythm,legacyItemBehavior,True,True,True,False,False,False
bossCast.start,BossFeedback,bossSkillCast,CastBar,BossCastBar,BattleFeedbackReadabilityPreview.bossCast.start,bossCastState,True,True,True,False,False,False
bossCast.charging,BossFeedback,bossSkillCast,CastBar,BossCastBar,BattleFeedbackReadabilityPreview.bossCast.charging,bossCastState,True,True,True,False,False,False
bossCast.release,BossFeedback,bossSkillCast,CastBar,BossCastBar,BattleFeedbackReadabilityPreview.bossCast.release,bossCastState,True,True,True,False,False,False
boss.weaknessWindow,BossFeedback,weaknessWindow,DamageFeedback,MechanicFloatingText,BattleFeedbackReadabilityPreview.boss.weaknessWindow,bossWeaknessWindow,True,True,True,False,False,False
boss.pressure,BossFeedback,enemyState,BossInfoPanel,BossStateText,BattleFeedbackReadabilityPreview.boss.pressure,bossPressure,True,True,True,False,False,False
build.effective,BuildFeedback,weaknessWindow,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.build.effective,maskedBuildReadiness,True,True,True,False,False,False
build.partial,BuildFeedback,mechanicFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.build.partial,maskedBuildReadiness,True,True,True,False,False,False
build.missingCounter,BuildFeedback,failureFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.build.missingCounter,maskedBuildGap,True,True,True,False,False,False
build.overloaded,BuildFeedback,failureFeedback,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.build.overloaded,maskedBuildGap,True,True,True,False,False,False
build.suppressed,BuildFeedback,failureFeedback,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.build.suppressed,maskedBuildGap,True,True,True,False,False,False
failure.damageTooLow,FailureHint,failureFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.failure.damageTooLow,maskedFailureHint,True,True,True,False,False,False
failure.shieldBreakMissing,FailureHint,failureFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.failure.shieldBreakMissing,maskedFailureHint,True,True,True,False,False,False
failure.cleanseMissing,FailureHint,failureFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.failure.cleanseMissing,maskedFailureHint,True,True,True,False,False,False
failure.controlMissing,FailureHint,failureFeedback,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.failure.controlMissing,maskedFailureHint,True,True,True,False,False,False
failure.energyDisconnected,FailureHint,failureFeedback,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.failure.energyDisconnected,maskedFailureHint,True,True,True,False,False,False
failure.keyItemUnpowered,FailureHint,failureFeedback,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.failure.keyItemUnpowered,maskedFailureHint,True,True,True,False,False,False
