feedbackKey,category,feedbackKind,energyState,triggerFamily,playerTextChinese,stateLineChinese,castSkillLineChinese,floatingTextChinese,combatLogLineChinese,reuseChannel,playerSurface,sourceDataPath,developerDataPanelFieldKey,playerVisible,developerVisible,developerFieldsHiddenFromPlayer,fuzzyHint,legacyItemBehavior,usesBossStateText,usesCastBar,usesFloatingFeedback,usesCombatLog,playerTextLeak,formalLeak
energy.none,EnergyFeedback,failureFeedback,None,,供能断开，道具沉寂。,机制反馈：供能断开,灵力未起,道具沉寂,【供能】供能断开，道具沉寂。,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.energy.none,formationCorePowerRange,True,True,True,True,False,False,False,True,True,False,False
energy.weakPulse,EnergyFeedback,mechanicFeedback,WeakPulse,,符阵微亮，效果较弱。,机制反馈：阵眼微亮,灵力微动,符阵微亮,【供能】符阵微亮，效果较弱。,FloatingCombatText,MechanicFloatingText,BattleFeedbackReadabilityPreview.energy.weakPulse,formationCorePowerRange,True,True,True,True,False,False,False,True,True,False,False
energy.powered,EnergyFeedback,mechanicFeedback,Powered,,聚能石连通，符阵供能稳定。,机制反馈：供能稳定,符阵供能稳定,灵力扩散,【供能】聚能石连通，符阵供能稳定。,FloatingCombatText,MechanicFloatingText,BattleFeedbackReadabilityPreview.energy.powered,formationCorePowerRange,True,True,True,True,False,False,False,True,True,False,False
energy.suppressed,EnergyFeedback,bossState,Suppressed,,灵力被压住，道具暂不回应。,机制反馈：阵势受压,灵力被压住,道具无光,【供能】灵力被压住，道具暂不回应。,BossInfoPanel,BossStateText,BattleFeedbackReadabilityPreview.energy.suppressed,formationCorePowerRange,True,True,True,True,False,True,False,True,True,False,False
itemTrigger.damage,ItemTriggerFeedback,mechanicFeedback,,damage,火符燃起，造成火焰伤害。,道具反馈：火符燃起,火焰回响,火符燃起,【道具】火符燃起，造成火焰伤害。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.legacy.damage,legacyItemBehavior,True,True,True,True,True,False,False,True,True,False,False
itemTrigger.shield,ItemTriggerFeedback,bossState,,shield,护身符撑开，护盾回稳。,玩家：护盾回稳,护阵撑开,护盾回稳,【道具】护身符撑开，护盾回稳。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.legacy.shield,legacyItemBehavior,True,True,True,True,True,True,False,True,True,False,False
itemTrigger.heal,ItemTriggerFeedback,mechanicFeedback,,heal,丹药化开，气血回稳。,玩家：气血回稳,回气入身,气血回稳,【道具】丹药化开，气血回稳。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.itemStat.heal,itemStatCombatPreview,True,True,True,True,False,False,False,True,True,False,False
itemTrigger.cleanse,ItemTriggerFeedback,mechanicFeedback,,cleanse,净化符亮起，污痕退散。,机制反馈：污痕退散,净化回响,污痕退散,【道具】净化符亮起，污痕退散。,FloatingCombatText,MechanicFloatingText,BattleFeedbackReadabilityPreview.legacy.cleanse,legacyItemBehavior,True,True,True,True,True,False,False,True,True,False,False
itemTrigger.control,ItemTriggerFeedback,mechanicFeedback,,control,镇魂符压住节奏。,机制反馈：节奏被压住,镇魂回响,节奏放缓,【道具】镇魂符压住节奏。,FloatingCombatText,MechanicFloatingText,BattleFeedbackReadabilityPreview.legacy.control,legacyItemBehavior,True,True,True,True,True,False,False,True,True,False,False
itemTrigger.rhythm,ItemTriggerFeedback,mechanicFeedback,,rhythm,醒符香散开，节奏略微加快。,道具反馈：节奏回响,香气散开,节奏微快,【道具】醒符香散开，节奏略微加快。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.legacy.rhythm,legacyItemBehavior,True,True,True,True,True,False,False,True,True,False,False
