id,marker,result,detail
"AUI-01","PROTECTED_HASHES_PASS","PASS","verified"
"AUI-02","BUILDQUALIFICATION_MATRIX_30_PASS","PASS","verified"
"AUI-03","BUILDQUALIFICATION_VARIATION_IS_AUTHORITY_PASS","PASS","verified"
"AUI-04","AUTHORING_PREVIEW_EXPLICIT_ENABLE_DISABLE_PASS","PASS","verified"
"AUI-05","FULL_BATTLESANDBOX_UI_EDITMODE_VISIBLE_PASS","PASS","verified"
"AUI-06","ITEMDETAIL_ALL_EXISTING_FIELDS_VISIBLE_PASS","PASS","verified"
"AUI-07","FOUR_CORE_ROWS_VISIBLE_PASS","PASS","verified"
"AUI-08","FAMEN_QILEI_SIMULTANEOUS_AUTHORING_PASS","PASS","verified"
"AUI-09","NO_RUNTIME_DATA_OVERRIDE_PASS","PASS","verified"
"AUI-10","RUNTIME_INITIAL_PANEL_HIDDEN_PASS","PASS","verified"
"AUI-11","NO_HIERARCHY_OR_GEOMETRY_REWRITE_PASS","PASS","verified"
"AUI-12","LEAKCHECK_PASS","PASS","verified"
"AUI-13","PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS","PASS","verified"
