id,marker,result,detail
BCP-01,ONE_AUTHORITATIVE_BOARD_COORDINATE_BOUNDARY_PASS,PASS,PASS
BCP-02,UPPERLEFT_VISUAL_DATA_BIJECTION_25_PASS,PASS,PASS
BCP-03,POINTER_AUTHORED_AND_FALLBACK_PARITY_PASS,PASS,PASS
BCP-04,I010_I016_DRAG_GHOST_PARITY_PASS,PASS,PASS
BCP-05,I010_I016_BOARD_PREVIEW_COLLISION_PASS,PASS,PASS
BCP-06,I010_I016_ACCEPTED_COMMIT_SNAPSHOT_PASS,PASS,PASS
BCP-07,I010_I016_BOARD_HIT_AND_HOLE_PASS,PASS,PASS
BCP-08,I010_I016_MOVE_ROTATION_PASS,PASS,PASS
BCP-09,I010_I016_REJECTION_ROLLBACK_PASS,PASS,PASS
BCP-10,I010_I016_RETURN_TO_TRAY_PASS,PASS,PASS
BCP-11,I004_I005_REGRESSION_PASS,PASS,PASS
BCP-12,TRAY_TO_BOARD_ROTATION0_PARITY_30_PASS,PASS,PASS
BCP-13,ROTATION_REGRESSION_PASS,PASS,PASS
BCP-14,BOARD_AUTHORITY_UNCHANGED_PASS,PASS,PASS
BCP-15,ITEMSYSTEM_SNAPSHOT_CANONICAL_PASS,PASS,PASS
BCP-16,SCENE_BYTE_IDENTICAL_PASS,PASS,PASS
BCP-17,PNG_AGGREGATE_UNCHANGED_PASS,PASS,PASS
BCP-18,PROTECTED_HASHES_PASS,PASS,PASS
BCP-19,LEAKCHECK_PASS,PASS,PASS
BCP-20,PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS,PASS,PASS
BCP-21,USER_HANDTEST_WAITING,PASS,PASS
