baseItemId,displayName,rootSeed,rollTarget,buildQualification,eligibleFaMenBuildId,eligibleQiLeiBuildId,expectedFaMenVisible,expectedQiLeiVisible,authorityResult,runtimeProjectionResult,userVisualConfirmation
"I001","震雷符",404310001,41,"QiLeiOnly","","qilei:fu","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","PRIOR_USER_OBSERVATION_MATCHES_AUTHORITY"
"I002","五雷急符",404310002,80,"Dual","famen:zhenlei","qilei:fu","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I003","震雷破壳印",404310003,44,"QiLeiOnly","","qilei:yin","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I004","五雷急令",404310004,77,"Dual","famen:zhenlei","qilei:ling","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","PRIOR_USER_OBSERVATION_MATCHES_AUTHORITY"
"I005","照壳雷镜",404310005,28,"QiLeiOnly","","qilei:jing","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I006","天鼓槌",404310006,3,"None","","","false","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I007","离火符",404310007,77,"Dual","famen:lihuo","qilei:fu","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","PRIOR_USER_OBSERVATION_MATCHES_AUTHORITY"
"I008","焚邪长符",404310008,27,"QiLeiOnly","","qilei:fu","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I009","离火焚邪印",404310009,19,"FaMenOnly","famen:lihuo","","true","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","PRIOR_USER_OBSERVATION_MATCHES_AUTHORITY"
"I010","风火令旗",404310010,78,"Dual","famen:lihuo","qilei:ling","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I011","照焚铜镜",404310011,4,"None","","","false","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I012","长明灯",404310012,64,"Dual","famen:lihuo","qilei:fa","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I013","护身符",404310013,96,"Dual","famen:zhongyue","qilei:fu","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I014","镇宅长符",404310014,55,"Dual","famen:zhongyue","qilei:fu","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I015","中岳镇守章",404310015,32,"QiLeiOnly","","qilei:yin","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I016","护坛令旗",404310016,5,"FaMenOnly","famen:zhongyue","","true","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I017","照邪八卦镜",404310017,35,"QiLeiOnly","","qilei:jing","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I018","镇山铜鼎",404310018,23,"FaMenOnly","famen:zhongyue","","true","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I019","净水符",404310019,13,"FaMenOnly","famen:xuanshui","","true","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I020","涤秽长符",404310020,36,"QiLeiOnly","","qilei:fu","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I021","玄水涤秽印",404310021,23,"FaMenOnly","famen:xuanshui","","true","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I022","玄水流令",404310022,30,"QiLeiOnly","","qilei:ling","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I023","照秽水镜",404310023,82,"Dual","famen:xuanshui","qilei:jing","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I024","净水盂",404310024,63,"Dual","famen:xuanshui","qilei:fa","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I025","封煞符",404310025,90,"Dual","famen:taibai","qilei:fu","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I026","太白斩符",404310026,47,"Dual","famen:taibai","qilei:fu","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I027","太白斩煞印",404310027,92,"Dual","famen:taibai","qilei:yin","true","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I028","断煞令",404310028,2,"None","","","false","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I029","照煞镜",404310029,40,"QiLeiOnly","","qilei:jing","false","true","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
"I030","桃木剑",404310030,15,"FaMenOnly","famen:taibai","","true","false","AUTHORITY_GENERATION_PASS","RUNTIME_PROJECTION_PATH_PASS","WAITING"
