feedbackId,feedbackKind,bossDisplayNameChinese,stateLineChinese,castSkillLineChinese,floatingTextChinese,combatLogLineChinese,reuseSourceComponent,reuseLanguagePattern,sourceDataPath,developerDataPanelFieldKey,castDurationSeconds,devOnly,isEnabled,playerVisible,developerPanelVisible,playerShowsCompleteAnswer,usesFloatingCombatTextLanguage,usesEnemyCastBarLanguage,usesBossInfoLanguage,runsFormalCombat,callsFormalDamageSettlement,writesFormalFlow,writesFormalSaveData,grantsFormalReward,advancesChapter,opensFeatureFlag,formalLeak
bossState.dev_boss_shield_jinglei,bossState,首领,首领：首领气息翻涌,首领正在蓄力,首领气息翻涌,【状态】首领气息翻涌，注意下一次施法。,BossInfoPanel,Boss state headline / threat short line,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,2.60,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False
bossState.dev_boss_swarm_lihuo,bossState,首领,首领：护盾正在变厚,首领正在蓄力,护盾正在变厚,【状态】护盾正在变厚，注意下一次施法。,BossInfoPanel,Boss state headline / threat short line,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,3.00,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False
bossState.dev_boss_burst_huzhen,bossState,首领,首领：阵眼开始发亮,首领正在蓄力,阵眼开始发亮,【状态】阵眼开始发亮，注意下一次施法。,BossInfoPanel,Boss state headline / threat short line,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,3.40,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False
bossState.dev_boss_debuff_jinge,bossState,首领,首领：怒意正在升高,首领正在蓄力,怒意正在升高,【状态】怒意正在升高，注意下一次施法。,BossInfoPanel,Boss state headline / threat short line,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,2.60,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False
bossState.dev_boss_caster_zhenhun,bossState,首领,首领：灵压逼近边线,首领正在蓄力,灵压逼近边线,【状态】灵压逼近边线，注意下一次施法。,BossInfoPanel,Boss state headline / threat short line,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,3.00,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False
bossState.dev_boss_energy_juneng,bossState,首领,首领：毒火绕场蔓延,首领正在蓄力,毒火绕场蔓延,【状态】毒火绕场蔓延，注意下一次施法。,BossInfoPanel,Boss state headline / threat short line,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,3.40,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False
bossState.dev_boss_hybrid_combo,bossState,首领,首领：召唤预兆出现,首领正在蓄力,召唤预兆出现,【状态】召唤预兆出现，注意下一次施法。,BossInfoPanel,Boss state headline / threat short line,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,2.60,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False
bossCast.dev_boss_black_furnace_shell,bossSkillCast,黑炉护壳师,黑炉护壳师：正在准备技能,施法中：锁阵冲击,施法预兆,【施法】锁阵冲击 即将落下。,V02EnemyIntentUI,Enemy intent title + remaining cast timer,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.20,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
bossCast.dev_boss_dirty_dream_mother,bossSkillCast,秽签梦母,秽签梦母：正在准备技能,施法中：裂甲咒阵,施法预兆,【施法】裂甲咒阵 即将落下。,V02EnemyIntentUI,Enemy intent title + remaining cast timer,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.65,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
bossCast.dev_boss_spirit_thief_core,bossSkillCast,偷灵炉心,偷灵炉心：正在准备技能,施法中：魂火压境,施法预兆,【施法】魂火压境 即将落下。,V02EnemyIntentUI,Enemy intent title + remaining cast timer,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,3.10,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
bossCast.dev_boss_bronze_formation_general,bossSkillCast,叩阵铜将,叩阵铜将：正在准备技能,施法中：封印阵眼,施法预兆,【施法】封印阵眼 即将落下。,V02EnemyIntentUI,Enemy intent title + remaining cast timer,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,3.55,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
bossCast.dev_boss_paper_faces,bossSkillCast,纸人千面阵,纸人千面阵：正在准备技能,施法中：回春护幕,施法预兆,【施法】回春护幕 即将落下。,V02EnemyIntentUI,Enemy intent title + remaining cast timer,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.20,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
bossCast.dev_boss_black_furnace_complex_eye,bossSkillCast,黑炉复合阵眼,黑炉复合阵眼：正在准备技能,施法中：怒意爆发,施法预兆,【施法】怒意爆发 即将落下。,V02EnemyIntentUI,Enemy intent title + remaining cast timer,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.65,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
weakness.weak_black_shell_break_3,weaknessWindow,黑炉护壳师,黑炉护壳师：破绽窗口出现,破绽窗口,破绽窗口出现,【破绽】破绽窗口出现，抓住短暂节奏。,FloatingCombatText,Short floating combat feedback rhythm,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,1.80,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
weakness.weak_dirty_mother_cleanse_3,weaknessWindow,秽签梦母,秽签梦母：护盾露出裂口,破绽窗口,护盾露出裂口,【破绽】护盾露出裂口，抓住短暂节奏。,FloatingCombatText,Short floating combat feedback rhythm,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,1.80,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
weakness.weak_spirit_core_interrupt,weaknessWindow,偷灵炉心,偷灵炉心：首领短暂停顿,破绽窗口,首领短暂停顿,【破绽】首领短暂停顿，抓住短暂节奏。,FloatingCombatText,Short floating combat feedback rhythm,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,1.80,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
weakness.weak_bronze_general_counter,weaknessWindow,叩阵铜将,叩阵铜将：反制时机已到,破绽窗口,反制时机已到,【破绽】反制时机已到，抓住短暂节奏。,FloatingCombatText,Short floating combat feedback rhythm,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,1.80,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
weakness.weak_paper_faces_clear_all,weaknessWindow,纸人千面阵,纸人千面阵：弱点正在显形,破绽窗口,弱点正在显形,【破绽】弱点正在显形，抓住短暂节奏。,FloatingCombatText,Short floating combat feedback rhythm,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,1.80,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
weakness.weak_complex_eye_counter_loop,weaknessWindow,黑炉复合阵眼,黑炉复合阵眼：压制机会打开,破绽窗口,压制机会打开,【破绽】压制机会打开，抓住短暂节奏。,FloatingCombatText,Short floating combat feedback rhythm,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,1.80,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_black_furnace_smoke,mechanicFeedback,首领,机制反馈：阵面压力升高,机制变化,阵面压力升高,【机制】阵面压力升高。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
