rowType,itemId,displayNameChinese,itemEffectKey,effectFamilyKey,effectFamilyChinese,effectRoleChinese,statProfileId,statTag,dealsEnemyDamage,supportOnly,restoresMana,grantsShield,cleanses,controlsBoss,breaksShield,runtimeRows,effectRows,enemyHpDamageTotal,expectedAttackDamage,expectedSupportNoDamage,playerSideAnswerLeakCount,sampleFloatingChinese,sampleLogChinese,sourceDataPath,passed
profile,preview_stone_core,炉芯石,stone_core,energy,供能,供能,stat_stone_core_square_4,core_square,False,True,True,False,False,False,False,56,28,0,False,True,0,供能 +22,【供能】炉芯石炉芯供能，灵气 +22,BattleSandboxItemEffectRuntimePreviewCatalog.stone_core,True
profile,preview_soul_seal,镇魂法印,soul_seal,control,镇魂,控制,stat_soul_seal_square_4,soul_seal_core_square,False,True,False,False,False,True,False,56,24,0,False,True,0,镇魂待发,【冷却】镇魂法印 2.6秒，控制待发,BattleSandboxItemEffectRuntimePreviewCatalog.soul_seal,True
profile,preview_taomu_sword,桃木剑,taomu_sword,peach,桃木,破邪,stat_taomu_sword_vertical_3,taomu_sword_vertical_3,True,False,False,False,False,False,False,50,26,132,True,False,0,桃木待发,【冷却】桃木剑 2.4秒，破邪待发,BattleSandboxItemEffectRuntimePreviewCatalog.taomu_sword,True
profile,preview_cleanse_corner,净化折符,cleanse_corner,cleanse,净化,净化,stat_cleanse_corner_3,cleanse_corner,False,True,False,False,True,False,False,56,24,0,False,True,0,净化待发,【冷却】净化折符 2.1秒，净化待发,BattleSandboxItemEffectRuntimePreviewCatalog.cleanse_corner,True
profile,preview_old_bell,镇邪铃,old_bell,control,镇魂,控制,stat_old_bell_corner_3,old_bell_control_corner,False,True,False,False,False,True,False,56,24,0,False,True,0,镇魂待发,【冷却】镇邪铃 2.4秒，控制待发,BattleSandboxItemEffectRuntimePreviewCatalog.old_bell,True
profile,preview_x2_wood_talisman,护阵木牌,guard_wood_plate,guard,护阵,防御,stat_guard_wood_vertical_2,guard_ward_vertical,False,True,False,True,False,False,False,56,24,0,False,True,0,护阵待发,【冷却】护阵木牌 2.2秒，防御待发,BattleSandboxItemEffectRuntimePreviewCatalog.guard_wood_plate,True
profile,preview_guard_wood,守护木牌,guard_wood,guard,护阵,防御,stat_guard_wood_vertical_2,guard_ward_vertical,False,True,False,True,False,False,False,56,24,0,False,True,0,护阵待发,【冷却】守护木牌 2.2秒，防御待发,BattleSandboxItemEffectRuntimePreviewCatalog.guard_wood,True
profile,preview_energy_incense,醒符香,energy_incense,energy,供能,供能,stat_energy_incense_vertical_2,energy_vertical,False,True,True,False,False,False,False,50,16,0,False,True,0,灵力流动 +26,【供能】醒符香香气牵动灵力，灵气 +26,BattleSandboxItemEffectRuntimePreviewCatalog.energy_incense,True
profile,preview_fire_talisman,炽火符,fire_burst,fire,火焰,攻击,stat_fire_talisman_single_1,fire_damage_single,True,False,False,False,False,False,False,54,26,132,True,False,0,火焰待发,【冷却】炽火符 1.4秒，攻击待发,BattleSandboxItemEffectRuntimePreviewCatalog.fire_burst,True
profile,preview_thunder_sword,雷引剑符,thunder_sword,thunder,雷击,破盾,stat_thunder_sword_single_1,thunder_break_single,True,False,False,False,False,False,True,49,26,132,True,False,0,雷击待发,【冷却】雷引剑符 1.9秒，破盾待发,BattleSandboxItemEffectRuntimePreviewCatalog.thunder_sword,True
profile,fire_talisman_basic,火符,fire_basic,fire,火焰,攻击,stat_v02_fire_talisman_single_1,v02_fire_damage_single,True,False,False,False,False,False,False,36,17,132,True,False,0,火焰待发,【冷却】火符 1.5秒，攻击待发,BattleSandboxItemEffectRuntimePreviewCatalog.fire_basic,True
profile,thunder_talisman_basic,雷符,thunder_basic,thunder,雷击,破盾,stat_v02_thunder_talisman_single_1,v02_thunder_shieldbreak_single,True,False,False,False,False,False,True,23,10,132,True,False,0,雷击待发,【冷却】雷符 2.8秒，破盾待发,BattleSandboxItemEffectRuntimePreviewCatalog.thunder_basic,True
profile,shield_talisman_basic,护身符,guard_basic,guard,护阵,防御,stat_v02_shield_talisman_single_1,v02_guard_single,False,True,False,True,False,False,False,56,28,0,False,True,0,护盾展开,【护阵】护身符撑起护盾,BattleSandboxItemEffectRuntimePreviewCatalog.guard_basic,True
profile,qi_pill_basic,丹药,qi_pill,cleanse,净化,净化,stat_v02_qi_pill_single_1,v02_heal_single,False,True,False,False,True,False,False,50,24,0,False,True,0,回气,【净化】丹药回气调息,BattleSandboxItemEffectRuntimePreviewCatalog.qi_pill,True
profile,spirit_stone_basic,聚灵石,spirit_stone,energy,供能,供能,stat_v02_spirit_stone_single_1,v02_energy_source_single,False,True,True,False,False,False,False,50,12,0,False,True,0,灵气 +26,【供能】聚灵石聚起灵气，灵气 +26,BattleSandboxItemEffectRuntimePreviewCatalog.spirit_stone,True
profile,sword_pill_basic,剑丸,sword_pill,sword,剑击,攻击,stat_v02_sword_pill_single_1,v02_sword_burst_single,True,False,False,False,False,False,False,48,23,132,True,False,0,剑击待发,【冷却】剑丸 2.0秒，攻击待发,BattleSandboxItemEffectRuntimePreviewCatalog.sword_pill,True
profile,chain_thunder_talisman_basic,连锁雷符,thunder_chain,thunder,雷击,破盾,stat_v02_chain_thunder_single_1,v02_chain_thunder_single,True,False,False,False,False,False,True,29,13,132,True,False,0,雷击待发,【冷却】连锁雷符 3.6秒，破盾待发,BattleSandboxItemEffectRuntimePreviewCatalog.thunder_chain,True
profile,purify_talisman_basic,净化符,purify_basic,cleanse,净化,净化,stat_v02_purify_talisman_single_1,v02_cleanse_single,False,True,False,False,True,False,False,58,31,0,False,True,0,净化,【净化】净化符净化负面气息,BattleSandboxItemEffectRuntimePreviewCatalog.purify_basic,True
