path,activeSelf,componentTypes
Main Camera,True,Transform;Camera;AudioListener
EventSystem,True,Transform;EventSystem;StandaloneInputModule
BuildSandboxPreviewRoot,True,Transform;BuildSandboxPreviewSceneMarker
BuildSandboxPreviewCanvas,True,RectTransform;Canvas;CanvasScaler;GraphicRaycaster
BuildSandboxPreviewCanvas/SafeAreaRoot,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/Title,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridTitle,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_01,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_02,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_03,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_04,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_05,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_06,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_07,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_08,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_09,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_10,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_11,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_12,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_13,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_14,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_15,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_16,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_17,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_18,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_19,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_20,True,RectTransform;CanvasRenderer;Image;Outline
