rowId,rowKind,itemId,statProfileId,elapsedSeconds,manaBefore,manaAfter,manaDelta,cooldownSeconds,enemyHpBefore,enemyHpAfter,enemyShieldBefore,enemyShieldAfter,playerHpBefore,playerHpAfter,playerShieldBefore,playerShieldAfter,bossCastRemainingSeconds,bossCastFillAmount,stateLineChinese,castSkillLineChinese,combatLogLineChinese,floatingTextChinese,sourceDataPath,developerDataPanelFieldKey,formalFlowLeak,playerSideAnswerLeak,uiLayoutWrite,hasVictorySettlement,hasDefeatSettlement
runtimeLoop.opening.00,combatLog,,,0,31,31,0,0,168,168,24,24,100,100,28,28,2.4,1,沙盒循环：战斗态启动,首领正在蓄力,【沙盒】仅刷新开发预览，不接胜负结算,战斗预览开始,BattleSandboxRuntimeLoopPreview.rows,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.mana.00,mana,,,0.75,31,52,21,0,168,168,24,24,100,100,28,28,2.4,1,灵力：回流中,首领正在蓄力,【灵力】+21,灵气 +21,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaGainPerTick,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.cooldown.00,cooldown,preview_taomu_sword,stat_taomu_sword_vertical_3,0.75,52,52,0,2.6,168,168,24,24,100,100,28,28,2.4,1,冷却：道具读取,首领蓄力 2.4秒,【冷却】preview_taomu_sword 2.6秒,冷却刷新,BattleSandboxCombatKernelAdapterBuilder.ResolveEffectiveCooldown,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.itemTrigger.00,itemTrigger,preview_taomu_sword,stat_taomu_sword_vertical_3,0.75,52,43,-9,0,168,168,24,24,100,100,28,28,2.4,1,道具：触发,首领蓄力未断,【道具】preview_taomu_sword 耗灵 9,触发 sword,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaCostPerCast,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyHp.00,enemyHp,preview_taomu_sword,stat_taomu_sword_vertical_3,0.75,43,43,0,0,168,164,24,0,100,100,28,28,2.4,1,敌人：血量更新,首领护势震动,【伤害】preview_taomu_sword 造成 28，敌方 164/168,-4,BattleSandboxCombatKernelAdapterBuilder.ApplyEnemyDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyShield.00,enemyShield,preview_taomu_sword,stat_taomu_sword_vertical_3,0.75,43,43,0,0,164,164,0,10,100,100,28,28,2.4,1,敌人：护盾回流,首领重组护势,【敌盾】0->10,敌盾 +10,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield.enemyShieldSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerShield.00,playerShield,preview_taomu_sword,stat_taomu_sword_vertical_3,0.75,43,43,0,0,164,164,10,10,100,100,28,38,2.4,1,玩家：护盾更新,首领攻势被顶住,【护盾】preview_taomu_sword 28->38,护盾 +10,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.bossCast.00,bossCast,,,0.75,43,43,0,0,164,164,10,10,100,100,38,38,1.65,0.688,首领：施法条刷新,施法中：锁阵冲击 1.7秒,【施法】首领剩余 1.7秒,蓄力中,BattleSandboxCombatKernelAdapterBuilder.BuildCastBarSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.mana.01,mana,,,1.5,43,64,21,0,164,164,10,10,100,100,38,38,1.65,0.688,灵力：回流中,首领正在蓄力,【灵力】+21,灵气 +21,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaGainPerTick,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.cooldown.01,cooldown,preview_fire_talisman,stat_fire_talisman_single_1,1.5,64,64,0,1.8,164,164,10,10,100,100,38,38,1.65,0.688,冷却：道具读取,首领蓄力 1.7秒,【冷却】preview_fire_talisman 1.8秒,冷却刷新,BattleSandboxCombatKernelAdapterBuilder.ResolveEffectiveCooldown,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.itemTrigger.01,itemTrigger,preview_fire_talisman,stat_fire_talisman_single_1,1.5,64,58,-6,0,164,164,10,10,100,100,38,38,1.65,0.688,道具：触发,首领蓄力未断,【道具】preview_fire_talisman 耗灵 6,触发 talisman,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaCostPerCast,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyHp.01,enemyHp,preview_fire_talisman,stat_fire_talisman_single_1,1.5,58,58,0,0,164,155,10,0,100,100,38,38,1.65,0.688,敌人：血量更新,首领护势震动,【伤害】preview_fire_talisman 造成 19，敌方 155/164,-9,BattleSandboxCombatKernelAdapterBuilder.ApplyEnemyDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.bossCast.01,bossCast,,,1.5,58,58,0,0,155,155,0,0,100,100,38,38,0.9,0.375,首领：施法条刷新,施法中：锁阵冲击 0.9秒,【施法】首领剩余 0.9秒,蓄力中,BattleSandboxCombatKernelAdapterBuilder.BuildCastBarSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.mana.02,mana,,,2.25,58,79,21,0,155,155,0,0,100,100,38,38,0.9,0.375,灵力：回流中,首领正在蓄力,【灵力】+21,灵气 +21,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaGainPerTick,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.cooldown.02,cooldown,preview_thunder_sword,stat_thunder_sword_single_1,2.25,79,79,0,2.1,155,155,0,0,100,100,38,38,0.9,0.375,冷却：道具读取,首领蓄力 0.9秒,【冷却】preview_thunder_sword 2.1秒,冷却刷新,BattleSandboxCombatKernelAdapterBuilder.ResolveEffectiveCooldown,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.itemTrigger.02,itemTrigger,preview_thunder_sword,stat_thunder_sword_single_1,2.25,79,71,-8,0,155,155,0,0,100,100,38,38,0.9,0.375,道具：触发,首领蓄力未断,【道具】preview_thunder_sword 耗灵 8,触发 sword,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaCostPerCast,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyHp.02,enemyHp,preview_thunder_sword,stat_thunder_sword_single_1,2.25,71,71,0,0,155,129,0,0,100,100,38,38,0.9,0.375,敌人：血量更新,首领护势震动,【伤害】preview_thunder_sword 造成 26，敌方 129/155,-26,BattleSandboxCombatKernelAdapterBuilder.ApplyEnemyDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerShield.02,playerShield,preview_thunder_sword,stat_thunder_sword_single_1,2.25,71,71,0,0,129,129,0,0,100,100,38,40,0.9,0.375,玩家：护盾更新,首领攻势被顶住,【护盾】preview_thunder_sword 38->40,护盾 +2,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.bossCast.02,bossCast,,,2.25,71,71,0,0,129,129,0,0,100,100,40,40,0.15,0.063,首领：施法条刷新,施法中：锁阵冲击 0.2秒,【施法】首领剩余 0.2秒,蓄力中,BattleSandboxCombatKernelAdapterBuilder.BuildCastBarSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.mana.03,mana,,,3,71,92,21,0,129,129,0,0,100,100,40,40,0.15,0.063,灵力：回流中,首领正在蓄力,【灵力】+21,灵气 +21,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaGainPerTick,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.cooldown.03,cooldown,preview_x2_wood_talisman,stat_guard_wood_vertical_2,3,92,92,0,3.24,129,129,0,0,100,100,40,40,0.15,0.063,冷却：道具读取,首领蓄力 0.2秒,【冷却】preview_x2_wood_talisman 3.2秒,冷却刷新,BattleSandboxCombatKernelAdapterBuilder.ResolveEffectiveCooldown,battleSandboxRuntimeLoopPreview,False,False,False,False,False
