id,marker,result,detail
"TAD-01","TASK_START_GATE_PASS","PASS","PASS"
"TAD-02","SHAPE_TRUTH_30_UNCHANGED_PASS","PASS","PASS"
"TAD-03","PNG_AGGREGATE_UNCHANGED_PASS","PASS","PASS"
"TAD-04","I004_I005_STALE_BASE_ROTATION_REMOVED_PASS","PASS","PASS"
"TAD-05","AUTHORITATIVE_ARTWORK_ABSOLUTE_DIRECTION_PASS","PASS","PASS"
"TAD-06","I010_I016_CORNER_VISUAL_MAPPING_PASS","PASS","PASS"
"TAD-07","TRAY_DRAG_BOARD_ROTATION0_PARITY_30_PASS","PASS","PASS"
"TAD-08","REPEATED_REFRESH_NO_ROTATION_DRIFT_PASS","PASS","PASS"
"TAD-09","UNAFFECTED_ITEMS_26_PASS","PASS","PASS"
"TAD-10","SCENE_EXACT_TWO_TRANSFORM_DELTA_PASS","PASS","PASS"
"TAD-11","NO_HIERARCHY_DELTA_PASS","PASS","PASS"
"TAD-12","PROTECTED_HASHES_PASS","PASS","PASS"
"TAD-13","LEAKCHECK_PASS","PASS","PASS"
"TAD-14","PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS","PASS","PASS"
