baseItemId,shapeId,catalogRotation0Cells,trayLogicalRotation0Cells,trayPresentationRotation0Cells,trayArtworkFinalDegrees,dragGhostRotation0Cells,dragGhostArtworkFinalDegrees,boardPreviewRotation0Cells,boardPreviewArtworkFinalDegrees,boardPlacedRotation0Cells,boardPlacedArtworkFinalDegrees,refreshRepeatCount,directionParity,unaffectedOrTarget,result
"I001","shape_single_1","0,0","0,0","0,0","0","0,0","0","0,0","0","0,0","0","3","PASS","UNAFFECTED","PASS"
"I002","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I003","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I004","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","TARGET","PASS"
"I005","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","TARGET","PASS"
"I006","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I007","shape_single_1","0,0","0,0","0,0","0","0,0","0","0,0","0","0,0","0","3","PASS","UNAFFECTED","PASS"
"I008","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I009","shape_single_1","0,0","0,0","0,0","0","0,0","0","0,0","0","0,0","0","3","PASS","UNAFFECTED","PASS"
"I010","shape_corner3","0,0;1,0;0,1","0,0;1,0;0,1","0,0;0,1;1,1","0","0,0;0,1;1,1","0","0,0;0,1;1,1","0","0,0;0,1;1,1","0","3","PASS","TARGET","PASS"
"I011","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I012","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I013","shape_single_1","0,0","0,0","0,0","0","0,0","0","0,0","0","0,0","0","3","PASS","UNAFFECTED","PASS"
"I014","shape_line3_v","0,0;0,1;0,2","0,0;0,1;0,2","0,0;0,1;0,2","0","0,0;0,1;0,2","0","0,0;0,1;0,2","0","0,0;0,1;0,2","0","3","PASS","UNAFFECTED","PASS"
"I015","shape_line3_v","0,0;0,1;0,2","0,0;0,1;0,2","0,0;0,1;0,2","0","0,0;0,1;0,2","0","0,0;0,1;0,2","0","0,0;0,1;0,2","0","3","PASS","UNAFFECTED","PASS"
"I016","shape_corner3","0,0;1,0;0,1","0,0;1,0;0,1","0,0;0,1;1,1","0","0,0;0,1;1,1","0","0,0;0,1;1,1","0","0,0;0,1;1,1","0","3","PASS","TARGET","PASS"
"I017","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I018","shape_block2x2","0,0;1,0;0,1;1,1","0,0;1,0;0,1;1,1","0,0;1,0;0,1;1,1","0","0,0;1,0;0,1;1,1","0","0,0;1,0;0,1;1,1","0","0,0;1,0;0,1;1,1","0","3","PASS","UNAFFECTED","PASS"
"I019","shape_single_1","0,0","0,0","0,0","0","0,0","0","0,0","0","0,0","0","3","PASS","UNAFFECTED","PASS"
"I020","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I021","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I022","shape_line3_v","0,0;0,1;0,2","0,0;0,1;0,2","0,0;0,1;0,2","0","0,0;0,1;0,2","0","0,0;0,1;0,2","0","0,0;0,1;0,2","0","3","PASS","UNAFFECTED","PASS"
"I023","shape_line2_v","0,0;0,1","0,0;0,1","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","0,0;0,1","0","3","PASS","UNAFFECTED","PASS"
"I024","shape_line2_h","0,0;1,0","0,0;1,0","0,0;1,0","0","0,0;1,0","0","0,0;1,0","0","0,0;1,0","0","3","PASS","UNAFFECTED","PASS"
"I025","shape_single_1","0,0","0,0","0,0","0","0,0","0","0,0","0","0,0","0","3","PASS","UNAFFECTED","PASS"
"I026","shape_line3_v","0,0;0,1;0,2","0,0;0,1;0,2","0,0;0,1;0,2","0","0,0;0,1;0,2","0","0,0;0,1;0,2","0","0,0;0,1;0,2","0","3","PASS","UNAFFECTED","PASS"
