baseItemId,tray,dragGhost,boardPreview,boardPlaced,result
"I001","0,0@0","0,0@0","0,0@0","0,0@0","PASS"
"I002","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I003","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I004","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I005","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I006","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I007","0,0@0","0,0@0","0,0@0","0,0@0","PASS"
"I008","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I009","0,0@0","0,0@0","0,0@0","0,0@0","PASS"
"I010","0,0;0,1;1,1@0","0,0;0,1;1,1@0","0,0;0,1;1,1@0","0,0;0,1;1,1@0","PASS"
"I011","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I012","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I013","0,0@0","0,0@0","0,0@0","0,0@0","PASS"
"I014","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","PASS"
"I015","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","PASS"
"I016","0,0;0,1;1,1@0","0,0;0,1;1,1@0","0,0;0,1;1,1@0","0,0;0,1;1,1@0","PASS"
"I017","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I018","0,0;1,0;0,1;1,1@0","0,0;1,0;0,1;1,1@0","0,0;1,0;0,1;1,1@0","0,0;1,0;0,1;1,1@0","PASS"
"I019","0,0@0","0,0@0","0,0@0","0,0@0","PASS"
"I020","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I021","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I022","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","PASS"
"I023","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I024","0,0;1,0@0","0,0;1,0@0","0,0;1,0@0","0,0;1,0@0","PASS"
"I025","0,0@0","0,0@0","0,0@0","0,0@0","PASS"
"I026","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","PASS"
"I027","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I028","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","0,0;0,1@0","PASS"
"I029","0,0@0","0,0@0","0,0@0","0,0@0","PASS"
"I030","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","0,0;0,1;0,2@0","PASS"
