itemId,shapeId,catalogCells,catalogCellCount,trayCells,trayCellCount,physicalSlots,viewModelSlots,reservedSlots,cardHitSlots,hasDuplicateSlots,outOfRangeSlots,result,note
"I001","shape_single_1","0,0","1","0,0","1","0","0","0","0","NO","NO","PASS","single_authoritative_mapping"
"I002","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I003","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I004","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I005","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I006","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I007","shape_single_1","0,0","1","0,0","1","0","0","0","0","NO","NO","PASS","single_authoritative_mapping"
"I008","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I009","shape_single_1","0,0","1","0,0","1","0","0","0","0","NO","NO","PASS","single_authoritative_mapping"
"I010","shape_corner3","0,0;1,0;0,1","3","0,0;0,1;1,1","3","0;5;6","0;5;6","0;5;6","0;5;6","NO","NO","PASS","single_authoritative_mapping"
"I011","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I012","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I013","shape_single_1","0,0","1","0,0","1","0","0","0","0","NO","NO","PASS","single_authoritative_mapping"
"I014","shape_line3_v","0,0;0,1;0,2","3","0,0;0,1;0,2","3","0;5;10","0;5;10","0;5;10","0;5;10","NO","NO","PASS","single_authoritative_mapping"
"I015","shape_line3_v","0,0;0,1;0,2","3","0,0;0,1;0,2","3","0;5;10","0;5;10","0;5;10","0;5;10","NO","NO","PASS","single_authoritative_mapping"
"I016","shape_corner3","0,0;1,0;0,1","3","0,0;0,1;1,1","3","0;5;6","0;5;6","0;5;6","0;5;6","NO","NO","PASS","single_authoritative_mapping"
"I017","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I018","shape_block2x2","0,0;1,0;0,1;1,1","4","0,0;1,0;0,1;1,1","4","0;1;5;6","0;1;5;6","0;1;5;6","0;1;5;6","NO","NO","PASS","single_authoritative_mapping"
"I019","shape_single_1","0,0","1","0,0","1","0","0","0","0","NO","NO","PASS","single_authoritative_mapping"
"I020","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I021","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I022","shape_line3_v","0,0;0,1;0,2","3","0,0;0,1;0,2","3","0;5;10","0;5;10","0;5;10","0;5;10","NO","NO","PASS","single_authoritative_mapping"
"I023","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I024","shape_line2_h","0,0;1,0","2","0,0;1,0","2","0;1","0;1","0;1","0;1","NO","NO","PASS","single_authoritative_mapping"
"I025","shape_single_1","0,0","1","0,0","1","0","0","0","0","NO","NO","PASS","single_authoritative_mapping"
"I026","shape_line3_v","0,0;0,1;0,2","3","0,0;0,1;0,2","3","0;5;10","0;5;10","0;5;10","0;5;10","NO","NO","PASS","single_authoritative_mapping"
"I027","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I028","shape_line2_v","0,0;0,1","2","0,0;0,1","2","0;5","0;5","0;5","0;5","NO","NO","PASS","single_authoritative_mapping"
"I029","shape_single_1","0,0","1","0,0","1","0","0","0","0","NO","NO","PASS","single_authoritative_mapping"
"I030","shape_line3_v","0,0;0,1;0,2","3","0,0;0,1;0,2","3","0;5;10","0;5;10","0;5;10","0;5;10","NO","NO","PASS","single_authoritative_mapping"
