id,marker,result,detail
"TPO-01","ONE_AUTHORITATIVE_TRAY_MAPPING_PASS","PASS","PASS"
"TPO-02","PHYSICAL_VISUAL_OCCUPANCY_PARITY_30_PASS","PASS","PASS"
"TPO-03","I010_I016_POINTER_HIT_PARITY_PASS","PASS","PASS"
"TPO-04","I010_I016_COLLISION_RESERVATION_PASS","PASS","PASS"
"TPO-05","I010_I016_DRAG_SOURCE_ANCHOR_PASS","PASS","PASS"
"TPO-06","I010_I016_RETURN_TO_TRAY_PASS","PASS","PASS"
"TPO-07","I004_I005_DIRECTION_REGRESSION_PASS","PASS","PASS"
"TPO-08","UNAFFECTED_ITEMS_26_PASS","PASS","PASS"
"TPO-09","BOARD_DATA_COORDINATES_UNCHANGED_PASS","PASS","PASS"
"TPO-10","SCENE_BYTE_IDENTICAL_PASS","PASS","PASS"
"TPO-11","PNG_AGGREGATE_UNCHANGED_PASS","PASS","PASS"
"TPO-12","PROTECTED_HASHES_PASS","PASS","PASS"
"TPO-13","LEAKCHECK_PASS","PASS","PASS"
"TPO-14","PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS","PASS","PASS"
"TPO-15","USER_HANDTEST_WAITING","PASS","PASS"
