statementId,artSourceId,sourceRegion,statementKind,sourceTextExact,transcriptionStatus,contentId,chapterId,sourceOrder,notesDeveloperOnly
BA-ART-01-S001,BA-ART-01,top.title,TITLE,《符箓背包》V0.2 首版本《骨相》怪物概念设定总览,TRANSCRIPTION_EXACT,,,1,
BA-ART-01-S002,BA-ART-01,top.summary,SUMMARY_COUNT,12 种小怪,TRANSCRIPTION_EXACT,,,2,
BA-ART-01-S003,BA-ART-01,top.summary,SUMMARY_COUNT,4 位Boss,TRANSCRIPTION_EXACT,,,3,
BA-ART-01-S004,BA-ART-01,top.summary,SUMMARY_COUNT,4章主线,TRANSCRIPTION_EXACT,,,4,
BA-ART-01-S005,BA-ART-01,top.summary,SUMMARY_COUNT,12个场景节点,TRANSCRIPTION_EXACT,,,5,
BA-ART-01-S006,BA-ART-01,top.palette,MATERIAL_STATEMENT,骨瓷白 / 旧木褐 / 朱砂暗红 / 契纸黄 / 阵石灰 / 灵光青,TRANSCRIPTION_EXACT,,,6,
BA-ART-01-S007,BA-ART-01,row1.chapter,CHAPTER_FAMILY,骨铺初现,TRANSCRIPTION_EXACT,,bone_aspect_chapter_1,7,
BA-ART-01-S008,BA-ART-01,row1.chapter,NARRATIVE_STATEMENT,青石坊老街第一次露出骨相异变。,TRANSCRIPTION_EXACT,,bone_aspect_chapter_1,8,
BA-ART-01-S009,BA-ART-01,row2.chapter,CHAPTER_FAMILY,骨相拍卖,TRANSCRIPTION_EXACT,,bone_aspect_chapter_2,9,
BA-ART-01-S010,BA-ART-01,row2.chapter,NARRATIVE_STATEMENT,罗刹海市把身份与命运摆上交易桌。,TRANSCRIPTION_EXACT,,bone_aspect_chapter_2,10,
BA-ART-01-S011,BA-ART-01,row3.chapter,CHAPTER_FAMILY,骨相由来,TRANSCRIPTION_EXACT,,bone_aspect_chapter_3,11,
BA-ART-01-S012,BA-ART-01,row3.chapter,NARRATIVE_STATEMENT,明箓山旧阵揭开林照灯过往的一角。,TRANSCRIPTION_UNCERTAIN,,bone_aspect_chapter_3,12,TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-ART-01-S013,BA-ART-01,row4.chapter,CHAPTER_FAMILY,万相归骨,TRANSCRIPTION_EXACT,,bone_aspect_chapter_4,13,
BA-ART-01-S014,BA-ART-01,row4.chapter,NARRATIVE_STATEMENT,青石坊终局，所有被交易的骨相反噬归来。,TRANSCRIPTION_EXACT,,bone_aspect_chapter_4,14,
BA-ART-01-S015,BA-ART-01,row1.nodes,ENCOUNTER_NODE,青石坊丁巷外街,TRANSCRIPTION_EXACT,,bone_aspect_chapter_1,15,
BA-ART-01-S016,BA-ART-01,row1.nodes,ENCOUNTER_NODE,骨铺外巷,TRANSCRIPTION_EXACT,,bone_aspect_chapter_1,16,
BA-ART-01-S017,BA-ART-01,row1.nodes,ENCOUNTER_NODE,骨铺内堂,TRANSCRIPTION_EXACT,,bone_aspect_chapter_1,17,
BA-ART-01-S018,BA-ART-01,row2.nodes,ENCOUNTER_NODE,地下停车场入口,TRANSCRIPTION_EXACT,,bone_aspect_chapter_2,18,
BA-ART-01-S019,BA-ART-01,row2.nodes,ENCOUNTER_NODE,罗刹海市内街,TRANSCRIPTION_EXACT,,bone_aspect_chapter_2,19,
BA-ART-01-S020,BA-ART-01,row2.nodes,ENCOUNTER_NODE,骨相拍卖厅,TRANSCRIPTION_EXACT,,bone_aspect_chapter_2,20,
