carrierId,vocabularyCategory,stableKey,bindingStatus,runtimeImplemented,sourceCommitmentId
"bone_aspect_boss_c1_bone_guard","Mechanic","mechanic.layered_shield","CandidateReuseOnly",false,"bone_aspect_boss_c1_bone_guard.mechanic_commitment"
"bone_aspect_boss_c1_bone_guard","CounterWindowType","counter_window.shell_break","CandidateReuseOnly",false,"bone_aspect_boss_c1_bone_guard.mechanic_commitment"
"bone_aspect_boss_c2_identity_bidder","Mechanic","mechanic.long_cast","CandidateReuseOnly",false,"bone_aspect_boss_c2_identity_bidder.mechanic_commitment"
"bone_aspect_boss_c2_identity_bidder","CounterWindowType","counter_window.interrupt_stagger","CandidateReuseOnly",false,"bone_aspect_boss_c2_identity_bidder.mechanic_commitment"
"bone_aspect_boss_c3_array_eye_guardian","Mechanic","mechanic.formation_eye_disruption","CandidateReuseOnly",false,"bone_aspect_boss_c3_array_eye_guardian.mechanic_commitment"
"bone_aspect_boss_c3_array_eye_guardian","Mechanic","mechanic.layered_shield","CandidateReuseOnly",false,"bone_aspect_boss_c3_array_eye_guardian.mechanic_commitment"
"bone_aspect_boss_c3_array_eye_guardian","CounterWindowType","counter_window.shell_break","CandidateReuseOnly",false,"bone_aspect_boss_c3_array_eye_guardian.mechanic_commitment"
"bone_aspect_boss_c4_myriad_bone_beast","Mechanic","mechanic.burst_spike","CandidateReuseOnly",false,"bone_aspect_boss_c4_myriad_bone_beast.mechanic_commitment"
"bone_aspect_boss_c4_myriad_bone_beast","Mechanic","mechanic.talisman_seal","CandidateReuseOnly",false,"bone_aspect_boss_c4_myriad_bone_beast.mechanic_commitment"
"bone_aspect_enemy_c1_01_shattered_host","Mechanic","mechanic.basic_pressure","CandidateReuseOnly",false,"bone_aspect_enemy_c1_01_shattered_host.mechanic_commitment"
"bone_aspect_enemy_c1_01_shattered_host","Mechanic","mechanic.polluted_tile","CandidateReuseOnly",false,"bone_aspect_enemy_c1_01_shattered_host.mechanic_commitment"
"bone_aspect_enemy_c1_02_porcelain_hound","Mechanic","mechanic.layered_shield","CandidateReuseOnly",false,"bone_aspect_enemy_c1_02_porcelain_hound.mechanic_commitment"
"bone_aspect_enemy_c1_02_porcelain_hound","CounterWindowType","counter_window.shell_break","CandidateReuseOnly",false,"bone_aspect_enemy_c1_02_porcelain_hound.mechanic_commitment"
"bone_aspect_enemy_c1_03_bone_swap_remnant","Mechanic","mechanic.basic_pressure","CandidateReuseOnly",false,"bone_aspect_enemy_c1_03_bone_swap_remnant.mechanic_commitment"
"bone_aspect_enemy_c1_03_bone_swap_remnant","Mechanic","mechanic.swarm_summon","CandidateReuseOnly",false,"bone_aspect_enemy_c1_03_bone_swap_remnant.mechanic_commitment"
"bone_aspect_enemy_c2_01_false_identity_bone","Mechanic","mechanic.basic_pressure","CandidateReuseOnly",false,"bone_aspect_enemy_c2_01_false_identity_bone.mechanic_commitment"
"bone_aspect_enemy_c2_01_false_identity_bone","CounterWindowType","counter_window.cleanse_reveal","CandidateReuseOnly",false,"bone_aspect_enemy_c2_01_false_identity_bone.mechanic_commitment"
"bone_aspect_enemy_c2_02_contract_clerk","Mechanic","mechanic.long_cast","CandidateReuseOnly",false,"bone_aspect_enemy_c2_02_contract_clerk.mechanic_commitment"
"bone_aspect_enemy_c2_02_contract_clerk","Mechanic","mechanic.talisman_seal","CandidateReuseOnly",false,"bone_aspect_enemy_c2_02_contract_clerk.mechanic_commitment"
"bone_aspect_enemy_c2_02_contract_clerk","CounterWindowType","counter_window.interrupt_stagger","CandidateReuseOnly",false,"bone_aspect_enemy_c2_02_contract_clerk.mechanic_commitment"
"bone_aspect_enemy_c2_03_bone_bidder","PressureChannel","pressure.multi_target","CandidateReuseOnly",false,"bone_aspect_enemy_c2_03_bone_bidder.mechanic_commitment"
"bone_aspect_enemy_c3_01_array_stone_puppet","Mechanic","mechanic.layered_shield","CandidateReuseOnly",false,"bone_aspect_enemy_c3_01_array_stone_puppet.mechanic_commitment"
"bone_aspect_enemy_c3_01_array_stone_puppet","CounterWindowType","counter_window.shell_break","CandidateReuseOnly",false,"bone_aspect_enemy_c3_01_array_stone_puppet.mechanic_commitment"
"bone_aspect_enemy_c3_02_old_edict_shadow","Mechanic","mechanic.long_cast","CandidateReuseOnly",false,"bone_aspect_enemy_c3_02_old_edict_shadow.mechanic_commitment"
"bone_aspect_enemy_c3_02_old_edict_shadow","Mechanic","mechanic.talisman_seal","CandidateReuseOnly",false,"bone_aspect_enemy_c3_02_old_edict_shadow.mechanic_commitment"
"bone_aspect_enemy_c3_02_old_edict_shadow","CounterWindowType","counter_window.interrupt_stagger","CandidateReuseOnly",false,"bone_aspect_enemy_c3_02_old_edict_shadow.mechanic_commitment"
"bone_aspect_enemy_c3_03_bone_dust_effigy","Mechanic","mechanic.basic_pressure","CandidateReuseOnly",false,"bone_aspect_enemy_c3_03_bone_dust_effigy.mechanic_commitment"
"bone_aspect_enemy_c4_01_faceless_bone_figure","Mechanic","mechanic.polluted_tile","CandidateReuseOnly",false,"bone_aspect_enemy_c4_01_faceless_bone_figure.mechanic_commitment"
"bone_aspect_enemy_c4_01_faceless_bone_figure","Mechanic","mechanic.swarm_summon","CandidateReuseOnly",false,"bone_aspect_enemy_c4_01_faceless_bone_figure.mechanic_commitment"
"bone_aspect_enemy_c4_02_contract_attendant","Mechanic","mechanic.long_cast","CandidateReuseOnly",false,"bone_aspect_enemy_c4_02_contract_attendant.mechanic_commitment"
"bone_aspect_enemy_c4_02_contract_attendant","Mechanic","mechanic.talisman_seal","CandidateReuseOnly",false,"bone_aspect_enemy_c4_02_contract_attendant.mechanic_commitment"
"bone_aspect_enemy_c4_02_contract_attendant","CounterWindowType","counter_window.interrupt_stagger","CandidateReuseOnly",false,"bone_aspect_enemy_c4_02_contract_attendant.mechanic_commitment"
"bone_aspect_enemy_c4_03_false_celestial_form","Mechanic","mechanic.basic_pressure","CandidateReuseOnly",false,"bone_aspect_enemy_c4_03_false_celestial_form.mechanic_commitment"
"bone_aspect_enemy_c4_03_false_celestial_form","Mechanic","mechanic.burst_spike","CandidateReuseOnly",false,"bone_aspect_enemy_c4_03_false_celestial_form.mechanic_commitment"
