scope,field,allowed,present,leakStatus,notes
"root","SchemaId",true,true,PASS,"Catalog schema identity"
"root","SchemaVersion",true,true,PASS,"Catalog schema version"
"root","Carriers",true,true,PASS,"Player-safe Carrier rows"
"root","PlayerSafeCanonicalSignature",true,true,PASS,"Safe-view signature"
"carrier","ContentId",true,true,PASS,"Stable Carrier identity"
"carrier","CarrierKind",true,true,PASS,"Enemy or Boss"
"carrier","DisplayName",true,true,PASS,"P0 locked display name"
"carrier","NameLocalizationKey",true,true,PASS,"Stable name key"
"carrier","DescriptionLocalizationKey",true,true,PASS,"Stable description key"
"carrier","PresentationKey",true,true,PASS,"Stable presentation identity"
"carrier","VisualFamilyId",true,true,PASS,"P0 visual family"
"carrier","PrimarySilhouetteKey",true,true,PASS,"Silhouette identity"
"carrier","CoreRecognitionKey",true,true,PASS,"Recognition identity"
"carrier","RequiredArtSlotKeys",true,true,PASS,"Required base slots only"
"carrier","DevOnly",true,true,PASS,"Isolation state"
"carrier","IsEnabled",true,true,PASS,"Isolation state"
"carrier","EntersFormalFlow",true,true,PASS,"Isolation state"
"carrier","MechanicCommitmentSummary",false,false,PASS,"Developer-only mechanic commitment"
"carrier","MechanicCommitmentId",false,false,PASS,"Developer-only commitment identity"
"carrier","MechanicReferences",false,false,PASS,"E02 candidate references"
"carrier","GapSurveyRequired",false,false,PASS,"P2 survey metadata"
"carrier","DecisionIds",false,false,PASS,"BA-D1..D4 metadata"
"carrier","BlockedByUserDecisionSlots",false,false,PASS,"Deferred art slots"
"carrier","DeveloperOwnerDiagnostics",false,false,PASS,"Owner and diagnostics"
"carrier","BuildThresholdReadiness",false,false,PASS,"Build answer data"
"carrier","ItemAffixSynergyDropReward",false,false,PASS,"External system data"
