"contentId","contentKind","chapterId","displayName","localizationKey","presentationKey","visualFamilyId","primarySilhouetteKey","coreRecognitionKey","coreRecognitionPoint","mechanicCommitmentSummary","designStatus","devOnly","isEnabled","entersFormalFlow","runtimeImplemented"
"bone_aspect_enemy_c1_01_shattered_host","Enemy","bone_aspect_chapter_1","碎骨附身者","enemy.bone_aspect.c1.shattered_host.name","enemy.bone_aspect.c1.shattered_host","bone_aspect_visual_c1_bone_porcelain","enemy.bone_aspect.c1.shattered_host.silhouette","enemy.bone_aspect.c1.shattered_host.recognition","街坊残影、一处骨瓷覆盖、错误身份影子","基础攻击、附身状态、死亡后短暂骨粉区域","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c1_02_porcelain_hound","Enemy","bone_aspect_chapter_1","骨瓷犬","enemy.bone_aspect.c1.porcelain_hound.name","enemy.bone_aspect.c1.porcelain_hound","bone_aspect_visual_c1_bone_porcelain","enemy.bone_aspect.c1.porcelain_hound.silhouette","enemy.bone_aspect.c1.porcelain_hound.recognition","低矮镇物兽、大块骨瓷硬壳、符绳","骨瓷护壳、冲撞、破壳后短暂虚弱","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c1_03_bone_swap_remnant","Enemy","bone_aspect_chapter_1","换骨残相","enemy.bone_aspect.c1.bone_swap_remnant.name","enemy.bone_aspect.c1.bone_swap_remnant","bone_aspect_visual_c1_bone_porcelain","enemy.bone_aspect.c1.bone_swap_remnant.silhouette","enemy.bone_aspect.c1.bone_swap_remnant.recognition","一个主轮廓、两层身份叠影、未干骨瓷釉面","状态叠加、低血量分裂、复制一种简单能力","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c2_01_false_identity_bone","Enemy","bone_aspect_chapter_2","假相浮骨","enemy.bone_aspect.c2.false_identity_bone.name","enemy.bone_aspect.c2.false_identity_bone","bone_aspect_visual_c2_contract_identity","enemy.bone_aspect.c2.false_identity_bone.silhouette","enemy.bone_aspect.c2.false_identity_bone.recognition","漂浮骨牌、外层假身份、背面真实核心","制造错误目标、交换真假位置、识破后快速失去防御","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c2_02_contract_clerk","Enemy","bone_aspect_chapter_2","契纸吏","enemy.bone_aspect.c2.contract_clerk.name","enemy.bone_aspect.c2.contract_clerk","bone_aspect_visual_c2_contract_identity","enemy.bone_aspect.c2.contract_clerk.silhouette","enemy.bone_aspect.c2.contract_clerk.recognition","废契纸执法人形、印章头部、长封条","封招、读条、打断玩家一个效果","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c2_03_bone_bidder","Enemy","bone_aspect_chapter_2","竞骨客","enemy.bone_aspect.c2.bone_bidder.name","enemy.bone_aspect.c2.bone_bidder","bone_aspect_visual_c2_contract_identity","enemy.bone_aspect.c2.bone_bidder.silhouette","enemy.bone_aspect.c2.bone_bidder.recognition","单一错误人生主题、竞价身份标记","多目标竞争、抢夺增益、争抢出价标记","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c3_01_array_stone_puppet","Enemy","bone_aspect_chapter_3","残阵石傀","enemy.bone_aspect.c3.array_stone_puppet.name","enemy.bone_aspect.c3.array_stone_puppet","bone_aspect_visual_c3_array_stone_memory","enemy.bone_aspect.c3.array_stone_puppet.silhouette","enemy.bone_aspect.c3.array_stone_puppet.recognition","厚重阵石人形、胸肩护板、核心位置","高护盾、减伤、破盾后核心暴露","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c3_02_old_edict_shadow","Enemy","bone_aspect_chapter_3","旧令道影","enemy.bone_aspect.c3.old_edict_shadow.name","enemy.bone_aspect.c3.old_edict_shadow","bone_aspect_visual_c3_array_stone_memory","enemy.bone_aspect.c3.old_edict_shadow.silhouette","enemy.bone_aspect.c3.old_edict_shadow.recognition","无脸弟子残影、止步/返回令文贯穿身体","打断、压制、限制技能触发","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c3_03_bone_dust_effigy","Enemy","bone_aspect_chapter_3","骨尘小像","enemy.bone_aspect.c3.bone_dust_effigy.name","enemy.bone_aspect.c3.bone_dust_effigy","bone_aspect_visual_c3_array_stone_memory","enemy.bone_aspect.c3.bone_dust_effigy.silhouette","enemy.bone_aspect.c3.bone_dust_effigy.recognition","骨粉微型人形、偷来的小型符号碎片","偷念、复制、短暂模仿玩家一个效果","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c4_01_faceless_bone_figure","Enemy","bone_aspect_chapter_4","无面骨俑","enemy.bone_aspect.c4.faceless_bone_figure.name","enemy.bone_aspect.c4.faceless_bone_figure","bone_aspect_visual_c4_counterfeit_composite","enemy.bone_aspect.c4.faceless_bone_figure.silhouette","enemy.bone_aspect.c4.faceless_bone_figure.recognition","平整骨瓷面、统一人形、少量职业残片","成群压迫、数量优势、死亡后短暂骨纹区域","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c4_02_contract_attendant","Enemy","bone_aspect_chapter_4","骨契商侍","enemy.bone_aspect.c4.contract_attendant.name","enemy.bone_aspect.c4.contract_attendant","bone_aspect_visual_c4_counterfeit_composite","enemy.bone_aspect.c4.contract_attendant.silhouette","enemy.bone_aspect.c4.contract_attendant.recognition","契纸绳结分段、封存盒或契印","封存道具效果、锁定一个器类、持续读契","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_enemy_c4_03_false_celestial_form","Enemy","bone_aspect_chapter_4","天骨赝相","enemy.bone_aspect.c4.false_celestial_form.name","enemy.bone_aspect.c4.false_celestial_form","bone_aspect_visual_c4_counterfeit_composite","enemy.bone_aspect.c4.false_celestial_form.silhouette","enemy.bone_aspect.c4.false_celestial_form.recognition","错误天师主轮廓、两类法门符号、结构不完整","复合法门攻击、切换两种属性、预演最终 Boss 机制","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_boss_c1_bone_guard","Boss","bone_aspect_chapter_1","守骨奴","boss.bone_aspect.c1.bone_guard.name","boss.bone_aspect.c1.bone_guard","bone_aspect_visual_c1_bone_porcelain","boss.bone_aspect.c1.bone_guard.silhouette","boss.bone_aspect.c1.bone_guard.recognition","宽肩护主轮廓、胸口巨大“忠”字骨铭","骨瓷护壳、保护盲眼女人、破壳后“忠”字骨铭核心暴露；禁止召唤和分裂","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_boss_c2_identity_bidder","Boss","bone_aspect_chapter_2","竞骨人","boss.bone_aspect.c2.identity_bidder.name","boss.bone_aspect.c2.identity_bidder","bone_aspect_visual_c2_contract_identity","boss.bone_aspect.c2.identity_bidder.silhouette","boss.bone_aspect.c2.identity_bidder.recognition","温吞老人本体、书生/将军/富商三层身份、骨契册","书生/将军/富商身份切换、弱点随身份变化、翻阅骨契册时暴露打断窗口；辅助机制二选一","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_boss_c3_array_eye_guardian","Boss","bone_aspect_chapter_3","阵眼守护者","boss.bone_aspect.c3.array_eye_guardian.name","boss.bone_aspect.c3.array_eye_guardian","bone_aspect_visual_c3_array_stone_memory","boss.bone_aspect.c3.array_eye_guardian.silhouette","boss.bone_aspect.c3.array_eye_guardian.recognition","碑形门框轮廓、半石半符线、胸口骨相空位","石相防守、符影进攻、空位阶段暴露阵眼；结局为停止攻击并让路，不是普通死亡","CONTENT_IDENTITY_LOCKED","true","false","false","false"
"bone_aspect_boss_c4_myriad_bone_beast","Boss","bone_aspect_chapter_4","万相骨兽","boss.bone_aspect.c4.myriad_bone_beast.name","boss.bone_aspect.c4.myriad_bone_beast","bone_aspect_visual_c4_counterfeit_composite","boss.bone_aspect.c4.myriad_bone_beast.silhouette","boss.bone_aspect.c4.myriad_bone_beast.recognition","巨兽主轮廓、胸腹交易口、中央骨商核心","交易封存、两种能力形态切换、空白骨片解除封存并进入输出阶段、记忆回流使骨瓷结构崩解","CONTENT_IDENTITY_LOCKED","true","false","false","false"
