"surveyRowId","sourceCarrierId","sourceKind","sourceField","sourceOrdinal","sourceTextExact","sourceDecisionIds","sourceCrossSystemCandidate","primaryClassification","conceptId","candidateId","matchedE02Category","matchedE02StableKeys","semanticComparison","factOwner","runtimeStateOwner","recommendedNextChannel","extensionEligible","decisionBlocked","runtimeImplemented","evidenceSource","evidenceConfidence","notesDeveloperOnly"
"REUSE-001","bone_aspect_boss_c1_bone_guard","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","1","mechanic.layered_shield","BA-D1","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.layered_shield","","Mechanic","mechanic.layered_shield","已验收 E02「层叠护盾」定义为「敌方以可重复叠加或恢复的护盾层制造压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=1","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c1_bone_guard.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-002","bone_aspect_boss_c1_bone_guard","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","2","counter_window.shell_break","BA-D1","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.counter_window.shell_break","","CounterWindowType","counter_window.shell_break","已验收 E02「破壳后虚弱」定义为「成功破除护壳后出现的虚弱窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=2","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c1_bone_guard.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-003","bone_aspect_boss_c2_identity_bidder","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","3","mechanic.long_cast","BA-D2","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.long_cast","","Mechanic","mechanic.long_cast","已验收 E02「长读条施法」定义为「敌方通过可观察的长读条准备关键技能。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=3","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c2_identity_bidder.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-004","bone_aspect_boss_c2_identity_bidder","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","4","counter_window.interrupt_stagger","BA-D2","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.counter_window.interrupt_stagger","","CounterWindowType","counter_window.interrupt_stagger","已验收 E02「打断后僵直」定义为「成功打断施法后出现的僵直窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=4","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c2_identity_bidder.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-005","bone_aspect_boss_c3_array_eye_guardian","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","5","mechanic.formation_eye_disruption","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.formation_eye_disruption","","Mechanic","mechanic.formation_eye_disruption","已验收 E02「阵眼干扰」定义为「敌方干扰阵眼、阵位或供能链稳定。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=5","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c3_array_eye_guardian.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-006","bone_aspect_boss_c3_array_eye_guardian","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","6","mechanic.layered_shield","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.layered_shield","","Mechanic","mechanic.layered_shield","已验收 E02「层叠护盾」定义为「敌方以可重复叠加或恢复的护盾层制造压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=6","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c3_array_eye_guardian.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-007","bone_aspect_boss_c3_array_eye_guardian","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","7","counter_window.shell_break","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.counter_window.shell_break","","CounterWindowType","counter_window.shell_break","已验收 E02「破壳后虚弱」定义为「成功破除护壳后出现的虚弱窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=7","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c3_array_eye_guardian.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-008","bone_aspect_boss_c4_myriad_bone_beast","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","8","mechanic.burst_spike","BA-D4","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.mechanic.burst_spike","","Mechanic","mechanic.burst_spike","已验收 E02「高爆发」定义为「敌方在短时间内制造显著承伤峰值。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=8","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c4_myriad_bone_beast.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-009","bone_aspect_boss_c4_myriad_bone_beast","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","9","mechanic.talisman_seal","BA-D4","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.mechanic.talisman_seal","","Mechanic","mechanic.talisman_seal","已验收 E02「封符」定义为「敌方压制或暂时封锁符箓触发。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=9","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_boss_c4_myriad_bone_beast.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-010","bone_aspect_enemy_c1_01_shattered_host","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","10","mechanic.basic_pressure","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.basic_pressure","","Mechanic","mechanic.basic_pressure","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=10","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c1_01_shattered_host.mechanic_commitment; 本调查不把候选引用升级为 binding。"
