"checkId","area","expected","actual","status","notes"
"extension-schema-id","schema","EnemyMechanicVocabularyExtension.v1","EnemyMechanicVocabularyExtension.v1","PASS","Exact incremental schema identity."
"extension-schema-version","schema","1","1","PASS","Exact extension schema version."
"extension-id","schema","extension.bone_aspect.mechanic_vocabulary_01","extension.bone_aspect.mechanic_vocabulary_01","PASS","Bone Aspect extension identity is stable."
"extension-base-schema","schema","EnemyMechanicVocabulary.v1@1","EnemyMechanicVocabulary.v1@1","PASS","Explicit E02 compatibility only."
"extension-safe-flags","scope","true/false/false/false","true/false/false/false","PASS","devOnly/isEnabled/entersFormalFlow/runtimeImplemented."
"extension-entry-count","identity","7","7","PASS","Exactly seven approved entries."
"extension-exact-stable-keys","identity","counter_window.recognition_reveal|counter_window.weakpoint_exposure|mechanic.charge_attack|mechanic.contested_mark|mechanic.damage_reduction|mechanic.possession_state|mechanic.status_stack","counter_window.recognition_reveal|counter_window.weakpoint_exposure|mechanic.charge_attack|mechanic.contested_mark|mechanic.damage_reduction|mechanic.possession_state|mechanic.status_stack","PASS","No rename, merge, split, or eighth key."
"extension-exact-categories","identity","5 Mechanic + 2 CounterWindowType","CounterWindowType=2|Mechanic=5","PASS","Categories match the approved seven."
"extension-exact-labels","identity","7/7 exact","7/7 exact","PASS","Developer labels are assignment-exact."
"extension-exact-descriptions","identity","7/7 exact","7/7 exact","PASS","Neutral descriptions are assignment-exact."
"extension-exact-candidate-lineage","lineage","7/7 source rows","7/7 source rows","PASS","Catalog fields match the accepted Gap Survey candidate sheet."
"extension-exact-survey-lineage","lineage","7/7 survey rows","7/7 survey rows","PASS","Each entry retains one accepted survey row."
"extension-player-visible-zero","flags","0","0","PASS","No player projection."
"extension-developer-only-zero","flags","0","0","PASS","Neutral vocabulary entries are not diagnostics."
"extension-runtime-implemented-zero","flags","0","0","PASS","No runtime implementation claim."
"base-entry-count","composition","63","63","PASS","Frozen E02 default."
"base-category-counts","composition","12/16/9/6/10/10","12/16/9/6/10/10","PASS","12/16/9/6/10/10."
"base-legacy-count","composition","124","124","PASS","Legacy mappings remain on the base."
"base-canonical-unchanged","composition","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833","PASS","E02 canonical remains byte-stable."
"composed-entry-count","composition","70","70","PASS","Explicit 63 + 7 composition."
"composed-category-counts","composition","17/16/9/8/10/10","17/16/9/8/10/10","PASS","17/16/9/8/10/10."
"composed-legacy-count-unchanged","composition","124 (+0)","124 (+0)","PASS","The extension adds no legacy mapping."
"composition-base-input-immutability","immutability","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833","PASS","Composer did not mutate the explicit E02 input."
"composition-extension-input-immutability","immutability","sha256:45b4e2ca726d4934afe5a13f5fe25e0d9be132e950141714ce3f70c752f589ec","sha256:45b4e2ca726d4934afe5a13f5fe25e0d9be132e950141714ce3f70c752f589ec","PASS","Composer did not mutate the extension input."
"extension-defensive-copy","immutability","entries=7;rows=1","entries=7;rows=1","PASS","Caller-owned lists cannot mutate snapshots."
"extension-read-only-collections","immutability","entries=true;rows=true","entries=true;rows=true","PASS","Collections reject mutation."
"extension-canonical-determinism","canonical","sha256:45b4e2ca726d4934afe5a13f5fe25e0d9be132e950141714ce3f70c752f589ec","sha256:45b4e2ca726d4934afe5a13f5fe25e0d9be132e950141714ce3f70c752f589ec","PASS","Repeated construction is deterministic."
"composition-canonical-determinism","canonical","sha256:2a397064621c315fac161889b74082bfb777a6c763387f2adf2535318da339cc","sha256:2a397064621c315fac161889b74082bfb777a6c763387f2adf2535318da339cc","PASS","Repeated explicit composition is deterministic."
"composition-reverse-input-determinism","canonical","sha256:2a397064621c315fac161889b74082bfb777a6c763387f2adf2535318da339cc","sha256:2a397064621c315fac161889b74082bfb777a6c763387f2adf2535318da339cc","PASS","Ordinal canonicalization is independent of input order."
"composition-culture-determinism","canonical","sha256:45b4e2ca726d4934afe5a13f5fe25e0d9be132e950141714ce3f70c752f589ec|sha256:2a397064621c315fac161889b74082bfb777a6c763387f2adf2535318da339cc","sha256:45b4e2ca726d4934afe5a13f5fe25e0d9be132e950141714ce3f70c752f589ec|sha256:2a397064621c315fac161889b74082bfb777a6c763387f2adf2535318da339cc","PASS","Integer and string canonicalization are culture invariant."
"extension-canonical-field-sensitivity","canonical","different","different","PASS","A synthetic field mutation changes the extension signature."
"composition-canonical-field-sensitivity","canonical","different","different","PASS","A synthetic base field mutation changes explicit composition."
"reject-duplicate-extension-key","negative","EXTENSION_STABLE_KEY_DUPLICATE","EXTENSION_STABLE_KEY_DUPLICATE","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-base-key-collision","negative","BASE_KEY_COLLISION","BASE_KEY_COLLISION","PASS","Synthetic base collision never enters the catalog."
"reject-prefix-category-mismatch","negative","STABLE_KEY_PREFIX_OR_FORMAT_MISMATCH","STABLE_KEY_PREFIX_OR_FORMAT_MISMATCH","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-unapproved-eighth-entry","negative","UNAPPROVED_ENTRY","UNAPPROVED_ENTRY","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-missing-required-entry","negative","REQUIRED_ENTRY_MISSING","REQUIRED_ENTRY_MISSING","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-unknown-survey-row","negative","UNKNOWN_SURVEY_ROW","UNKNOWN_SURVEY_ROW","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-candidate-lineage-mismatch","negative","CANDIDATE_LINEAGE_MISMATCH","CANDIDATE_LINEAGE_MISMATCH","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-null-entry","negative","ENTRY_NULL","ENTRY_NULL","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-schema-mismatch","negative","SCHEMA_ID_MISMATCH","SCHEMA_ID_MISMATCH","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-unsafe-flags","negative","EXTENSION_FLAGS_UNSAFE","EXTENSION_FLAGS_UNSAFE","PASS","Synthetic fixture is rejected and never enters the catalog."
"reject-player-visible-entry","negative","PLAYER_VISIBLE_ENTRY_FORBIDDEN","PLAYER_VISIBLE_ENTRY_FORBIDDEN","PASS","Synthetic fixture is rejected and never enters the catalog."
"no-runtime-consumer","leak","0","0","PASS","No runtime consumer outside the package."
"no-formal-flow-consumer","leak","0","0","PASS","No Battle/Item/BuildSandbox/CrossSystem/Scene/Config binding."
"package-path-whitelist","scope","11 source/meta + 6 generated reports","exact whitelist;namespace + report manifest regression PASS","PASS","Assignment paths are exact/unique/Ordinal and projected to both Markdown reports; verifier resolves under TalismanBag.EditorTools.EnemySystem and introduces no TalismanBag.Editor namespace."
"report-repeat-determinism","reports","6/6 byte-identical","6/6 byte-identical","PASS","Two pure report projections are identical."
"missing-report-regeneration","reports","6 unconditional generators","6 unconditional generators","PASS","Every run rewrites all six reports from the same verified state."
"guid-uniqueness","integrity","package=6;duplicates=0","package=6;duplicates=0","PASS","All package GUIDs are present and globally unique."
"text-integrity","integrity","UTF-8/LF/no BOM/no trailing whitespace/final LF","PASS","PASS","11 source/meta files + 6 deterministic report projections checked."
"protected-e02-baseline","baseline","14:b1ee6ea5a5e407b0f809de35d03e3325331824ed296272dcb886fae668d78166","14:b1ee6ea5a5e407b0f809de35d03e3325331824ed296272dcb886fae668d78166","PASS","Accepted E02 package remains byte-identical."
"protected-upstream-baseline","baseline","P0=8;P1=21;Gap=8;BossArt=9 accepted","P0=8;P1=21;Gap=8;BossArt=9","PASS","All accepted Bone Aspect evidence packages remain byte-identical."
"protected-broad-baseline","baseline","12 task-start groups unchanged","11/12 unchanged;BuildSandbox=EXTERNAL_CONCURRENT_DRIFT_ATTRIBUTED","PASS","Frozen baseline preserved after explicit owner/hash attribution; no external file was restored or claimed."
