rowId,scenarioId,encounterId,baselineUnknownCapabilities,applicableSingleCandidateIds,singleCandidateUnknownReferenceReductionEach,singleCandidateProjectedBlockedRowReductionEach,conditionalCombinationPolicy,conditionalCombinationUnknownReferenceReduction,conditionalCombinationProjectedBlockedRowReduction,remainingDecisiveUnknowns,analysisBoundary
"NRS01-C02-001","COOLDOWN_SUPPORTED","dev_encounter_3_10_cleanse_corner","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","3","0","capability.debuff_counter;capability.placement_shape","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-002","COOLDOWN_SUPPORTED","dev_encounter_3_10_guard_wall","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","4","0","capability.interrupt_timing;capability.placement_shape","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-003","COOLDOWN_SUPPORTED","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B;NRS01-CLEAR-A;NRS01-CLEAR-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","5","0","capability.placement_shape;capability.spirit_lock","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-004","COOLDOWN_SUPPORTED","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B;NRS01-CLEAR-A;NRS01-CLEAR-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","5","0","capability.placement_shape;capability.spirit_lock","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-005","DEFENSE_SUPPORTED","dev_encounter_3_10_cleanse_corner","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","3","0","capability.debuff_counter;capability.placement_shape","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-006","DEFENSE_SUPPORTED","dev_encounter_3_10_guard_wall","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","4","0","capability.interrupt_timing;capability.placement_shape","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-007","DEFENSE_SUPPORTED","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B;NRS01-CLEAR-A;NRS01-CLEAR-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","5","0","capability.placement_shape;capability.spirit_lock","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-008","DEFENSE_SUPPORTED","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B;NRS01-CLEAR-A;NRS01-CLEAR-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","5","0","capability.placement_shape;capability.spirit_lock","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-009","EMPTY","dev_encounter_3_10_cleanse_corner","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","3","0","capability.debuff_counter;capability.placement_shape","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-010","EMPTY","dev_encounter_3_10_guard_wall","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","4","0","capability.interrupt_timing;capability.placement_shape","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-011","EMPTY","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B;NRS01-CLEAR-A;NRS01-CLEAR-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","5","0","capability.placement_shape;capability.spirit_lock","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
"NRS01-C02-012","EMPTY","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CONTROL-A;NRS01-CONTROL-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B;NRS01-CLEAR-A;NRS01-CLEAR-B","1","0","ONE_USER_APPROVED_CANDIDATE_PER_CANDIDATE_BEARING_CAPABILITY","5","0","capability.placement_shape;capability.spirit_lock","CONDITIONAL_AFTER_USER_APPROVAL_RULE_CONTRACT_MAPPING_AND_REQUIRED_RUNTIME_PRODUCER;SURVEY_ACTUAL_REDUCTION_IS_ZERO"
