"ownerType","fieldName","fieldType","cardinality","semantic","visibility","sourceOfTruth","futureConsumer"
"BuildCapabilitySnapshot","SchemaId","string","1","Schema identity","enemy read-only input","E07","E08"
"BuildCapabilitySnapshot","SchemaVersion","int","1","Schema version","enemy read-only input","E07","E08"
"BuildCapabilitySnapshot","SnapshotId","string","1","Opaque snapshot identity","enemy read-only input","external adapter","E08"
"BuildCapabilitySnapshot","SourceRevisionId","string","1","Opaque source revision","enemy read-only input","external adapter","E08"
"BuildCapabilitySnapshot","CoverageMode","enum","1","Complete or Sparse coverage","enemy read-only input","external adapter","E08"
"BuildCapabilitySnapshot","CapabilityValues","BuildCapabilityValueSnapshot[]","0..N","Known abstract capability values","developer-only diagnostics","external adapter","E08"
"BuildCapabilitySnapshot","CanonicalSignature","string","1","Deterministic full signature","developer-only diagnostics","E07","validator"
"BuildCapabilityValueSnapshot","BuildCapabilityKey","string","1","E02 BuildCapability stable key","enemy read-only input","E02","E08"
"BuildCapabilityValueSnapshot","ValueBasisPoints","int","1","Known value in 0..10000","enemy read-only input","external adapter","E08"
"BuildCapabilityValueSnapshot","SourceSummaries","BuildCapabilitySourceSummarySnapshot[]","0..N","Aggregated diagnostic provenance","developer-only diagnostics","external adapter","offline reports"
"BuildCapabilitySourceSummarySnapshot","SourceCategoryId","string","1","Opaque aggregate category","developer-only diagnostics","external adapter","offline reports"
"BuildCapabilitySourceSummarySnapshot","SourceCount","int","1","Aggregate source count","developer-only diagnostics","external adapter","offline reports"
"BuildCapabilitySourceSummarySnapshot","ContributionBasisPoints","int","1","Diagnostic contribution only","developer-only diagnostics","external adapter","offline reports"
"BuildCapabilitySourceSummarySnapshot","IsConditional","bool","1","Conditional aggregate marker","developer-only diagnostics","external adapter","offline reports"
"CapabilityGapSnapshot","RequirementGroupId","string","1","Future requirement group identity","developer-only diagnostics","E08","offline reports"
"CapabilityGapSnapshot","BuildCapabilityKey","string","1","Compared abstract capability","developer-only diagnostics","E02","E08"
"CapabilityGapSnapshot","CapabilityValueAvailability","enum","1","Known or Unknown availability","developer-only diagnostics","E08","offline reports"
"CapabilityGapSnapshot","AvailableBasisPoints","int","1","Future evaluator output shape","developer-only diagnostics","E08","offline reports"
"CapabilityGapSnapshot","RequiredBasisPoints","int","1","Future evaluator threshold shape","developer-only diagnostics","E06","E08"
"CapabilityGapSnapshot","GapBasisPoints","int","1","Future evaluator output shape","developer-only diagnostics","E08","offline reports"
"ReadinessBand","Value","enum","5","Unknown Blocked Strained Ready Strong","developer-only diagnostics","E07 shape","E08"
