"rowKind","snapshotId","coverageMode","buildCapabilityKey","valueBasisPoints","sourceCategoryId","sourceCount","contributionBasisPoints","availability","fixtureOnly"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.break_power","0","","","","Known","true"
"SourceSummary","dev_build_capability_fixture_complete","Complete","capability.break_power","0","source.fixture.base.0","1","500","Known","true"
"SourceSummary","dev_build_capability_fixture_complete","Complete","capability.break_power","0","source.fixture.composite.0","2","250","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.burst_window","1300","","","","Known","true"
"SourceSummary","dev_build_capability_fixture_complete","Complete","capability.burst_window","1300","source.fixture.base.1","2","600","Known","true"
"SourceSummary","dev_build_capability_fixture_complete","Complete","capability.burst_window","1300","source.fixture.composite.1","3","350","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.caster_interrupt","1600","","","","Known","true"
"SourceSummary","dev_build_capability_fixture_complete","Complete","capability.caster_interrupt","1600","source.fixture.base.2","3","700","Known","true"
"SourceSummary","dev_build_capability_fixture_complete","Complete","capability.caster_interrupt","1600","source.fixture.composite.2","4","450","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.chain_reaction","1900","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.cleanse_power","2200","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.clear_power","2500","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.control_power","2800","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.cooldown_recovery","3100","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.debuff_counter","3400","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.energy_stability","3700","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.guard_power","4000","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.interrupt_timing","4300","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.placement_shape","4600","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.spirit_lock","4900","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.sustained_damage","5200","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_complete","Complete","capability.thunder_chain","5500","","","","Known","true"
"CapabilityValue","dev_build_capability_fixture_sparse","Sparse","capability.break_power","0","","","","Known","true"
"SourceSummary","dev_build_capability_fixture_sparse","Sparse","capability.break_power","0","source.fixture.base.0","1","500","Known","true"
"SourceSummary","dev_build_capability_fixture_sparse","Sparse","capability.break_power","0","source.fixture.composite.0","2","250","Known","true"
"CapabilityValue","dev_build_capability_fixture_sparse","Sparse","capability.burst_window","1300","","","","Known","true"
"SourceSummary","dev_build_capability_fixture_sparse","Sparse","capability.burst_window","1300","source.fixture.base.1","2","600","Known","true"
"SourceSummary","dev_build_capability_fixture_sparse","Sparse","capability.burst_window","1300","source.fixture.composite.1","3","350","Known","true"
"CapabilityValue","dev_build_capability_fixture_sparse","Sparse","capability.caster_interrupt","1600","","","","Known","true"
"SourceSummary","dev_build_capability_fixture_sparse","Sparse","capability.caster_interrupt","1600","source.fixture.base.2","3","700","Known","true"
"SourceSummary","dev_build_capability_fixture_sparse","Sparse","capability.caster_interrupt","1600","source.fixture.composite.2","4","450","Known","true"
"CapabilityValue","dev_build_capability_fixture_sparse","Sparse","capability.chain_reaction","1900","","","","Known","true"
"Snapshot","dev_build_capability_fixture_sparse_empty","Sparse","","","","","","Unknown","true"
"CapabilityGap","","","capability.break_power","0","group.fixture.known","","4000","Known","true"
"CapabilityGap","","","capability.burst_window","0","group.fixture.unknown","","5000","Unknown","true"
"CapabilityGap","","","capability.caster_interrupt","7000","group.fixture.ready","","5000","Known","true"
