baseItemId,familyId,candidateAmount,nativeUnit,dataMaturity,entersFormalFlow,canonicalSignature,status
"I002","DIRECT_TEMPO","1","point","CANDIDATE","false","a24149ee00a486a0f306e6e368341367eff09cf49d5f46880b7694e82e35fb74","PASS"
"I003","ENEMY_CONTROL","650","basisPoint","CANDIDATE","false","9cbc9138e86a124fea404f1744fca418bf7ed00abfaf3214b418e47b09bf5863","PASS"
"I004","TARGET_SPREAD","1","count","CANDIDATE","false","f63b62023852138afd7719fcb684e8feccaea858a3c5b9815738112ea3e0cf36","PASS"
"I007","DIRECT_TEMPO","1","stack","CANDIDATE","false","dcbf8eafddfdac490969602fbbf3343055048f82b1789b41e85c19334f9ea300","PASS"
"I010","POSITIONAL_ADJACENCY","1","point","CANDIDATE","false","1e01a27aabd027db47bd652f3228d82081748655359b078d068a5801df02fafd","PASS"
"I011","TARGET_SPREAD","1","stack","CANDIDATE","false","8db8b73bd5b333fb8bcbdcba371546b297c68c24f1642d0eeb3fc69f89ba1bef","PASS"
"I013","GUARD_SUSTAIN","4","flat","CANDIDATE","false","4d25d0e908c34a362fdbca646d00a94d193515ecd992125dcf9211d7edf1e60f","PASS"
"I014","POSITIONAL_ADJACENCY","400","basisPoint","CANDIDATE","false","cd8e9a4df7c609b32fc787d9527aac92a83ed792d34175f2723d8e2290fd8b0b","PASS"
"I015","GUARD_SUSTAIN","8","flat","CANDIDATE","false","405edf7cb018338f774775b4c9b80f8147d6424c6f16366148f71b85e9a6d888","PASS"
"I022","POSITIONAL_ADJACENCY","1","turn","CANDIDATE","false","984b4f125d3e07bdf7a056d62725183eb4a7100dcb46c1c3e07e12b7be4b22fb","PASS"
"I024","GUARD_SUSTAIN","12","flat","CANDIDATE","false","b34ed60f176a2b1a9d22e19ad60e24feb3bc481794e6a384512b1192cfb27a74","PASS"
"I025","ENEMY_CONTROL","1","turn","CANDIDATE","false","05efd404fa4b64003c9bfca3cd1ee58db4ac81c995175eb16673e6c8dcb8dff8","PASS"
"I026","DIRECT_TEMPO","800","basisPoint","CANDIDATE","false","d3c41a6eea81ff676ae99f4be9ecd50480d4074fbf26b9d36f0cc8393afd297d","PASS"
"I028","ENEMY_CONTROL","1","count","CANDIDATE","false","361eba6a35475c6364fc5c02b3990013a1f80825000198786a8f8b3d790d2418","PASS"
"I030","TARGET_SPREAD","1","count","CANDIDATE","false","2a9c83a95931d5fda93b9c8fe85608293439692804ce5616e471c7f38426e39c","PASS"
