sourceBaseItemId,familyId,familyVariantId,triggerId,conditionId,operationId,targetStatId,targetScopeId,targetIdentity,requestedAmount,appliedAmount,nativeUnit,triggerTimeMs,resolveTimeMs,cueIdentity,canonicalSignature,status
"I002","DIRECT_TEMPO","c1.campaign.direct.tempo.i002.v1","on_consecutive_trigger","within_2_turns","Refund","nian","effect_primary_target","target.i002","1","1","point","1100","1100","cue.c1.campaign.direct_tempo.i002:85f8bffd6783ff5c","81a0900edc16c7adbd29de968d35168bd4ee83882e53176d682c12ed6c0a0734","PASS"
"I003","ENEMY_CONTROL","c1.campaign.enemy.control.i003.v1","on_hit","target_has_shield","AddPercent","break","effect_primary_target","target.i003","650","65","basisPoint","1200","1200","cue.c1.campaign.enemy_control.i003:89bbeb864e73e42c","3ccd914f130c8adc7e3d2fdcecdccc56cb0d69cdb3e52fa786df7922bbc5b58c","PASS"
"I004","TARGET_SPREAD","c1.campaign.target.spread.i004.v1","on_direct_lit","next_zhenlei_trigger","ExtraTarget","targetCount","effect_primary_target","target.i004","1","1","count","1300","1300","cue.c1.campaign.target_spread.i004:4dfbc49d62e326af","71867ecfcb4e69fc1bc9021e4774293e08d1c1aa1f421aca896ccad51c4e27b6","PASS"
"I007","DIRECT_TEMPO","c1.campaign.direct.tempo.i007.v1","on_first_hit","is_lit","AddFlat","burn","effect_primary_target","target.i007","1","1","stack","1400","1400","cue.c1.campaign.direct_tempo.i007:2122187e0fb604f8","692108f405f93319274fa8fb67ec8cceab6ac7c571de5d2cddea3b7622ba21bd","PASS"
"I010","POSITIONAL_ADJACENCY","c1.campaign.positional.adjacency.i010.v1","on_lit","adjacent_lihuo","ReduceFlat","nianCost","effect_primary_target","target.i010","1","1","point","1500","1500","cue.c1.campaign.positional_adjacency.i010:36f3157c573aa2e2","88fa57bebc3f77d74e94e8b9bd554917317431d9b5d34ab5c21632f144c6c337","PASS"
"I011","TARGET_SPREAD","c1.campaign.target.spread.i011.v1","on_mirror_trigger","target_has_burn","Convert","burn","effect_primary_target","target.i011","1","1","stack","1600","1600","cue.c1.campaign.target_spread.i011:8c709fcf559a3e1f","d49c982d50f855ecdce313385525c3c158dda43fbe32067456fdc93823a482b0","PASS"
"I013","GUARD_SUSTAIN","c1.campaign.guard.sustain.i013.v1","on_damaged","guard_below_threshold","AddFlat","guard","effect_primary_target","target.i013","4","4","flat","1700","1700","cue.c1.campaign.guard_sustain.i013:66e87c5aa48789c6","87d4906888e573f17c04f87b737873f3f046158bc6c98b5683a1e1a6058b9930","PASS"
"I014","POSITIONAL_ADJACENCY","c1.campaign.positional.adjacency.i014.v1","on_layout_evaluate","horizontal_adjacent","AddPercent","guard","effect_primary_target","target.i014","400","40","basisPoint","1800","1800","cue.c1.campaign.positional_adjacency.i014:41bda2e1384ab55a","90224a334bb9f62a340ee09294e156801c88eaa3a046a45101b2ea4b179c251a","PASS"
"I015","GUARD_SUSTAIN","c1.campaign.guard.sustain.i015.v1","on_direct_lit","is_direct_lit","AddFlat","guard","effect_primary_target","target.i015","8","8","flat","1900","1900","cue.c1.campaign.guard_sustain.i015:ea42762825e400bd","9810c620bf78f4fcce8b6b62a67f5e15c5f38b88a468f8d1208bdc3720978138","PASS"
"I022","POSITIONAL_ADJACENCY","c1.campaign.positional.adjacency.i022.v1","on_effect_end","adjacent_lit_item","ReduceFlat","cooldown","effect_primary_target","target.i022","1","1","turn","2000","2000","cue.c1.campaign.positional_adjacency.i022:09230fa16a865c8d","548f02abde279f596c0ed496d23c3418de0dddf9853550fcf2eecedb2167ede0","PASS"
"I024","GUARD_SUSTAIN","c1.campaign.guard.sustain.i024.v1","on_cleanse","water_charge_3","ExtraTrigger","heal","effect_primary_target","target.i024","12","12","flat","2100","2100","cue.c1.campaign.guard_sustain.i024:458f1ca6f388b654","0799b32bfedd4c3edb5d01d68225c66492c5a54bf5f1290eb04c326426d49b81","PASS"
"I025","ENEMY_CONTROL","c1.campaign.enemy.control.i025.v1","on_hit","target_casting","ReduceFlat","castProgress","effect_primary_target","target.i025","1","1","turn","2200","2200","cue.c1.campaign.enemy_control.i025:d59dc74bda0c18f7","b39da906cead04161c212e2917c956bb9a5c77b50d2d4d5d941b493d91bc30b4","PASS"
"I026","DIRECT_TEMPO","c1.campaign.direct.tempo.i026.v1","on_slash","target_has_flaw","AddPercent","damage","effect_primary_target","target.i026","800","80","basisPoint","2300","2300","cue.c1.campaign.direct_tempo.i026:3cf88e0fdc9628c9","a44fc42890a943f962d212704f9149de2965fb3f46b4c6be45e0fc711158ccc3","PASS"
"I028","ENEMY_CONTROL","c1.campaign.enemy.control.i028.v1","on_command_trigger","next_taibai_hit","Override","targeting","effect_primary_target","target.i028","1","1","count","2400","2400","cue.c1.campaign.enemy_control.i028:8a3aceda3ea11e7d","e4a33c6c2ddc19df9f64b6c20ac68d48e1d317ab76bfb7447a3951cbeed16bc4","PASS"
"I030","TARGET_SPREAD","c1.campaign.target.spread.i030.v1","on_kill_flaw","next_slash","ExtraTarget","targetCount","effect_primary_target","target.i030","1","1","count","2500","2500","cue.c1.campaign.target_spread.i030:7ff4366e1142dd2e","f8ed1655c953552574015598e1bcea3b410393af23ea2a49577620b55fd8ef2b","PASS"
