recordType,identity,familyOrOwner,expected,actual,evidence,status
"DESCRIPTOR","I002","DIRECT_TEMPO","formal live-state + ledger + cue","0->1","point/c1.campaign.direct.tempo.i002.v1","PASS"
"DESCRIPTOR","I003","ENEMY_CONTROL","formal live-state + ledger + cue","0->39","basisPoint/c1.campaign.enemy.control.i003.v1","PASS"
"DESCRIPTOR","I004","TARGET_SPREAD","formal live-state + ledger + cue","0->1","count/c1.campaign.target.spread.i004.v1","PASS"
"DESCRIPTOR","I007","DIRECT_TEMPO","formal live-state + ledger + cue","0->1","stack/c1.campaign.direct.tempo.i007.v1","PASS"
"DESCRIPTOR","I010","POSITIONAL_ADJACENCY","formal live-state + ledger + cue","0->1","point/c1.campaign.positional.adjacency.i010.v1","PASS"
"DESCRIPTOR","I011","TARGET_SPREAD","formal live-state + ledger + cue","0->1","stack/c1.campaign.target.spread.i011.v1","PASS"
"DESCRIPTOR","I013","GUARD_SUSTAIN","formal live-state + ledger + cue","0->4","flat/c1.campaign.guard.sustain.i013.v1","PASS"
"DESCRIPTOR","I014","POSITIONAL_ADJACENCY","formal live-state + ledger + cue","0->4","basisPoint/c1.campaign.positional.adjacency.i014.v1","PASS"
"DESCRIPTOR","I015","GUARD_SUSTAIN","formal live-state + ledger + cue","0->8","flat/c1.campaign.guard.sustain.i015.v1","PASS"
"DESCRIPTOR","I022","POSITIONAL_ADJACENCY","formal live-state + ledger + cue","0->1","turn/c1.campaign.positional.adjacency.i022.v1","PASS"
"DESCRIPTOR","I024","GUARD_SUSTAIN","formal live-state + ledger + cue","0->12","flat/c1.campaign.guard.sustain.i024.v1","PASS"
"DESCRIPTOR","I025","ENEMY_CONTROL","formal live-state + ledger + cue","0->1","turn/c1.campaign.enemy.control.i025.v1","PASS"
"DESCRIPTOR","I026","DIRECT_TEMPO","formal live-state + ledger + cue","0->48","basisPoint/c1.campaign.direct.tempo.i026.v1","PASS"
"DESCRIPTOR","I028","ENEMY_CONTROL","formal live-state + ledger + cue","0->1","count/c1.campaign.enemy.control.i028.v1","PASS"
"DESCRIPTOR","I030","TARGET_SPREAD","formal live-state + ledger + cue","0->1","count/c1.campaign.target.spread.i030.v1","PASS"
"ACTIVE_FILTER","filter-weak","Battle/Bridge Adapter","0","0","tray/unlit excluded without entitlement rejection","PASS"
"ACTIVE_FILTER","filter-middle","Battle/Bridge Adapter","1","1","tray/unlit excluded without entitlement rejection","PASS"
"ACTIVE_FILTER","filter-target","Battle/Bridge Adapter","2","2","tray/unlit excluded without entitlement rejection","PASS"
"ATOMIC_REJECTION","invalid-trigger","Battle/Bridge Session","rejected/no mutation","POOL15_EVENT_TRIGGER_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","missing-condition","Battle/Bridge Session","rejected/no mutation","POOL15_EVENT_CONDITION_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","duplicate-event","Battle/Bridge Session","rejected/no mutation","POOL15_EVENT_DUPLICATE","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","overflow-atomic","Battle/Bridge Session","rejected/no mutation","POOL15_ATOMICITY_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","missing-target","Battle/Bridge Session","rejected/no mutation","POOL15_ATOMICITY_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","missing-percentage-base","Battle/Bridge Session","rejected/no mutation","POOL15_ATOMICITY_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","unit-conflict-or-stale-profile","Battle/Bridge Session","rejected/no mutation","POOL15_SNAPSHOT_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","stale-target-descriptor","Battle/Bridge Session","rejected/no mutation","POOL15_SNAPSHOT_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","missing-entitlement-row","Battle/Bridge Session","rejected/no mutation","POOL15_SNAPSHOT_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","extra-entitlement-row","Battle/Bridge Session","rejected/no mutation","POOL15_SNAPSHOT_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","duplicate-base-item","Battle/Bridge Session","rejected/no mutation","POOL15_SNAPSHOT_REJECTED","state+ledger+cue unchanged","PASS"
"ATOMIC_REJECTION","inconsistent-tray-lighting","Battle/Bridge Session","rejected/no mutation","POOL15_SNAPSHOT_REJECTED","state+ledger+cue unchanged","PASS"
"LEGACY_TRACE","1-1","Battle/Bridge Session","oracle parity","16000ms/enemy=3/hp=76","I001/I002 direct damage unchanged","PASS"
"LEGACY_TRACE","1-2-weak","Battle/Bridge Session","oracle parity","48000ms/enemy=10/hp=20","I001/I002 direct damage unchanged","PASS"
"LEGACY_TRACE","1-2-tray","Battle/Bridge Session","oracle parity","48000ms/enemy=10/hp=20","I001/I002 direct damage unchanged","PASS"
"LEGACY_TRACE","1-2-target","Battle/Bridge Session","oracle parity","36000ms/enemy=7/hp=44","I001/I002 direct damage unchanged","PASS"
