recordType,scenario,baseItemId,familyId,variantId,triggerId,conditionId,operationId,targetStatId,targetScopeId,targetIdentity,requestedAmount,appliedAmount,nativeUnitId,percentageBase,targetBefore,targetAfter,triggerTimeMs,resolveTimeMs,cueIdentity,candidateProfileId,candidateMaturity,sourceFactCanonical,applicationCanonical,status
"APPLICATION","I002","I002","DIRECT_TEMPO","c1.campaign.direct.tempo.i002.v1","on_consecutive_trigger","within_2_turns","Refund","nian","effect_primary_target","campaign.normal.lv1.player","1","1","point","","0","1","0","0","cue.c1.campaign.direct_tempo.i002:ca10228ecaffaf8c","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","6aed3156696401dec5039d4bf9c3a4bb43ea9b6bc5249dddf60ec4dd41f3d0d7","588b9173750cde5f869cafbded056ca9cba89b9fa9e3a758df30dd7ec1d033d8","PASS"
"APPLICATION","I003","I003","ENEMY_CONTROL","c1.campaign.enemy.control.i003.v1","on_hit","target_has_shield","AddPercent","break","effect_primary_target","campaign.normal.lv1.balance.actor.c1.1-2.shattered_host.o01","650","39","basisPoint","600","0","39","0","0","cue.c1.campaign.enemy_control.i003:65b42c5571487ee9","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","90a42da3607f21a220116da2ce69bcf623befe9dd0f153aa7d68c3237c403b94","d3c86d40daa01293ceef032f277363c76a238a02c18096b13c596f5bccbf5031","PASS"
"APPLICATION","I004","I004","TARGET_SPREAD","c1.campaign.target.spread.i004.v1","on_direct_lit","next_zhenlei_trigger","ExtraTarget","targetCount","effect_primary_target","campaign.normal.lv1.balance.actor.c1.1-2.shattered_host.o01","1","1","count","","0","1","0","0","cue.c1.campaign.target_spread.i004:5117e7dfdd69e915","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","29b135f72e6ccd6cfffd527c50a9299c8c9f44f0b18873a30fc247b3a8e2f4dd","774061d2e551dcb983954df50ae9cf5f183cb29083e1c6e47b54592d5edbb9e6","PASS"
"APPLICATION","I007","I007","DIRECT_TEMPO","c1.campaign.direct.tempo.i007.v1","on_first_hit","is_lit","AddFlat","burn","effect_primary_target","campaign.normal.lv1.player","1","1","stack","","0","1","0","0","cue.c1.campaign.direct_tempo.i007:b87bec3530901b59","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","10dfb1580a1acc2805ef09c7da7cfe5b568189637a771e7e20de569e14efb835","f1066470038c388404507075fc54c240642f72ba6d74205c06211cb140888511","PASS"
"APPLICATION","I010","I010","POSITIONAL_ADJACENCY","c1.campaign.positional.adjacency.i010.v1","on_lit","adjacent_lihuo","ReduceFlat","nianCost","effect_primary_target","campaign.normal.lv1.player","1","1","point","","0","1","0","0","cue.c1.campaign.positional_adjacency.i010:6b1551eb2fc4a6f9","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","03f1b51dd6f3453f4b7b57106bae05b49a9b75da2aa364e1edfc54baae1cd3e9","057e25c205608bd74030d3b9656216ada2df378c631391f9702cc3b462cb3390","PASS"
"APPLICATION","I011","I011","TARGET_SPREAD","c1.campaign.target.spread.i011.v1","on_mirror_trigger","target_has_burn","Convert","burn","effect_primary_target","campaign.normal.lv1.balance.actor.c1.1-2.shattered_host.o01","1","1","stack","","0","1","0","0","cue.c1.campaign.target_spread.i011:cd626eb5d944a24f","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","c7e3e6e2bbc94581779a2d71775e1734ec154e00a65bc2413b46e4588c19f224","c5f9fbdee56f96635c823b7126b6594bc28d717e702b686afd6afd6e64b2746d","PASS"
"APPLICATION","I013","I013","GUARD_SUSTAIN","c1.campaign.guard.sustain.i013.v1","on_damaged","guard_below_threshold","AddFlat","guard","effect_primary_target","campaign.normal.lv1.player","4","4","flat","","0","4","0","0","cue.c1.campaign.guard_sustain.i013:7a02dea0bf7ed9dc","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","c442e3d4b6938b44996d22539f4120459a8e5746d24c39f2e4bfe5a7a5a3e8bf","ebc1aa4a48d62e78e285395b201c462185689556d22525dee2dedcd87ab7ecb7","PASS"
"APPLICATION","I014","I014","POSITIONAL_ADJACENCY","c1.campaign.positional.adjacency.i014.v1","on_layout_evaluate","horizontal_adjacent","AddPercent","guard","effect_primary_target","campaign.normal.lv1.player","400","4","basisPoint","100","0","4","0","0","cue.c1.campaign.positional_adjacency.i014:83604785a5683f98","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","09692a9f6ed3bb999c98d788316acd58cbf96929ef3770f50c9f8612a6c13ff0","05dec44e153e27e07ab35c0790ca6a06b270e83e5e38e659ffb96e0554ede8a9","PASS"
"APPLICATION","I015","I015","GUARD_SUSTAIN","c1.campaign.guard.sustain.i015.v1","on_direct_lit","is_direct_lit","AddFlat","guard","effect_primary_target","campaign.normal.lv1.player","8","8","flat","","0","8","0","0","cue.c1.campaign.guard_sustain.i015:05a51edc5d6b7278","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","8f78da09c555fe2af1b3da721445b2b9d911b22d7f1c0ba8c5c713e6fe5def44","19db82b5e14a1061778f1d85b3b4a9ecfa844b105298f4ef5454d3dc989db97d","PASS"
"APPLICATION","I022","I022","POSITIONAL_ADJACENCY","c1.campaign.positional.adjacency.i022.v1","on_effect_end","adjacent_lit_item","ReduceFlat","cooldown","effect_primary_target","campaign.normal.lv1.player","1","1","turn","","0","1","0","0","cue.c1.campaign.positional_adjacency.i022:3a55ebc77cff16a3","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","726350df30fdb84a5ce1ea82a451ded5966a35ab9c0ca8bcea19319f2a3232bb","cd899715ef03136e2af08e61cb98cc0578cd54a965b3eb508def70d128e1e5ad","PASS"
