stageId,admittedEncounterKind,admittedEnemyContentId,runtimeProfileId,admittedVisualProfileKey,fallbackTag,fallbackReason,isBossAdmissionAccepted,shougunuP3StartAllowed,authoredSlot,freshPlayEvidence
"1-1","Ordinary","bone_aspect_enemy_c1_01_shattered_host","bone_aspect.runtime.c1.shattered_host.v1","enemy.bone_aspect.c1.shattered_host","TEMPORARY_VISUAL_FALLBACK_D1_3","MISSING_PROFILE_FIVE_STATE_ASSETS",false,false,"V02EnemyArea/Shougunu_1","BLOCKED_ENEMY_GUARD_AUTHORITATIVE_TUNING"
"1-2","Ordinary","bone_aspect_enemy_c1_01_shattered_host","bone_aspect.runtime.c1.shattered_host.v1","enemy.bone_aspect.c1.shattered_host","TEMPORARY_VISUAL_FALLBACK_D1_3","MISSING_PROFILE_FIVE_STATE_ASSETS",false,false,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-3","Ordinary","bone_aspect_enemy_c1_01_shattered_host","bone_aspect.runtime.c1.shattered_host.v1","enemy.bone_aspect.c1.shattered_host","TEMPORARY_VISUAL_FALLBACK_D1_3","MISSING_PROFILE_FIVE_STATE_ASSETS",false,false,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-4","Ordinary","bone_aspect_enemy_c1_02_porcelain_hound","bone_aspect.runtime.c1.porcelain_hound.v1","enemy.bone_aspect.c1.porcelain_hound","TEMPORARY_VISUAL_FALLBACK_D1_3","MISSING_PROFILE_FIVE_STATE_ASSETS",false,false,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-5","Ordinary","bone_aspect_enemy_c1_02_porcelain_hound","bone_aspect.runtime.c1.porcelain_hound.v1","enemy.bone_aspect.c1.porcelain_hound","TEMPORARY_VISUAL_FALLBACK_D1_3","MISSING_PROFILE_FIVE_STATE_ASSETS",false,false,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-6","Ordinary","bone_aspect_enemy_c1_02_porcelain_hound","bone_aspect.runtime.c1.porcelain_hound.v1","enemy.bone_aspect.c1.porcelain_hound","TEMPORARY_VISUAL_FALLBACK_D1_3","MISSING_PROFILE_FIVE_STATE_ASSETS",false,false,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-7","Ordinary","bone_aspect_enemy_c1_02_porcelain_hound","bone_aspect.runtime.c1.porcelain_hound.v1","enemy.bone_aspect.c1.porcelain_hound","TEMPORARY_VISUAL_FALLBACK_D1_3","MISSING_PROFILE_FIVE_STATE_ASSETS",false,false,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-8","Ordinary","bone_aspect_enemy_c1_01_shattered_host","bone_aspect.runtime.c1.shattered_host.v1","enemy.bone_aspect.c1.bone_swap_remnant.visual_fallback.d1_3.v1","TEMPORARY_VISUAL_FALLBACK_D1_3","HELD_VISUAL_SLOT_RUNTIME_IDENTITY_UNCHANGED",false,false,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-9","Ordinary","bone_aspect_enemy_c1_02_porcelain_hound","bone_aspect.runtime.c1.porcelain_hound.v1","enemy.bone_aspect.c1.bone_swap_remnant.visual_fallback.d1_3.v1","TEMPORARY_VISUAL_FALLBACK_D1_3","HELD_VISUAL_SLOT_RUNTIME_IDENTITY_UNCHANGED",false,false,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-10","None","","","","","BOSS_GATE_IDLE",false,false,"released-before-manual-challenge","NOT_RUN_UPSTREAM_1-1_BLOCK"
"1-10","Boss","bone_aspect_boss_c1_bone_guard","bone_aspect_boss_c1_bone_guard","enemy.bone_aspect.c1.bone_guard.phase1","","ACCEPTED_MANUAL_CHALLENGE_ONLY",true,true,"V02EnemyArea/Shougunu_1","NOT_RUN_UPSTREAM_1-1_BLOCK"
