stageId,waveId,waveOrdinal,waveEntryId,enemyContentId,runtimeProfileId,visualProfileKey,occurrenceOrdinal,displaySlotId,slotOrdinal,runtimeStatus,isBoss
1-1,v04.c1.wave.1-1.w01,1,v04.c1.actor.1-1.w01.slot01.shattered_host.o01,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,1,Slot01,1,Available,false
1-1,v04.c1.wave.1-1.w01,1,v04.c1.actor.1-1.w01.slot02.shattered_host.o02,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,2,Slot02,2,Available,false
1-2,v04.c1.wave.1-2.w01,1,v04.c1.actor.1-2.w01.slot01.shattered_host.o01,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,1,Slot01,1,Available,false
1-2,v04.c1.wave.1-2.w01,1,v04.c1.actor.1-2.w01.slot02.shattered_host.o02,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,2,Slot02,2,Available,false
1-2,v04.c1.wave.1-2.w01,1,v04.c1.actor.1-2.w01.slot03.porcelain_hound.o01,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect.runtime.c1.porcelain_hound.v1,enemy.bone_aspect.c1.porcelain_hound,1,Slot03,3,Available,false
1-3,v04.c1.wave.1-3.w01,1,v04.c1.actor.1-3.w01.slot01.shattered_host.o01,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,1,Slot01,1,Available,false
1-3,v04.c1.wave.1-3.w01,1,v04.c1.actor.1-3.w01.slot02.porcelain_hound.o01,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect.runtime.c1.porcelain_hound.v1,enemy.bone_aspect.c1.porcelain_hound,1,Slot02,2,Available,false
1-3,v04.c1.wave.1-3.w01,1,v04.c1.actor.1-3.w01.slot03.porcelain_hound.o02,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect.runtime.c1.porcelain_hound.v1,enemy.bone_aspect.c1.porcelain_hound,2,Slot03,3,Available,false
1-4,v04.c1.wave.1-4.w01,1,v04.c1.actor.1-4.w01.slot01.porcelain_hound.o01,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect.runtime.c1.porcelain_hound.v1,enemy.bone_aspect.c1.porcelain_hound,1,Slot01,1,Available,false
1-4,v04.c1.wave.1-4.w01,1,v04.c1.actor.1-4.w01.slot02.bone_swap_remnant.o01,bone_aspect_enemy_c1_03_bone_swap_remnant,HELD_BY_BA-D3,enemy.bone_aspect.c1.bone_swap_remnant,1,Slot02,2,HeldByBad3,false
1-5,v04.c1.wave.1-5.w01,1,v04.c1.actor.1-5.w01.slot01.shattered_host.o01,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,1,Slot01,1,Available,false
1-5,v04.c1.wave.1-5.w01,1,v04.c1.actor.1-5.w01.slot02.porcelain_hound.o01,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect.runtime.c1.porcelain_hound.v1,enemy.bone_aspect.c1.porcelain_hound,1,Slot02,2,Available,false
1-5,v04.c1.wave.1-5.w01,1,v04.c1.actor.1-5.w01.slot03.bone_swap_remnant.o01,bone_aspect_enemy_c1_03_bone_swap_remnant,HELD_BY_BA-D3,enemy.bone_aspect.c1.bone_swap_remnant,1,Slot03,3,HeldByBad3,false
1-6,v04.c1.wave.1-6.w01,1,v04.c1.actor.1-6.w01.slot01.shattered_host.o01,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,1,Slot01,1,Available,false
1-6,v04.c1.wave.1-6.w01,1,v04.c1.actor.1-6.w01.slot02.shattered_host.o02,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,2,Slot02,2,Available,false
1-6,v04.c1.wave.1-6.w01,1,v04.c1.actor.1-6.w01.slot03.bone_swap_remnant.o01,bone_aspect_enemy_c1_03_bone_swap_remnant,HELD_BY_BA-D3,enemy.bone_aspect.c1.bone_swap_remnant,1,Slot03,3,HeldByBad3,false
1-7,v04.c1.wave.1-7.w01,1,v04.c1.actor.1-7.w01.slot01.porcelain_hound.o01,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect.runtime.c1.porcelain_hound.v1,enemy.bone_aspect.c1.porcelain_hound,1,Slot01,1,Available,false
1-7,v04.c1.wave.1-7.w01,1,v04.c1.actor.1-7.w01.slot02.porcelain_hound.o02,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect.runtime.c1.porcelain_hound.v1,enemy.bone_aspect.c1.porcelain_hound,2,Slot02,2,Available,false
1-7,v04.c1.wave.1-7.w01,1,v04.c1.actor.1-7.w01.slot03.bone_swap_remnant.o01,bone_aspect_enemy_c1_03_bone_swap_remnant,HELD_BY_BA-D3,enemy.bone_aspect.c1.bone_swap_remnant,1,Slot03,3,HeldByBad3,false
1-8,v04.c1.wave.1-8.w01,1,v04.c1.actor.1-8.w01.slot01.shattered_host.o01,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,1,Slot01,1,Available,false
1-8,v04.c1.wave.1-8.w01,1,v04.c1.actor.1-8.w01.slot02.bone_swap_remnant.o01,bone_aspect_enemy_c1_03_bone_swap_remnant,HELD_BY_BA-D3,enemy.bone_aspect.c1.bone_swap_remnant,1,Slot02,2,HeldByBad3,false
1-8,v04.c1.wave.1-8.w01,1,v04.c1.actor.1-8.w01.slot03.bone_swap_remnant.o02,bone_aspect_enemy_c1_03_bone_swap_remnant,HELD_BY_BA-D3,enemy.bone_aspect.c1.bone_swap_remnant,2,Slot03,3,HeldByBad3,false
1-9,v04.c1.wave.1-9.w01,1,v04.c1.actor.1-9.w01.slot01.shattered_host.o01,bone_aspect_enemy_c1_01_shattered_host,bone_aspect.runtime.c1.shattered_host.v1,enemy.bone_aspect.c1.shattered_host,1,Slot01,1,Available,false
