carrier,check,status,source,target,outcome
"BOARD","root.rect",PASS,"0.5:0.5|0.5:0.5|-137:426|800:800|0.5:0.5|0.78:0.78:0.78|0:0:0:1","0.5:0.5|0.5:0.5|-137:426|800:800|0.5:0.5|0.78:0.78:0.78|0:0:0:1","EXACT_COPY"
"BOARD","root.image",PASS,"Assets/_Game/Resources/战斗页道具栏UI/棋盘/qipan_black1024.png||1:1:1:1|Simple|False|True|False|True|1","Assets/_Game/Resources/战斗页道具栏UI/棋盘/qipan_black1024.png||1:1:1:1|Simple|False|True|False|True|1","EXACT_COPY"
"BOARD","root.scale_0_78",PASS,"0.78:0.78:0.78","0.78:0.78:0.78","EXACT_COPY"
"BOARD","root.child_order",PASS,"BoardGridTitle>BoardGridCellsRoo","BoardGridTitle>BoardGridCellsRoo","EXACT_BASE_ORDER"
"BOARD","grid.child_order",PASS,"BoardGridCell_01>BoardGridCell_02>BoardGridCell_03>BoardGridCell_04>BoardGridCell_05>BoardGridCell_06>BoardGridCell_07>BoardGridCell_08>BoardGridCell_09>BoardGridCell_10>BoardGridCell_11>BoardGridCell_12>BoardGridCell_13>BoardGridCell_14>BoardGridCell_15>BoardGridCell_16>BoardGridCell_17>BoardGridCell_18>BoardGridCell_19>BoardGridCell_20>BoardGridCell_21>BoardGridCell_22>BoardGridCell_23>BoardGridCell_24>BoardGridCell_25","BoardGridCell_01>BoardGridCell_02>BoardGridCell_03>BoardGridCell_04>BoardGridCell_05>BoardGridCell_06>BoardGridCell_07>BoardGridCell_08>BoardGridCell_09>BoardGridCell_10>BoardGridCell_11>BoardGridCell_12>BoardGridCell_13>BoardGridCell_14>BoardGridCell_15>BoardGridCell_16>BoardGridCell_17>BoardGridCell_18>BoardGridCell_19>BoardGridCell_20>BoardGridCell_21>BoardGridCell_22>BoardGridCell_23>BoardGridCell_24>BoardGridCell_25","EXACT_BASE_ORDER"
"BOARD","grid.layout",PASS,"UpperLeft|Horizontal|MiddleCenter|140:140|5:5|FixedColumnCount|5|8|8|8|8","UpperLeft|Horizontal|MiddleCenter|140:140|5:5|FixedColumnCount|5|8|8|8|8","EXACT_COPY"
"BOARD","cell.count",PASS,"25","25","EXACT_COPY"
"BOARD","BoardGridCell_01.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_01.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_02.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_02.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_03.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
