cueKind,battleOwner,orderedImmutable,cueIdMonotonic,dedupable,requiredPayload,seen,status
"SESSION_STARTED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"ACTOR_SPAWN_VISIBLE","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"PLAYER_HP_CHANGED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"ACTOR_HP_CHANGED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"TARGET_CHANGED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"ITEM_TRIGGER_SCHEDULED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"ITEM_TRIGGER_ACCEPTED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"ENEMY_ATTACK_SCHEDULED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"ENEMY_ATTACK_ACCEPTED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"HIT_ACCEPTED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"DAMAGE_FLOAT_PAYLOAD","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"ACTOR_DEFEATED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"BATTLE_TERMINAL","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"SESSION_PAUSED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"SESSION_RESUMED","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
"SESSION_RESET","Battle/Bridge","true","true","true","actor/player HP|target|damage|float|acceptedApplicationEventId","true","PASS"
