enemy,battleTick,event,resetGeneration,revision,lifecycle,currentHp,currentShell,shellState,latestCue,pendingRequestCount,activeAction,fullSignature,presentationSafeSignature
host,0,Presence,0,1,Present,160,0,NotApplicable,Presence,0,,58ed57dfa6ecab8c72d0fedeadf6e2b2a5949c73f96ea5e24f098bfa5e773189,595054d03637801f2dce3037b5f07246be452735a9824af45ded9144e15ea199
host,2000,BasicTelegraph,0,4,Active,160,0,NotApplicable,BasicAttack,0,c1.shattered_host.basic_attack:Telegraph,872daec73439ff70d35c6a658a1d26383471253a2ece60c066fdb1c4b57aae2d,39f14b5024f2d0f9eb2944b8d842fc33e91219bf422bfbdb0606f954c9e5da2e
host,2800,BasicResolve,0,5,Active,160,0,NotApplicable,BasicAttack,1,c1.shattered_host.basic_attack:Resolved,d5426db606a8a22b1ee1a6aa1cd3fe4337e219b1c5afc902a12f69429bdaf7cc,198596ecd2dfbae9cae9ebe99220cb026b0af1866df29a019e930a5dec753929
host,100,Hit,0,3,Active,150,0,NotApplicable,Hit,0,,f978957edfcdd4df30ecae593dd26627bf01b2462f8f245fb9c839084c1081fc,73516f14ab54c90236fce1912a12ff6ac06e56346a0a2178e28619cfea2babe7
host,101,DefeatedPostField,0,4,Defeated,0,0,NotApplicable,PostDefeatFieldRequested,1,,139c115b2a23acec761d9c9c8cb721a8c1008a07da65dcf753cfcf3cbdcee84b,e09af32b0a54197f5ce0021b97e8bf0d0268a0de6c00a6eea42737470f66b094
hound,1,ShellHit,0,3,Active,180,60,Intact,ShellHit,0,,cf575bdce631d76bb5f5b62bd892df1cea6ee8b117ffbfc054b801b738d1a95d,46531ac7f3fb93ceb605be57c43a77fa1951e40b7709af5966b86d632ed67923
hound,2,ShellBreakCounterWindow,0,4,Active,180,0,Broken,CounterWindowRequested,1,,520232d3aed7d8cfb782c0a1619749b5706a31722ae3d439d0fd2eaeddb93c0f,f4a4f944340acb7412969a402a3d1f8a2b864c6395ecef8788bf10b8796531b2
hound,3,ExposedHit,0,5,Active,150,0,Broken,Hit,1,,94821323882229a07a4afabcee262629af9090f743818ea60f6d9730435d4d2e,d0a3a3621ae44f16745b8f352a4713b345b1796329f75666c665b66e092bdd88
hound,4,Defeated,0,6,Defeated,0,0,Broken,Defeated,1,,1d5c627c508d9e310452be8f42cbd6281d95a406f14574e530300c680b8f7e73,3252f042705caadfa70e59f1073163400ba588b8def394f29b2ae94beb552bfa
hound,2500,ChargeTelegraph,0,4,Active,180,100,Intact,ChargeAttack,0,c1.porcelain_hound.charge_attack:Telegraph,d11d90e2e466d5b020b405365fa3bc9a5aa21651f26a801bbc35a4a570d95f33,562df419f19b38cd919910912eb82cb49375d0dc835bd31dae47dc7216ff04d1
hound,3700,ChargeResolve,0,5,Active,180,100,Intact,ChargeAttack,1,c1.porcelain_hound.charge_attack:Resolved,b3c2a477d05efc5e2738c5035b02ef64df1564165414df4dd022f27fc2443cfa,9e5058df35c86c156099d60312e8d4184f1753c985f8e0b8bb38dfca0ba168bb
host,10,Reset,1,4,Present,160,0,NotApplicable,Reset,0,,476e152ae3dcb325a7642290ac4703bf3b0f20b1689527101644284535d28246,551cda779c635ba88c3c6716182be54a4b803acf6f6d959bc7296c6f587c1472
