caseId,expectedError,actualError,accepted,mutationCount,cueCount,requestCount,result
missing_id,APPLICATION_EVENT_ID_REQUIRED,APPLICATION_EVENT_ID_REQUIRED,0,0,0,0,PASS
missing_source,SOURCE_REQUEST_ID_REQUIRED,SOURCE_REQUEST_ID_REQUIRED,0,0,0,0,PASS
wrong_target,WRONG_TARGET,WRONG_TARGET,0,0,0,0,PASS
wrong_generation,STALE_GENERATION,STALE_GENERATION,0,0,0,0,PASS
ledger_rejected,BATTLE_LEDGER_REJECTED,BATTLE_LEDGER_REJECTED,0,0,0,0,PASS
zero_delta,ZERO_DELTA,ZERO_DELTA,0,0,0,0,PASS
negative_delta,NEGATIVE_DELTA,NEGATIVE_DELTA,0,0,0,0,PASS
impossible_hp,HP_DELTA_BEYOND_CURRENT,HP_DELTA_BEYOND_CURRENT,0,0,0,0,PASS
host_shell_delta,HOST_SHELL_DELTA_FORBIDDEN,HOST_SHELL_DELTA_FORBIDDEN,0,0,0,0,PASS
impossible_shell,SHELL_DELTA_BEYOND_CURRENT,SHELL_DELTA_BEYOND_CURRENT,0,0,0,0,PASS
guarded_hp,HOUND_HP_GUARDED_BY_SHELL,HOUND_HP_GUARDED_BY_SHELL,0,0,0,0,PASS
non_monotonic_sequence,APPLICATION_SEQUENCE_NOT_MONOTONIC,APPLICATION_SEQUENCE_NOT_MONOTONIC,0,0,0,0,PASS
non_monotonic_tick,BATTLE_TICK_NOT_MONOTONIC,BATTLE_TICK_NOT_MONOTONIC,0,0,0,0,PASS
duplicate_event,APPLICATION_EVENT_DUPLICATE,APPLICATION_EVENT_DUPLICATE,0,0,0,0,PASS
