assertionId,category,expected,actual,result
catalog.profile_count,catalog,2,2,PASS
catalog.action_count,catalog,2,2,PASS
catalog.hold_count,catalog,1,1,PASS
host.profile,fixture,PASS,PASS,PASS
hound.profile,fixture,PASS,PASS,PASS
host.action,fixture,PASS,PASS,PASS
hound.action,fixture,PASS,PASS,PASS
profile.valid.bone_aspect.runtime.c1.shattered_host.v1,fixture,PASS,PASS,PASS
profile.flags.bone_aspect.runtime.c1.shattered_host.v1,fixture,PASS,PASS,PASS
profile.valid.bone_aspect.runtime.c1.porcelain_hound.v1,fixture,PASS,PASS,PASS
profile.flags.bone_aspect.runtime.c1.porcelain_hound.v1,fixture,PASS,PASS,PASS
action.valid.c1.shattered_host.basic_attack,fixture,PASS,PASS,PASS
action.valid.c1.porcelain_hound.charge_attack,fixture,PASS,PASS,PASS
profile.input_reversal,fixture,PASS,PASS,PASS
profile.defensive_copy,fixture,PASS,PASS,PASS
profile.collection_immutable,fixture,PASS,PASS,PASS
canonical.invariant_culture,fixture,PASS,PASS,PASS
host.possession_own_state,fixture,PASS,PASS,PASS
host.initial_valid,fixture,PASS,PASS,PASS
host.basic.not_early,fixture,PASS,PASS,PASS
host.basic.telegraph,fixture,PASS,PASS,PASS
host.basic.resolve_request,fixture,PASS,PASS,PASS
host.basic.repeat,fixture,PASS,PASS,PASS
host.hit,fixture,PASS,PASS,PASS
host.duplicate_rejected,fixture,PASS,PASS,PASS
host.defeat,fixture,PASS,PASS,PASS
host.post_defeat_once,fixture,PASS,PASS,PASS
hound.guarded_hp_rejected,fixture,PASS,PASS,PASS
hound.shell_hit,fixture,PASS,PASS,PASS
hound.shell_break,fixture,PASS,PASS,PASS
hound.counter_window_once,fixture,PASS,PASS,PASS
hound.no_shell_regeneration,fixture,PASS,PASS,PASS
hound.exposed_hp_hit,fixture,PASS,PASS,PASS
hound.defeat,fixture,PASS,PASS,PASS
hound.charge.not_early,fixture,PASS,PASS,PASS
hound.charge.telegraph,fixture,PASS,PASS,PASS
hound.charge.resolve_request,fixture,PASS,PASS,PASS
hound.charge.repeat,fixture,PASS,PASS,PASS
negative.missing_id,negative,APPLICATION_EVENT_ID_REQUIRED,APPLICATION_EVENT_ID_REQUIRED,PASS
negative.missing_source,negative,SOURCE_REQUEST_ID_REQUIRED,SOURCE_REQUEST_ID_REQUIRED,PASS
negative.wrong_target,negative,WRONG_TARGET,WRONG_TARGET,PASS
negative.wrong_generation,negative,STALE_GENERATION,STALE_GENERATION,PASS
negative.ledger_rejected,negative,BATTLE_LEDGER_REJECTED,BATTLE_LEDGER_REJECTED,PASS
negative.zero_delta,negative,ZERO_DELTA,ZERO_DELTA,PASS
negative.negative_delta,negative,NEGATIVE_DELTA,NEGATIVE_DELTA,PASS
negative.impossible_hp,negative,HP_DELTA_BEYOND_CURRENT,HP_DELTA_BEYOND_CURRENT,PASS
negative.host_shell_delta,negative,HOST_SHELL_DELTA_FORBIDDEN,HOST_SHELL_DELTA_FORBIDDEN,PASS
negative.impossible_shell,negative,SHELL_DELTA_BEYOND_CURRENT,SHELL_DELTA_BEYOND_CURRENT,PASS
negative.guarded_hp,negative,HOUND_HP_GUARDED_BY_SHELL,HOUND_HP_GUARDED_BY_SHELL,PASS
negative.non_monotonic_sequence,negative,APPLICATION_SEQUENCE_NOT_MONOTONIC,APPLICATION_SEQUENCE_NOT_MONOTONIC,PASS
negative.non_monotonic_tick,negative,BATTLE_TICK_NOT_MONOTONIC,BATTLE_TICK_NOT_MONOTONIC,PASS
negative.duplicate_event,negative,APPLICATION_EVENT_DUPLICATE,APPLICATION_EVENT_DUPLICATE,PASS
reset.clears_generation_local_state,fixture,PASS,PASS,PASS
reset.dedupe_is_generation_local,fixture,PASS,PASS,PASS
reset.restart_cadence,fixture,PASS,PASS,PASS
scheduler.reactive_priority,fixture,PASS,PASS,PASS
scheduler.one_action_at_a_time,fixture,PASS,PASS,PASS
scheduler.defeated_cancellation,fixture,PASS,PASS,PASS
canonical.developer_field_sensitivity,fixture,PASS,PASS,PASS
canonical.presentation_isolation,fixture,PASS,PASS,PASS
bad3.hold_exact,fixture,PASS,PASS,PASS
bad3.no_profile,fixture,PASS,PASS,PASS
bad3.no_action,fixture,PASS,PASS,PASS
leak.runtime_forbidden_dependencies,leak,0,0,PASS
leak.binding_counts,leak,battle=0;formal=0,battle=0;formal=0,PASS
manifest.count,manifest,23,23,PASS
manifest.runtime_directory_exact,fixture,PASS,PASS,PASS
manifest.existing_modifications_zero,fixture,PASS,PASS,PASS
report.determinism,reports,identical,identical,PASS
report.deleted_regeneration,reports,regenerated,regenerated,PASS
