stageId,itemPercentile,variable,basisPoints,scaledDirectPulse,scaledEncounterHp,scaledEnemyBasicDamage,timeToKillMilliseconds,enemyBasicHits,boneSwapReturns,finalPlayerHp,simulationCanonicalSignature
1-3,P50,ITEM_DIRECT_PULSE,8000,66,1700,7,52000,11,0,23,c34dc2909c394103dde819f9bd8d28a4676639fb29fd60708bce9419af1adae5
1-3,P50,ITEM_DIRECT_PULSE,10000,82,1700,7,42000,9,0,37,15c217bbdcf76b5481c8a20ff25a282f7999fcd2e69570c16fcd9a2787cdd44b
1-3,P50,ITEM_DIRECT_PULSE,12000,98,1700,7,36000,7,0,51,b5f38b8bb1ca01ce6d2255cc2d80ad9bbfd502226c902377a27e096a864781a4
1-3,P50,TOTAL_ENCOUNTER_HP,8000,82,1360,7,34000,7,0,51,5b0a5468f30b9babe628483506e5340d6ebc2faae24b20f80cb00b4ba71dfa79
1-3,P50,TOTAL_ENCOUNTER_HP,10000,82,1700,7,42000,9,0,37,15c217bbdcf76b5481c8a20ff25a282f7999fcd2e69570c16fcd9a2787cdd44b
1-3,P50,TOTAL_ENCOUNTER_HP,12000,82,2040,7,50000,11,0,23,bfd7d07ad522dedfa95d3434481d07ec577ab35872724e12deeb427a61817b6d
1-3,P50,ENEMY_BASIC_DAMAGE,8000,82,1700,6,42000,9,0,46,a55710ced01fb636593d86a1b260550102e5f320f1c662b83a6ec3d082a2e673
1-3,P50,ENEMY_BASIC_DAMAGE,10000,82,1700,7,42000,9,0,37,15c217bbdcf76b5481c8a20ff25a282f7999fcd2e69570c16fcd9a2787cdd44b
1-3,P50,ENEMY_BASIC_DAMAGE,12000,82,1700,8,42000,9,0,28,ffc270fd920888caf8f15fcc89870d037751bfcdb615a183e515d5b63d84760a
1-4,P50,ITEM_DIRECT_PULSE,8000,66,1650,7,50000,11,3,2,f98eed9d114698ffe2c2083dc69ea7eea03e044fafe8ecf6801049f2aef81d3d
1-4,P50,ITEM_DIRECT_PULSE,10000,82,1650,7,42000,9,2,23,69e6ada9b52052a2e1a5365f8acfec25f1089d1c7afebab586ab98275ec3286d
1-4,P50,ITEM_DIRECT_PULSE,12000,98,1650,7,34000,7,2,37,8169ebd479129d59abc3f1b495842bb0d8f221cafb7d7b77efda7874895651f3
1-4,P50,TOTAL_ENCOUNTER_HP,8000,82,1320,7,34000,7,2,37,a48e0512f62ea47a16fb6809ad2ed1e935129e575a311d661650e2eda48a549b
1-4,P50,TOTAL_ENCOUNTER_HP,10000,82,1650,7,42000,9,2,23,69e6ada9b52052a2e1a5365f8acfec25f1089d1c7afebab586ab98275ec3286d
1-4,P50,TOTAL_ENCOUNTER_HP,12000,82,1980,7,50000,11,3,2,d03ed4633fbf101cbd9f0ebed183860b8e1de33213bda8fe817d52ebbab01d69
1-4,P50,ENEMY_BASIC_DAMAGE,8000,82,1650,6,42000,9,2,32,718b9d8effbd1fcd24778e722b80d8f547d11ca9ae45cfecb9853716bfde23ee
1-4,P50,ENEMY_BASIC_DAMAGE,10000,82,1650,7,42000,9,2,23,69e6ada9b52052a2e1a5365f8acfec25f1089d1c7afebab586ab98275ec3286d
1-4,P50,ENEMY_BASIC_DAMAGE,12000,82,1650,8,42000,9,2,14,b76800fa5b6e2dca7f5e852d79b6b5fff37e9c714f4ed07fca1c09ff99a523b8
1-5,P50,ITEM_DIRECT_PULSE,8000,66,1800,7,56000,12,3,-5,5b72a4aa0eb34aa8f0db9ce343f8a01a13f2f3edb772f0ff6ca856bd7b39fa5f
1-5,P50,ITEM_DIRECT_PULSE,10000,82,1800,7,44000,9,3,16,65f5ea2393d9b702af9ff77e03381abf44c58346af110463d54d24f338e4d6cf
1-5,P50,ITEM_DIRECT_PULSE,12000,98,1800,7,38000,8,2,30,613582b9a3bb78379ddb976df5c113143511514f5dd4fc5964f84ec6ca8fcd3b
1-5,P50,TOTAL_ENCOUNTER_HP,8000,82,1440,7,36000,7,2,37,aa80ebac9401f04da8f89387b8534df733be86bb8d13f113b43578e183ae02fc
1-5,P50,TOTAL_ENCOUNTER_HP,10000,82,1800,7,44000,9,3,16,65f5ea2393d9b702af9ff77e03381abf44c58346af110463d54d24f338e4d6cf
1-5,P50,TOTAL_ENCOUNTER_HP,12000,82,2160,7,54000,11,3,2,dd39dff800ff6d4e65608f28e533f67a5e9c4013e1b0edb5fad973a3ffffc984
1-5,P50,ENEMY_BASIC_DAMAGE,8000,82,1800,6,44000,9,3,25,1eefb6797ad2a9fcba1d986a01cc8d1dfb29dec80c63669e2419381c8cd2fe51
1-5,P50,ENEMY_BASIC_DAMAGE,10000,82,1800,7,44000,9,3,16,65f5ea2393d9b702af9ff77e03381abf44c58346af110463d54d24f338e4d6cf
1-5,P50,ENEMY_BASIC_DAMAGE,12000,82,1800,8,44000,9,3,7,9554df720b29e5921d375ee5cb9a7a570d570939595bb967be655a9b497e174f
