"ownerType","fieldName","fieldType","cardinality","semantic","visibility","sourceOfTruth","futureConsumer"
"Catalog","schemaId","string","1","Schema identity","public metadata","E06","Validator"
"Catalog","schemaVersion","int","1","Schema version","public metadata","E06","Validator"
"BuildPressurePlayerProjection","BuildPressureProfileId","string","1","Public pressure identity","player-safe","E06","Battle projection"
"BuildPressurePlayerProjection","PublicPressureLabelKey","string","1","Public pressure label","player-safe","E06","Battle projection"
"BuildPressurePlayerProjection","PublicPressureHintKey","string","1","Public pressure hint","player-safe","E06","Battle projection"
"BuildPressurePlayerProjection","PlayerHintCategoryKeys","string[]","0..N","Public hint categories","player-safe","E02 keys / E06 refs","Battle projection"
"BuildPressureInternalSpec","PressureChannelContributions","PressureChannelContribution[]","1..N","Pressure composition","internal-only","E06","Future readiness"
"PressureChannelContribution","PressureChannelKey","string","1","Abstract pressure channel","internal-only","E02 key","Future readiness"
"PressureChannelContribution","WeightBasisPoints","int","1","Composition weight totaling 10000","internal-only","E06","Future readiness"
"BuildPressureDeveloperDiagnostics","RequirementGroups","RequirementGroup[]","1..N","Required/recommended multi-solution groups","developer-only","E06","E08"
"RequirementGroup","RequirementRole","enum","1","Required or Recommended","developer-only","E06","E08"
"RequirementGroup","RequirementMatchMode","enum","1","Any or All","developer-only","E06","E08"
"BuildCapabilityRequirement","BuildCapabilityKey","string","1","Abstract Build capability","developer-only","E02 key","E07/E08"
"BuildCapabilityRequirement","MinimumCapabilityBasisPoints","int","1","Capability threshold","developer-only","E06","E08"
"CounterWindowPlayerProjection","CounterWindowId","string","1","Public window identity","player-safe","E01 reference","Battle projection"
"CounterWindowPlayerProjection","PublicWindowLabelKey","string","1","Public window label","player-safe","E06","Battle projection"
"CounterWindowPlayerProjection","PublicWindowOpenCueKey","string","1","Public open cue","player-safe","E06","Battle projection"
"CounterWindowPlayerProjection","PublicWindowCloseCueKey","string","1","Public close cue","player-safe","E06","Battle projection"
"CounterWindowInternalSpec","CounterWindowTypeKey","string","1","Abstract window type","internal-only","E02 key","Future runtime"
"CounterWindowInternalSpec","OpenConditions","Condition[]","1..N","Open specification","internal-only","E06 refs E05","Future runtime"
"CounterWindowInternalSpec","CloseConditions","Condition[]","0..N","Close specification","internal-only","E06 refs E05","Future runtime"
"CounterWindowInternalSpec","MaximumDurationMilliseconds","int","1","Optional maximum duration","internal-only","E06","Future runtime"
"PressureSourceBinding","SourceKind/SourceId","enum/string","1","E03/E05 source reference","internal-only","E03/E05","Catalog resolver"
"CounterWindowSourceBinding","SourceKind/SourceId","enum/string","1","E03/E05 source reference","internal-only","E03/E05","Catalog resolver"
"PressureCounterWindowBinding","BuildPressureProfileId/CounterWindowId","string/string","1","Many-to-many pressure/window relation","internal-only","E06","Future runtime"
