"rowKind","ownerId","sourceKind","sourceId","referenceId","role","matchMode","valueBasisPoints","conditionKind","durationMilliseconds","playerVisible","fixtureOnly"
"BuildPressureProfile","dev_pressure_fixture_cast","","","enemy.pressure.fixture.label","","","","","","true","true"
"PressureChannelContribution","dev_pressure_fixture_cast","","","pressure.cast_interrupt","","","10000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_cast","","group.cast.required.all","capability.control_power","Required","All","4000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_cast","","group.cast.required.all","capability.interrupt_timing","Required","All","5500","","","false","true"
"BuildPressureProfile","dev_pressure_fixture_formation","","","enemy.pressure.fixture.label","","","","","","true","true"
"PressureChannelContribution","dev_pressure_fixture_formation","","","pressure.placement_formation","","","6000","","","false","true"
"PressureChannelContribution","dev_pressure_fixture_formation","","","pressure.resource_disruption","","","4000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_formation","","group.formation.recommended","capability.control_power","Recommended","Any","3000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_formation","","group.formation.required.all","capability.energy_stability","Required","All","5000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_formation","","group.formation.required.all","capability.placement_shape","Required","All","4500","","","false","true"
"BuildPressureProfile","dev_pressure_fixture_shield","","","enemy.pressure.fixture.shield","","","","","","true","true"
"PressureChannelContribution","dev_pressure_fixture_shield","","","pressure.cast_interrupt","","","3000","","","false","true"
"PressureChannelContribution","dev_pressure_fixture_shield","","","pressure.shield","","","7000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_shield","","group.shield.recommended","capability.burst_window","Recommended","Any","3500","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_shield","","group.shield.required.any","capability.break_power","Required","Any","5000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_shield","","group.shield.required.any","capability.thunder_chain","Required","Any","4500","","","false","true"
"BuildPressureProfile","dev_pressure_fixture_status","","","enemy.pressure.fixture.label","","","","","","true","true"
"PressureChannelContribution","dev_pressure_fixture_status","","","pressure.status_damage","","","10000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_status","","group.status.recommended","capability.guard_power","Recommended","Any","3000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_status","","group.status.required.all","capability.cleanse_power","Required","All","5000","","","false","true"
"BuildCapabilityRequirement","dev_pressure_fixture_status","","group.status.required.all","capability.debuff_counter","Required","All","4000","","","false","true"
"CounterWindowProfile","dev_window_fixture_interrupt","","","enemy.window.fixture.label","","","","","1200","true","true"
"CounterWindowOpenCondition","dev_window_fixture_interrupt","","condition.interrupt.skill","dev_skill_fixture_pressure_channel","","Any","","SkillPatternInterrupted","1200","false","true"
"CounterWindowProfile","dev_window_fixture_phase_counter","","","enemy.window.fixture.label","","","","","0","true","true"
"CounterWindowOpenCondition","dev_window_fixture_phase_counter","","condition.phase.entered","dev_phase_fixture_pressure","","Any","","BossPhaseEntered","0","false","true"
"CounterWindowCloseCondition","dev_window_fixture_phase_counter","","condition.phase.exited","dev_phase_fixture_pressure","","Any","","BossPhaseExited","0","false","true"
"CounterWindowProfile","dev_window_fixture_shell_break","","","enemy.window.fixture.label","","","","","1500","true","true"
"CounterWindowOpenCondition","dev_window_fixture_shell_break","","condition.shell.signal","signal.fixture.shell_broken","","Any","","MechanicSignal","1500","false","true"
"CounterWindowCloseCondition","dev_window_fixture_shell_break","","condition.shell.skill_completed","dev_skill_fixture_core_channel","","Any","","SkillPatternCompleted","1500","false","true"
"PressureSourceBinding","dev_pressure_fixture_cast","MechanicProfile","dev_enemy_caster_problem","dev_pressure_fixture_cast","","","","","","false","true"
"PressureSourceBinding","dev_pressure_fixture_status","MechanicProfile","dev_enemy_caster_problem","dev_pressure_fixture_status","","","","","","false","true"
"PressureSourceBinding","dev_pressure_fixture_shield","MechanicProfile","dev_enemy_shield_problem","dev_pressure_fixture_shield","","","","","","false","true"
"PressureSourceBinding","dev_pressure_fixture_shield","MapRule","dev_map_black_furnace_smoke","dev_pressure_fixture_shield","","","","","","false","true"
"PressureSourceBinding","dev_pressure_fixture_cast","SkillPattern","dev_skill_fixture_pressure_channel","dev_pressure_fixture_cast","","","","","","false","true"
"PressureSourceBinding","dev_pressure_fixture_cast","BossPhase","dev_phase_fixture_pressure","dev_pressure_fixture_cast","","","","","","false","true"
"CounterWindowSourceBinding","dev_window_fixture_shell_break","MechanicProfile","dev_enemy_shield_problem","dev_window_fixture_shell_break","","","","","","false","true"
"CounterWindowSourceBinding","dev_window_fixture_shell_break","MapRule","dev_map_black_furnace_smoke","dev_window_fixture_shell_break","","","","","","false","true"
"CounterWindowSourceBinding","dev_window_fixture_interrupt","SkillPattern","dev_skill_fixture_pressure_channel","dev_window_fixture_interrupt","","","","","","false","true"
"CounterWindowSourceBinding","dev_window_fixture_phase_counter","BossPhase","dev_phase_fixture_pressure","dev_window_fixture_phase_counter","","","","","","false","true"
"PressureCounterWindowBinding","dev_pressure_fixture_cast","","","dev_window_fixture_interrupt","","","","","","false","true"
"PressureCounterWindowBinding","dev_pressure_fixture_cast","","","dev_window_fixture_phase_counter","","","","","","false","true"
"PressureCounterWindowBinding","dev_pressure_fixture_formation","","","dev_window_fixture_phase_counter","","","","","","false","true"
"PressureCounterWindowBinding","dev_pressure_fixture_shield","","","dev_window_fixture_interrupt","","","","","","false","true"
"PressureCounterWindowBinding","dev_pressure_fixture_shield","","","dev_window_fixture_shell_break","","","","","","false","true"
