"checkId","expected","actual","status"
"baseline.e02.vocabulary","63","63","PASS"
"baseline.e03.carrierBindings","17","17","PASS"
"baseline.e03.carriers","11/7/18","11/7/18","PASS"
"baseline.e03.exceptions","2","2","PASS"
"baseline.e03.mapBindings","30","30","PASS"
"baseline.e03.maps","10","10","PASS"
"baseline.e03.profiles","10/6/16","10/6/16","PASS"
"baseline.e04.fixture","2/4/6","2/4/6","PASS"
"baseline.e05.fixture","4/3/3/3/2","4/3/3/3/2","PASS"
"conditions.bossPhaseEntered","present","evaluated","PASS"
"conditions.conditionClose","present","evaluated","PASS"
"conditions.firstOfTimeOrCondition","present","evaluated","PASS"
"conditions.mechanicSignal","present","evaluated","PASS"
"conditions.skillInterrupted","present","evaluated","PASS"
"conditions.timedClose","present","evaluated","PASS"
"fixture.pressureSources","6","6","PASS"
"fixture.pressureWindows","5","5","PASS"
"fixture.pressures","4","4","PASS"
"fixture.requirements",">=8","11","PASS"
"fixture.windowSources","4","4","PASS"
"fixture.windows","3","3","PASS"
"immutable.closeConditions","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.contributions","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.defensiveCopy","4","4","PASS"
"immutable.openConditions","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.pressureSources","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.pressureWindows","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.pressures","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.requirementGroups","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.requirements","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.windowSources","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"immutable.windows","read-only and mutation rejected","readOnly=True,throws=True","PASS"
"leak.answerAndReward","0","0","PASS"
"leak.chapterHardcode","0","0","PASS"
"leak.editorLegacyReader","1","1","PASS"
"leak.playerSafe","0","0","PASS"
"leak.runtime.BuildPressureSnapshots.cs.Addressables","0","0","PASS"
"leak.runtime.BuildPressureSnapshots.cs.ApplyDamage","0","0","PASS"
"leak.runtime.BuildPressureSnapshots.cs.BattleBridge","0","0","PASS"
