seedId,encounterId,waveId,waveOrder,slotId,slotKind,slotRole,carrierId,quantity,mechanicProfileIds,resolved,isolationCompatible
"dev_seed_3_10_cleanse_corner","dev_encounter_3_10_cleanse_corner","wave_ordinary","0","slot_ordinary","Enemy","Normal","dev_enemy_poison_cultist","1","dev_enemy_poison_burn_problem","true","true"
"dev_seed_3_10_cleanse_corner","dev_encounter_3_10_cleanse_corner","wave_damping","1","slot_damping","Enemy","Elite","dev_enemy_burning_wisp","1","dev_enemy_poison_burn_problem","true","true"
"dev_seed_3_10_cleanse_corner","dev_encounter_3_10_cleanse_corner","wave_boss","2","slot_boss","Boss","Boss","dev_boss_debuff_jinge","1","dev_boss_dirty_dream_mother","true","true"
"dev_seed_3_10_guard_wall","dev_encounter_3_10_guard_wall","wave_ordinary","0","slot_ordinary","Enemy","Normal","dev_enemy_caster_chanter","1","dev_enemy_caster_problem","true","true"
"dev_seed_3_10_guard_wall","dev_encounter_3_10_guard_wall","wave_damping","1","slot_damping","Enemy","Elite","dev_enemy_seal_locker","1","dev_enemy_seal_problem","true","true"
"dev_seed_3_10_guard_wall","dev_encounter_3_10_guard_wall","wave_boss","2","slot_boss","Boss","Boss","dev_boss_burst_huzhen","1","dev_boss_bronze_formation_general","true","true"
"dev_seed_4_10_furnace_core","dev_encounter_4_10_furnace_core","wave_ordinary","0","slot_ordinary","Enemy","Normal","dev_enemy_spirit_thief","1","dev_enemy_spirit_thief_problem","true","true"
"dev_seed_4_10_furnace_core","dev_encounter_4_10_furnace_core","wave_damping","1","slot_damping","Enemy","Elite","dev_enemy_formation_eye_jammer","1","dev_enemy_formation_eye_problem","true","true"
"dev_seed_4_10_furnace_core","dev_encounter_4_10_furnace_core","wave_boss","2","slot_boss","Boss","Boss","dev_boss_energy_juneng","1","dev_boss_spirit_thief_core","true","true"
"dev_seed_4_10_thunder_fire_cross","dev_encounter_4_10_thunder_fire_cross","wave_ordinary","0","slot_ordinary","Enemy","Normal","dev_enemy_formation_eye_jammer","1","dev_enemy_formation_eye_problem","true","true"
"dev_seed_4_10_thunder_fire_cross","dev_encounter_4_10_thunder_fire_cross","wave_damping","1","slot_damping","Enemy","Elite","dev_enemy_spirit_thief","1","dev_enemy_spirit_thief_problem","true","true"
"dev_seed_4_10_thunder_fire_cross","dev_encounter_4_10_thunder_fire_cross","wave_boss","2","slot_boss","Boss","Boss","dev_boss_hybrid_combo","1","dev_boss_black_furnace_complex_eye","true","true"
