checkId,expected,actual,result
"baseline.e03","11/7/18 carriers;16 profiles;10 maps;17 bindings;2 exceptions","11/7/18;16;10;17;2",PASS
"composition.counts","4/12/12","4/12/12",PASS
"composition.furnaceCrossLayer","accepted","accepted",PASS
"composition.slotKinds","8/4","8/4",PASS
"determinism.inputOrder","Full+PlayerSafe stable","sha256:377fb8d27d35dd127b915944d8a00c1b17afd6a580254dc21bc8d44e51a815a3/sha256:aa1c4ccde3fccaadc09da4bcb0e72bf53ee9c110ed84d366e20ebd875bf4775d",PASS
"determinism.repeat","Full+PlayerSafe stable","sha256:377fb8d27d35dd127b915944d8a00c1b17afd6a580254dc21bc8d44e51a815a3/sha256:aa1c4ccde3fccaadc09da4bcb0e72bf53ee9c110ed84d366e20ebd875bf4775d",PASS
"fidelity.capabilities","10/10","10/10",PASS
"fidelity.channels","10/10","10/10",PASS
"fidelity.pressureSources","39/39","39/39",PASS
"fidelity.windowSourceConditions","20/20","20/20",PASS
"formalFlow.references","0","0",PASS
"immutability.catalogs","E04/E05/E06 rejected","checked",PASS
"immutability.playerProfiles","rejected","rejected",PASS
"immutability.seedProfiles","rejected","rejected",PASS
"isolation.relations","0","0",PASS
"isolation.root","true/false/false","True/False/False",PASS
"legacy.mapping","4/4;runtime=0","4/4;runtime=0",PASS
"mapping.seeds","4/4","4/4",PASS
"negative.bossSlotEnemyCarrier","rejected","BOSS_REFERENCE_UNRESOLVED;SLOT_CARRIER_KIND_MISMATCH",PASS
"negative.isolation","E10_ISOLATION_INVALID","E10_ISOLATION_INVALID",PASS
"negative.missingSeed","E10_SEED_COUNT","E10_SEED_COUNT;E10_SEED_MISSING;E10_PLAYER_SEED_COUNT",PASS
"negative.nullDependency","E10_E02_NULL","E10_E02_NULL",PASS
"negative.nullInput","E10_NULL_INPUT","E10_NULL_INPUT",PASS
"negative.playerLeak","E10_PLAYER_FORBIDDEN_TOKEN","E10_PLAYER_FORBIDDEN_TOKEN",PASS
"negative.pressureWeight","rejected","PRESSURE_WEIGHT_TOTAL_INVALID",PASS
"negative.requirementRoleMatch","E10_REQUIRED_MATCH_MODE","E10_REQUIRED_CAPABILITY_FIDELITY;E10_REQUIRED_MATCH_MODE",PASS
"negative.semanticPressureChannel","E10_PRESSURE_CHANNEL_FIDELITY","E10_PRESSURE_CHANNEL_FIDELITY",PASS
"negative.semanticPressureSource","E10_PRESSURE_SOURCE_FIDELITY","E10_PRESSURE_SOURCE_FIDELITY;E10_PRESSURE_WINDOW_SOURCE_UNREACHABLE",PASS
"negative.semanticPressureWindowReachability","E10_PRESSURE_WINDOW_SOURCE_UNREACHABLE","E10_WINDOW_SOURCE_COVERAGE;E10_PRESSURE_WINDOW_SOURCE_UNREACHABLE",PASS
"negative.semanticRequiredCapability","E10_REQUIRED_CAPABILITY_FIDELITY","E10_REQUIRED_CAPABILITY_FIDELITY",PASS
"negative.semanticWindowSourceCondition","E10_WINDOW_SOURCE_CONDITION_MISMATCH","E10_WINDOW_OPEN_CONDITION_FIDELITY;E10_WINDOW_SOURCE_CONDITION_MISMATCH",PASS
"negative.stageMapping","E10_SEED_MAPPING_MISMATCH","E10_SEED_MAPPING_MISMATCH",PASS
"negative.unboundCarrierMechanic","rejected","CARRIER_MECHANIC_BINDING_MISSING",PASS
"negative.unknownMapRule","rejected","MAP_RULE_REFERENCE_UNRESOLVED",PASS
"negative.unknownPattern","rejected","SKILL_PATTERN_REFERENCE_UNRESOLVED",PASS
"negative.unknownPhase","rejected","BOSS_PHASE_REFERENCE_UNRESOLVED",PASS
"negative.unknownPressure","rejected","BUILD_PRESSURE_REFERENCE_UNRESOLVED",PASS
"negative.unknownReferences","E10_SEED_REFERENCE_UNRESOLVED","E10_SEED_MAPPING_MISMATCH;E10_SEED_REFERENCE_UNRESOLVED",PASS
"negative.unknownWindow","rejected","COUNTER_WINDOW_REFERENCE_UNRESOLVED",PASS
"negative.waveOrderGap","rejected","WAVE_ORDER_NON_CONTIGUOUS",PASS
"playerSafe.answerLeak","0","0",PASS
"pressureWindow.counts","10/6","10/6",PASS
