entityType,ownerId,entityId,role,matchMode,referenceKind,referenceId,value,playerKey,developerOnly,nonFormalTuning
"Pressure","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye","","","","","","enemy.pressure.complex_eye.label","false","false"
"Channel","dev_boss_black_furnace_complex_eye","pressure.cast_interrupt","","","PressureChannel","pressure.cast_interrupt","2000","","true","true"
"Channel","dev_boss_black_furnace_complex_eye","pressure.placement_formation","","","PressureChannel","pressure.placement_formation","2500","","true","true"
"Channel","dev_boss_black_furnace_complex_eye","pressure.resource_disruption","","","PressureChannel","pressure.resource_disruption","2000","","true","true"
"Channel","dev_boss_black_furnace_complex_eye","pressure.shield","","","PressureChannel","pressure.shield","2000","","true","true"
"Channel","dev_boss_black_furnace_complex_eye","pressure.status_damage","","","PressureChannel","pressure.status_damage","1500","","true","true"
"RequirementGroup","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye.required","Required","All","","","","","true","true"
"Requirement","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye.required","Required","All","BuildCapability","capability.break_power","5710","","true","true"
"Requirement","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye.required","Required","All","BuildCapability","capability.burst_window","4743","","true","true"
"Requirement","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye.required","Required","All","BuildCapability","capability.cleanse_power","6388","","true","true"
"Requirement","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye.required","Required","All","BuildCapability","capability.clear_power","4503","","true","true"
"Requirement","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye.required","Required","All","BuildCapability","capability.control_power","5677","","true","true"
"Requirement","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye.required","Required","All","BuildCapability","capability.energy_stability","4366","","true","true"
"Requirement","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye.required","Required","All","BuildCapability","capability.guard_power","5980","","true","true"
"Pressure","dev_boss_bronze_formation_general","dev_boss_bronze_formation_general","","","","","","enemy.pressure.bronze_general.label","false","false"
"Channel","dev_boss_bronze_formation_general","pressure.burst_survival","","","PressureChannel","pressure.burst_survival","10000","","true","true"
"RequirementGroup","dev_boss_bronze_formation_general","dev_boss_bronze_formation_general.required","Required","All","","","","","true","true"
"Requirement","dev_boss_bronze_formation_general","dev_boss_bronze_formation_general.required","Required","All","BuildCapability","capability.energy_stability","5836","","true","true"
"Requirement","dev_boss_bronze_formation_general","dev_boss_bronze_formation_general.required","Required","All","BuildCapability","capability.guard_power","4513","","true","true"
"Requirement","dev_boss_bronze_formation_general","dev_boss_bronze_formation_general.required","Required","All","BuildCapability","capability.placement_shape","4631","","true","true"
"Pressure","dev_boss_dirty_dream_mother","dev_boss_dirty_dream_mother","","","","","","enemy.pressure.dirty_dream.label","false","false"
"Channel","dev_boss_dirty_dream_mother","pressure.status_damage","","","PressureChannel","pressure.status_damage","10000","","true","true"
"RequirementGroup","dev_boss_dirty_dream_mother","dev_boss_dirty_dream_mother.required","Required","All","","","","","true","true"
"Requirement","dev_boss_dirty_dream_mother","dev_boss_dirty_dream_mother.required","Required","All","BuildCapability","capability.cleanse_power","5028","","true","true"
"Requirement","dev_boss_dirty_dream_mother","dev_boss_dirty_dream_mother.required","Required","All","BuildCapability","capability.control_power","6210","","true","true"
