entityType,entityId,ownerId,order,referenceKind,referenceIds,playerKey,developerSourceIds,devOnly,isEnabled,entersFormalFlow
"Pattern","dev_skill_bronze_general_burst","","","MechanicProfile","dev_boss_bronze_formation_general","enemy.skill.bronze_general_burst.label","dev_source_e10_skill_bronze_general_burst","true","false","false"
"Pattern","dev_skill_caster_long_cast","","","MechanicProfile","dev_enemy_caster_problem","enemy.skill.caster_long_cast.label","dev_source_e10_skill_caster_long_cast","true","false","false"
"Pattern","dev_skill_complex_eye_composite","","","MechanicProfile","dev_boss_black_furnace_complex_eye","enemy.skill.complex_eye_composite.label","dev_source_e10_skill_complex_eye_composite","true","false","false"
"Pattern","dev_skill_dirty_dream_pressure","","","MechanicProfile","dev_boss_dirty_dream_mother","enemy.skill.dirty_dream_pressure.label","dev_source_e10_skill_dirty_dream_pressure","true","false","false"
"Pattern","dev_skill_formation_eye_disruption","","","MechanicProfile","dev_enemy_formation_eye_problem","enemy.skill.formation_eye_disruption.label","dev_source_e10_skill_formation_eye_disruption","true","false","false"
"Pattern","dev_skill_seal_lock","","","MechanicProfile","dev_enemy_seal_problem","enemy.skill.seal_lock.label","dev_source_e10_skill_seal_lock","true","false","false"
"Pattern","dev_skill_spirit_core_channel","","","MechanicProfile","dev_boss_spirit_thief_core","enemy.skill.spirit_core_channel.label","dev_source_e10_skill_spirit_core_channel","true","false","false"
"Pattern","dev_skill_spirit_drain","","","MechanicProfile","dev_enemy_spirit_thief_problem","enemy.skill.spirit_drain.label","dev_source_e10_skill_spirit_drain","true","false","false"
"Pattern","dev_skill_status_spread","","","MechanicProfile","dev_enemy_poison_burn_problem","enemy.skill.status_spread.label","dev_source_e10_skill_status_spread","true","false","false"
"Sequence","dev_sequence_bronze_general_burst","","0","SkillPattern","dev_skill_bronze_general_burst","","","true","false","false"
"Sequence","dev_sequence_caster_long_cast","","0","SkillPattern","dev_skill_caster_long_cast","","","true","false","false"
"Sequence","dev_sequence_complex_eye_composite","","0","SkillPattern","dev_skill_complex_eye_composite","","","true","false","false"
"Sequence","dev_sequence_dirty_dream_pressure","","0","SkillPattern","dev_skill_dirty_dream_pressure","","","true","false","false"
"Sequence","dev_sequence_formation_eye_disruption","","0","SkillPattern","dev_skill_formation_eye_disruption","","","true","false","false"
"Sequence","dev_sequence_seal_lock","","0","SkillPattern","dev_skill_seal_lock","","","true","false","false"
"Sequence","dev_sequence_spirit_core_channel","","0","SkillPattern","dev_skill_spirit_core_channel","","","true","false","false"
"Sequence","dev_sequence_spirit_drain","","0","SkillPattern","dev_skill_spirit_drain","","","true","false","false"
"Sequence","dev_sequence_status_spread","","0","SkillPattern","dev_skill_status_spread","","","true","false","false"
"CarrierBinding","dev_enemy_burning_wisp","Enemy","","SkillSequence","dev_sequence_status_spread","","","true","false","false"
"CarrierBinding","dev_enemy_caster_chanter","Enemy","","SkillSequence","dev_sequence_caster_long_cast","","","true","false","false"
"CarrierBinding","dev_enemy_formation_eye_jammer","Enemy","","SkillSequence","dev_sequence_formation_eye_disruption","","","true","false","false"
"CarrierBinding","dev_enemy_poison_cultist","Enemy","","SkillSequence","dev_sequence_status_spread","","","true","false","false"
"CarrierBinding","dev_enemy_seal_locker","Enemy","","SkillSequence","dev_sequence_seal_lock","","","true","false","false"
"CarrierBinding","dev_enemy_spirit_thief","Enemy","","SkillSequence","dev_sequence_spirit_drain","","","true","false","false"
"CarrierBinding","dev_boss_burst_huzhen","Boss","","SkillSequence","dev_sequence_bronze_general_burst","","","true","false","false"
"CarrierBinding","dev_boss_debuff_jinge","Boss","","SkillSequence","dev_sequence_dirty_dream_pressure","","","true","false","false"
"CarrierBinding","dev_boss_energy_juneng","Boss","","SkillSequence","dev_sequence_spirit_core_channel","","","true","false","false"
"CarrierBinding","dev_boss_hybrid_combo","Boss","","SkillSequence","dev_sequence_complex_eye_composite","","","true","false","false"
"Phase","dev_phase_bronze_general_opening","","","SkillSequence","dev_sequence_bronze_general_burst","boss.phase.bronze_general_opening.label","dev_source_e10_phase_bronze_general_opening","true","false","false"
"Phase","dev_phase_bronze_general_pressure","","","SkillSequence","dev_sequence_bronze_general_burst","boss.phase.bronze_general_pressure.label","dev_source_e10_phase_bronze_general_pressure","true","false","false"
"Phase","dev_phase_complex_eye_opening","","","SkillSequence","dev_sequence_complex_eye_composite","boss.phase.complex_eye_opening.label","dev_source_e10_phase_complex_eye_opening","true","false","false"
"Phase","dev_phase_complex_eye_pressure","","","SkillSequence","dev_sequence_complex_eye_composite","boss.phase.complex_eye_pressure.label","dev_source_e10_phase_complex_eye_pressure","true","false","false"
"Phase","dev_phase_dirty_dream_opening","","","SkillSequence","dev_sequence_dirty_dream_pressure","boss.phase.dirty_dream_opening.label","dev_source_e10_phase_dirty_dream_opening","true","false","false"
"Phase","dev_phase_dirty_dream_pressure","","","SkillSequence","dev_sequence_dirty_dream_pressure","boss.phase.dirty_dream_pressure.label","dev_source_e10_phase_dirty_dream_pressure","true","false","false"
"Phase","dev_phase_spirit_core_opening","","","SkillSequence","dev_sequence_spirit_core_channel","boss.phase.spirit_core_opening.label","dev_source_e10_phase_spirit_core_opening","true","false","false"
"Phase","dev_phase_spirit_core_pressure","","","SkillSequence","dev_sequence_spirit_core_channel","boss.phase.spirit_core_pressure.label","dev_source_e10_phase_spirit_core_pressure","true","false","false"
"Plan","dev_boss_burst_huzhen","dev_boss_burst_huzhen","0","BossPhase","dev_phase_bronze_general_opening","","","true","false","false"
"Plan","dev_boss_burst_huzhen","dev_boss_burst_huzhen","1","BossPhase","dev_phase_bronze_general_pressure","","","true","false","false"
"Plan","dev_boss_debuff_jinge","dev_boss_debuff_jinge","0","BossPhase","dev_phase_dirty_dream_opening","","","true","false","false"
"Plan","dev_boss_debuff_jinge","dev_boss_debuff_jinge","1","BossPhase","dev_phase_dirty_dream_pressure","","","true","false","false"
"Plan","dev_boss_energy_juneng","dev_boss_energy_juneng","0","BossPhase","dev_phase_spirit_core_opening","","","true","false","false"
"Plan","dev_boss_energy_juneng","dev_boss_energy_juneng","1","BossPhase","dev_phase_spirit_core_pressure","","","true","false","false"
"Plan","dev_boss_hybrid_combo","dev_boss_hybrid_combo","0","BossPhase","dev_phase_complex_eye_opening","","","true","false","false"
"Plan","dev_boss_hybrid_combo","dev_boss_hybrid_combo","1","BossPhase","dev_phase_complex_eye_pressure","","","true","false","false"
