caseId,repeatCount,baselineSignature,repeatSignature,changedField,changedSignature,result
"same-input-1000-repeat",1000,"8f107d35231be6fb06dfcf977e65a7171c0de6fa4b40c37636a65425c492a6da","8f107d35231be6fb06dfcf977e65a7171c0de6fa4b40c37636a65425c492a6da","none","8f107d35231be6fb06dfcf977e65a7171c0de6fa4b40c37636a65425c492a6da","PASS"
"delta-request-identity",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","dropRequestId","12af27cc92b729dfc3ee733691ebb549aa7f19d222732dace57d789fc7050c96","PASS"
"delta-acquisition-mode",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","acquisitionMode","47f8427e2782e2a8278abe2b3fbdbace598a188afe6e47da0344afa7872b2a37","PASS"
"delta-correlation-stage",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","stageId","4fd38cb6c314c59200652cffd724881ea437ecd5aaa584963790844c672be244","PASS"
"delta-root-seed",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","rootSeed","fd812ad489f4e65dfdb7139c975522bc39d0027e3530405f40080c8ba5db882f","PASS"
"delta-generation-version",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","generationVersion","700f335afeadf2608fbd186322ac48d045a52cb15e72c54c6d89e80a414ec239","PASS"
"delta-pool-version",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","poolVersion","d06a68e41d10bccc8d0a55de889ba86d1828832b645ceb339e943f760d562081","PASS"
"delta-tier-profile",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","rarityTierProfileId","669575087180ba3c5b525cf92aa24928b5d5f3724a399d9fac222ef77d5812df","PASS"
"delta-attribute-band",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","attributeRollBandProfileId","42c017439c70220c593e8c8d419c5a4133e049cbdb75e5bf314e4937769decff","PASS"
"delta-roll-policy",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","rollPolicyVersion","59f422b0676be72ae5f694d5d5b73c235a6f798b867d7364f811f0d98e1cee93","PASS"
"delta-launch-context",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","launchContext","44d47c67e43d9a5b93fb89d966734f5a878758d9104979ae9c8abc5035cf5133","PASS"
"delta-persistence-policy",1,"5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","5fcb405733074920aca62294cfe95f3b5f3725cb3e1850c2855de5d66af8176a","persistencePolicy","20679cb68efb5df442f7781a3a70a2d15600379f19ca214ebc3fbebaf3dc4824","PASS"
"delta-subject-category",1,"1c2f34ac233189a16f4ddc2b3c3e8aee5a92dc391be0ab7ac68d3b356a5a634c","1c2f34ac233189a16f4ddc2b3c3e8aee5a92dc391be0ab7ac68d3b356a5a634c","subjectKind","c657da07c74f6507aeddff3433f997843ae9c197ee47f64614286c505d18f1f1","PASS"
"delta-item-instance",1,"1c2f34ac233189a16f4ddc2b3c3e8aee5a92dc391be0ab7ac68d3b356a5a634c","1c2f34ac233189a16f4ddc2b3c3e8aee5a92dc391be0ab7ac68d3b356a5a634c","itemInstanceId","b0623e72bbef1b6eed0c71dcc251e8881cca3390e6ba9251e46cd631e9b797c7","PASS"
"delta-source-canonical-signature",1,"1c2f34ac233189a16f4ddc2b3c3e8aee5a92dc391be0ab7ac68d3b356a5a634c","1c2f34ac233189a16f4ddc2b3c3e8aee5a92dc391be0ab7ac68d3b356a5a634c","instanceCanonicalSignature","cc77116ffa1f9a77c3f6f3f19bb6885396cfd376b5216f2b7baf480e0f7acbc7","PASS"
"delta-quantity",1,"1c2f34ac233189a16f4ddc2b3c3e8aee5a92dc391be0ab7ac68d3b356a5a634c","1c2f34ac233189a16f4ddc2b3c3e8aee5a92dc391be0ab7ac68d3b356a5a634c","quantity","9a296bbd3993f172c290caf1e01a55d5295353b87de674e5043ca61a5873ca40","PASS"
