ownerType,fieldName,fieldType,cardinality,semantic,visibility,sourceOfTruth
"EncounterCompositionCatalogInput","schemaId","string","1","Exact schema identity.","developer schema","E04"
"EncounterCompositionCatalogInput","schemaVersion","int","1","Exact schema version.","developer schema","E04"
"EncounterCompositionCatalogInput","encounters","IReadOnlyList<EncounterCompositionSnapshot>","0..N","Defensively copied composition inputs.","developer schema","E04"
"EncounterCompositionCatalogSnapshot","canonicalSignature","string","1","Deterministic full-content SHA-256 signature.","developer diagnostic","E04"
"EncounterCompositionSnapshot","encounterReference","EncounterReference","1","Encounter identity and isolation flags.","internal data","E01"
"EncounterCompositionSnapshot","mapRuleIds","IReadOnlyList<string>","0..N","Global MapRule references for the Encounter.","internal data","E03"
"EncounterCompositionSnapshot","waves","IReadOnlyList<EncounterWaveSnapshot>","1..N","Ordered Wave composition.","internal data","E04"
"EncounterCompositionSnapshot","developerContentTagIds","IReadOnlyList<string>","0..N","Developer chapter and diagnostic tags.","developer-only","E04"
"EncounterWaveSnapshot","waveId","string","1","Stable Wave identity inside one Encounter.","internal data","E04"
"EncounterWaveSnapshot","waveOrder","int","1","Explicit zero-based deterministic Wave order.","internal data","E04"
"EncounterWaveSnapshot","slots","IReadOnlyList<EncounterSlotSnapshot>","1..N","Ordered Enemy/Boss Slot composition.","internal data","E04"
"EncounterSlotSnapshot","slotId","string","1","Stable Slot identity inside one Encounter.","internal data","E04"
"EncounterSlotSnapshot","spawnOrder","int","1","Explicit zero-based deterministic Slot order.","internal data","E04"
"EncounterSlotSnapshot","kind","EncounterSlotKind","1","Enemy or Boss carrier kind.","internal data","E04"
"EncounterSlotSnapshot","role","EncounterSlotRole","1","Normal, Elite, or Boss composition role.","internal data","E04"
"EncounterSlotSnapshot","carrierId","string","1","E03 Enemy/Boss carrier reference.","internal data","E03"
"EncounterSlotSnapshot","quantity","int","1","Carrier count only; no combat statistics.","internal data","E04"
"EncounterSlotSnapshot","mechanicProfileIds","IReadOnlyList<string>","0..N","Selected E03 CarrierMechanicBinding references.","internal data","E03"
