sourceKind,sourceId,targetKind,targetId,bindingType,bindingReason,status
Enemy,"dev_enemy_shield_guard",MechanicProfile,"dev_enemy_shield_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_swarm_pack",MechanicProfile,"dev_enemy_swarm_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_poison_cultist",MechanicProfile,"dev_enemy_poison_burn_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_burning_wisp",MechanicProfile,"dev_enemy_poison_burn_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_spirit_thief",MechanicProfile,"dev_enemy_spirit_thief_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_seal_locker",MechanicProfile,"dev_enemy_seal_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_burst_assassin",MechanicProfile,"dev_enemy_burst_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_caster_chanter",MechanicProfile,"dev_enemy_caster_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_thick_blood",MechanicProfile,"dev_enemy_thick_blood_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Enemy,"dev_enemy_formation_eye_jammer",MechanicProfile,"dev_enemy_formation_eye_problem",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Boss,"dev_boss_shield_jinglei",MechanicProfile,"dev_boss_black_furnace_shell",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Boss,"dev_boss_swarm_lihuo",MechanicProfile,"dev_boss_paper_faces",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Boss,"dev_boss_burst_huzhen",MechanicProfile,"dev_boss_bronze_formation_general",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Boss,"dev_boss_debuff_jinge",MechanicProfile,"dev_boss_dirty_dream_mother",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Boss,"dev_boss_caster_zhenhun",MechanicProfile,"dev_boss_spirit_thief_core",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Boss,"dev_boss_energy_juneng",MechanicProfile,"dev_boss_spirit_thief_core",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
Boss,"dev_boss_hybrid_combo",MechanicProfile,"dev_boss_black_furnace_complex_eye",CarrierMechanic,"Guard-approved explicit legacy carrier-to-mechanic-profile normalization binding.",BOUND
