identityKind,stableId,owningComponentId,devOnly,isEnabled,entersFormalFlow,duplicateCount,fixtureOnly
Enemy,dev_enemy_basic,E01,true,false,false,0,true
Enemy,dev_enemy_burning_wisp,E01,true,false,false,0,true
Enemy,dev_enemy_burst_assassin,E01,true,false,false,0,true
Enemy,dev_enemy_caster_chanter,E01,true,false,false,0,true
Enemy,dev_enemy_formation_eye_jammer,E01,true,false,false,0,true
Enemy,dev_enemy_poison_cultist,E01,true,false,false,0,true
Enemy,dev_enemy_seal_locker,E01,true,false,false,0,true
Enemy,dev_enemy_shield_guard,E01,true,false,false,0,true
Enemy,dev_enemy_spirit_thief,E01,true,false,false,0,true
Enemy,dev_enemy_swarm_pack,E01,true,false,false,0,true
Enemy,dev_enemy_thick_blood,E01,true,false,false,0,true
Boss,dev_boss_burst_huzhen,E01,true,false,false,0,true
Boss,dev_boss_caster_zhenhun,E01,true,false,false,0,true
Boss,dev_boss_debuff_jinge,E01,true,false,false,0,true
Boss,dev_boss_energy_juneng,E01,true,false,false,0,true
Boss,dev_boss_hybrid_combo,E01,true,false,false,0,true
Boss,dev_boss_shield_jinglei,E01,true,false,false,0,true
Boss,dev_boss_swarm_lihuo,E01,true,false,false,0,true
MechanicProfile,dev_boss_black_furnace_complex_eye,E03,true,false,false,0,true
MechanicProfile,dev_boss_black_furnace_shell,E03,true,false,false,0,true
MechanicProfile,dev_boss_bronze_formation_general,E03,true,false,false,0,true
MechanicProfile,dev_boss_dirty_dream_mother,E03,true,false,false,0,true
MechanicProfile,dev_boss_paper_faces,E03,true,false,false,0,true
MechanicProfile,dev_boss_spirit_thief_core,E03,true,false,false,0,true
MechanicProfile,dev_enemy_burst_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_caster_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_formation_eye_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_poison_burn_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_polluted_tile_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_seal_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_shield_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_spirit_thief_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_swarm_problem,E03,true,false,false,0,true
MechanicProfile,dev_enemy_thick_blood_problem,E03,true,false,false,0,true
MapRule,dev_map_black_furnace_smoke,E03,true,false,false,0,true
MapRule,dev_map_bluestone_crack,E03,true,false,false,0,true
MapRule,dev_map_bluestone_damp,E03,true,false,false,0,true
MapRule,dev_map_copper_bell_night,E03,true,false,false,0,true
MapRule,dev_map_formation_eye_shift,E03,true,false,false,0,true
MapRule,dev_map_furnace_ash_fall,E03,true,false,false,0,true
MapRule,dev_map_lamp_shortage,E03,true,false,false,0,true
MapRule,dev_map_night_watch_lamp_out,E03,true,false,false,0,true
MapRule,dev_map_old_lane_echo,E03,true,false,false,0,true
MapRule,dev_map_talisman_paper_damp,E03,true,false,false,0,true
Encounter,dev_encounter_fixture_alpha,E04,true,false,false,0,true
Encounter,dev_encounter_fixture_beta,E04,true,false,false,0,true
SkillPattern,dev_skill_fixture_core_channel,E05,true,false,false,0,true
SkillPattern,dev_skill_fixture_guard_cast,E05,true,false,false,0,true
SkillPattern,dev_skill_fixture_pressure_channel,E05,true,false,false,0,true
SkillPattern,dev_skill_fixture_spirit_pulse,E05,true,false,false,0,true
SkillSequence,dev_sequence_fixture_boss_pressure,E05,true,false,false,0,true
SkillSequence,dev_sequence_fixture_enemy_echo,E05,true,false,false,0,true
SkillSequence,dev_sequence_fixture_enemy_pressure,E05,true,false,false,0,true
BossPhase,dev_phase_fixture_opening,E05,true,false,false,0,true
BossPhase,dev_phase_fixture_pressure,E05,true,false,false,0,true
BossPhase,dev_phase_fixture_signal,E05,true,false,false,0,true
BossPhasePlan,dev_boss_caster_zhenhun,E05,true,false,false,0,true
BossPhasePlan,dev_boss_energy_juneng,E05,true,false,false,0,true
BuildPressureProfile,dev_pressure_fixture_cast,E06,true,false,false,0,true
BuildPressureProfile,dev_pressure_fixture_formation,E06,true,false,false,0,true
BuildPressureProfile,dev_pressure_fixture_shield,E06,true,false,false,0,true
BuildPressureProfile,dev_pressure_fixture_status,E06,true,false,false,0,true
CounterWindow,dev_window_fixture_interrupt,E06,true,false,false,0,true
CounterWindow,dev_window_fixture_phase_counter,E06,true,false,false,0,true
CounterWindow,dev_window_fixture_shell_break,E06,true,false,false,0,true
