sourceKind,sourceId,targetKind,targetId,bindingType,bindingReason,status
MapRule,"dev_map_black_furnace_smoke",EnemyMechanicProfile,"dev_enemy_shield_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_black_furnace_smoke",EnemyMechanicProfile,"dev_enemy_swarm_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_black_furnace_smoke",BossMechanicProfile,"dev_boss_black_furnace_shell",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_bluestone_crack",EnemyMechanicProfile,"dev_enemy_spirit_thief_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_bluestone_crack",EnemyMechanicProfile,"dev_enemy_formation_eye_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_bluestone_crack",BossMechanicProfile,"dev_boss_black_furnace_complex_eye",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_bluestone_damp",EnemyMechanicProfile,"dev_enemy_poison_burn_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_bluestone_damp",EnemyMechanicProfile,"dev_enemy_polluted_tile_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_bluestone_damp",BossMechanicProfile,"dev_boss_dirty_dream_mother",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_copper_bell_night",EnemyMechanicProfile,"dev_enemy_seal_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_copper_bell_night",EnemyMechanicProfile,"dev_enemy_caster_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_copper_bell_night",BossMechanicProfile,"dev_boss_bronze_formation_general",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_formation_eye_shift",EnemyMechanicProfile,"dev_enemy_formation_eye_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_formation_eye_shift",EnemyMechanicProfile,"dev_enemy_spirit_thief_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_formation_eye_shift",BossMechanicProfile,"dev_boss_bronze_formation_general",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_furnace_ash_fall",EnemyMechanicProfile,"dev_enemy_polluted_tile_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_furnace_ash_fall",EnemyMechanicProfile,"dev_enemy_formation_eye_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_furnace_ash_fall",BossMechanicProfile,"dev_boss_black_furnace_complex_eye",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_lamp_shortage",EnemyMechanicProfile,"dev_enemy_burst_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_lamp_shortage",EnemyMechanicProfile,"dev_enemy_caster_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_lamp_shortage",BossMechanicProfile,"dev_boss_paper_faces",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_night_watch_lamp_out",EnemyMechanicProfile,"dev_enemy_burst_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_night_watch_lamp_out",EnemyMechanicProfile,"dev_enemy_seal_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_night_watch_lamp_out",BossMechanicProfile,"dev_boss_spirit_thief_core",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_old_lane_echo",EnemyMechanicProfile,"dev_enemy_swarm_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_old_lane_echo",EnemyMechanicProfile,"dev_enemy_thick_blood_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_old_lane_echo",BossMechanicProfile,"dev_boss_paper_faces",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
MapRule,"dev_map_talisman_paper_damp",EnemyMechanicProfile,"dev_enemy_poison_burn_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_talisman_paper_damp",EnemyMechanicProfile,"dev_enemy_thick_blood_problem",MapRuleMechanic,"Read-only MapRuleSeed.enemyProblemIds reference.",BOUND
MapRule,"dev_map_talisman_paper_damp",BossMechanicProfile,"dev_boss_dirty_dream_mother",MapRuleMechanic,"Read-only MapRuleSeed.bossProblemIds reference.",BOUND
