"ownerType","fieldName","fieldType","cardinality","semantic","visibility","sourceOfTruth","futureConsumer"
"EnemyReadinessEvaluationInput","BuildCapabilitySnapshot","BuildCapabilitySnapshot","1","Validated E07 abstract capability snapshot","developer-only input","E07 Provider","E08 Evaluator"
"EnemyReadinessEvaluationInput","PressureCatalog","CounterWindowAndPressureCatalogSnapshot","1","Validated E06 catalog","developer-only input","E06 Provider","E08 Evaluator"
"EnemyReadinessEvaluationInput","BuildPressureProfileId","string","1","Ordinal-selected E06 pressure","developer-only input","caller","E08 Evaluator"
"MapRuleCapabilityAdjustmentSnapshot","MapRuleId","string","1","E03 MapRule reference","developer-only","E03","E08 Evaluator"
"MapRuleCapabilityAdjustmentSnapshot","BuildCapabilityKey","string","1","E02 abstract capability","developer-only","E02","E08 Evaluator"
"MapRuleCapabilityAdjustmentSnapshot","DeltaBasisPoints","int","1","Non-zero -10000..10000 adjustment","developer-only","caller","E08 Evaluator"
"RequirementCapabilityEvaluationSnapshot","CapabilityGap","CapabilityGapSnapshot","1","E07 gap shape using effective known value or Unknown placeholder","developer-only","E07 shape/E08 value","offline reports"
"RequirementCapabilityEvaluationSnapshot","MapDeltaBasisPoints","long","1","Ordinal deterministic sum before effective clamp","developer-only","E08","offline reports"
"RequirementCapabilityEvaluationSnapshot","RequirementStatus","enum","1","Met Unmet Unknown row status","developer-only","E08","offline reports"
"RequirementCapabilityEvaluationSnapshot","GroupStatus","enum","1","Owning Any/All group status","developer-only","E08","offline reports"
"RequirementGroupEvaluationSnapshot","GroupStatus","enum","1","Any/All aggregate status","developer-only","E08","offline reports"
"DeveloperReadinessSnapshot","ReadinessBand","ReadinessBand","1","Unknown Blocked Strained Ready Strong","developer-only","E07 shape/E08 rule","developer tooling"
"DeveloperReadinessSnapshot","RequirementGroupEvaluations","RequirementGroupEvaluationSnapshot[]","1..N","Explainable group results","developer-only","E08","developer tooling"
"DeveloperReadinessSnapshot","RequirementEvaluations","RequirementCapabilityEvaluationSnapshot[]","1..N","Explainable requirement rows","developer-only","E08","developer tooling"
"DeveloperReadinessSnapshot","DeveloperCanonicalSignature","string","1","Deterministic full evaluation signature","developer-only","E08","validator"
"EnemyReadinessPlayerHintProjection","BuildPressureProfileId","string","1","Public pressure identity","player-safe","E06","future optional consumer"
"EnemyReadinessPlayerHintProjection","PublicPressureLabelKey","string","1","Public pressure label","player-safe","E06","future optional consumer"
"EnemyReadinessPlayerHintProjection","PublicPressureHintKey","string","1","Public pressure hint","player-safe","E06","future optional consumer"
"EnemyReadinessPlayerHintProjection","PlayerHintCategoryKeys","string[]","0..N","Public hint categories","player-safe","E06/E02","future optional consumer"
"EnemyReadinessPlayerHintProjection","PlayerHintSeverity","enum","1","None Notice Warning Critical","player-safe","E08 coarse projection","future optional consumer"
"EnemyReadinessPlayerHintProjection","PlayerSafeCanonicalSignature","string","1","Deterministic player-safe signature","player-safe","E08","validator"
