"scenarioId","coverageMode","pressureProfileId","requirementGroupId","role","matchMode","capabilityKey","availability","baseValue","mapDelta","effectiveValue","requiredValue","gapValue","requirementStatus","groupStatus","readinessBand","playerHintSeverity","fixtureOnly"
"strong","Complete","dev_readiness_fixture_strong","group.recommended.any","Recommended","Any","capability.caster_interrupt","Known","3500","0","3500","3000","0","Met","Met","Strong","None","true"
"strong","Complete","dev_readiness_fixture_strong","group.required.all","Required","All","capability.break_power","Known","6000","0","6000","5000","0","Met","Met","Strong","None","true"
"strong","Complete","dev_readiness_fixture_strong","group.required.all","Required","All","capability.burst_window","Known","4500","0","4500","4000","0","Met","Met","Strong","None","true"
"ready","Sparse","dev_readiness_fixture_ready","group.required.ready","Required","All","capability.break_power","Known","5000","0","5000","5000","0","Met","Met","Ready","None","true"
"strained","Sparse","dev_readiness_fixture_strained","group.recommended.strained","Recommended","Any","capability.burst_window","Known","1000","0","1000","6000","5000","Unmet","Unmet","Strained","Warning","true"
"strained","Sparse","dev_readiness_fixture_strained","group.required.strained","Required","All","capability.break_power","Known","6000","0","6000","5000","0","Met","Met","Strained","Warning","true"
"blocked_known_zero","Sparse","dev_readiness_fixture_blocked_known_zero","group.required.zero","Required","All","capability.break_power","Known","0","0","0","1000","1000","Unmet","Unmet","Blocked","Critical","true"
"unknown_sparse","Sparse","dev_readiness_fixture_unknown_sparse","group.required.unknown","Required","All","capability.break_power","Unknown","0","0","0","1000","0","Unknown","Unknown","Unknown","Notice","true"
"any_alternative","Sparse","dev_readiness_fixture_any_alternative","group.required.any.alternative","Required","Any","capability.break_power","Known","6000","0","6000","5000","0","Met","Met","Ready","None","true"
"any_alternative","Sparse","dev_readiness_fixture_any_alternative","group.required.any.alternative","Required","Any","capability.burst_window","Known","1000","0","1000","5000","4000","Unmet","Met","Ready","None","true"
"any_unknown","Sparse","dev_readiness_fixture_any_unknown","group.required.any.unknown","Required","Any","capability.break_power","Known","1000","0","1000","5000","4000","Unmet","Unknown","Unknown","Notice","true"
"any_unknown","Sparse","dev_readiness_fixture_any_unknown","group.required.any.unknown","Required","Any","capability.burst_window","Unknown","0","0","0","5000","0","Unknown","Unknown","Unknown","Notice","true"
"all_unmet","Sparse","dev_readiness_fixture_all_unmet","group.required.all.unmet","Required","All","capability.break_power","Known","6000","0","6000","5000","0","Met","Unmet","Blocked","Critical","true"
"all_unmet","Sparse","dev_readiness_fixture_all_unmet","group.required.all.unmet","Required","All","capability.burst_window","Known","1000","0","1000","5000","4000","Unmet","Unmet","Blocked","Critical","true"
"map_buff","Sparse","dev_readiness_fixture_map_buff","group.required.map.buff","Required","All","capability.break_power","Known","3000","2500","5500","5000","0","Met","Met","Ready","None","true"
"map_debuff","Sparse","dev_readiness_fixture_map_debuff","group.required.map.debuff","Required","All","capability.break_power","Known","7000","-3000","4000","5000","1000","Unmet","Unmet","Blocked","Critical","true"
"clamp_low","Sparse","dev_readiness_fixture_clamp_low","group.required.clamp.low","Required","All","capability.break_power","Known","1000","-14000","0","1","1","Unmet","Unmet","Blocked","Critical","true"
"clamp_high","Sparse","dev_readiness_fixture_clamp_high","group.required.clamp.high","Required","All","capability.break_power","Known","8000","14000","10000","9000","0","Met","Met","Ready","None","true"
"unknown_map","Sparse","dev_readiness_fixture_unknown_map","group.required.unknown.map","Required","All","capability.break_power","Unknown","0","9000","0","5000","0","Unknown","Unknown","Unknown","Notice","true"
"recommended_only_strong","Sparse","dev_readiness_fixture_recommended_only_strong","group.recommended.only.strong","Recommended","Any","capability.chain_reaction","Known","2000","0","2000","1000","0","Met","Met","Strong","None","true"
"recommended_only_strained","Sparse","dev_readiness_fixture_recommended_only_strained","group.recommended.only.strained","Recommended","Any","capability.chain_reaction","Known","2000","0","2000","5000","3000","Unmet","Unmet","Strained","Warning","true"
