ruleId,category,subject,expected,result
ERCAS-001,schema,schemaId,EnemyRequirementChannelApplicability.v1,PASS
ERCAS-002,schema,schemaVersion,1,PASS
ERCAS-003,enum,EnemyRequirementChannel.Count,3,PASS
ERCAS-004,enum,EnemyRequirementChannel.ContinuousBP,1,PASS
ERCAS-005,enum,EnemyRequirementChannel.StructuralPredicate,2,PASS
ERCAS-006,enum,EnemyRequirementChannel.RuntimeEventSignal,3,PASS
ERCAS-007,enum,EnemyRequirementChannel.Zero,rejected,PASS
ERCAS-008,enum,EnemyRequirementApplicabilityState.Count,4,PASS
ERCAS-009,enum,EnemyRequirementApplicabilityState.Applicable,1,PASS
ERCAS-010,enum,EnemyRequirementApplicabilityState.Unknown,2,PASS
ERCAS-011,enum,EnemyRequirementApplicabilityState.NotApplicable,3,PASS
ERCAS-012,enum,EnemyRequirementApplicabilityState.NotInChannel,4,PASS
ERCAS-013,enum,EnemyRequirementApplicabilityState.Zero,rejected,PASS
ERCAS-014,identity,comparison,StringComparison.Ordinal,PASS
ERCAS-015,identity,implicitTrim,forbidden,PASS
ERCAS-016,identity,caseNormalization,forbidden,PASS
ERCAS-017,validation,nullInput,INPUT_NULL,PASS
ERCAS-018,validation,schemaIdMismatch,SCHEMA_ID_MISMATCH,PASS
ERCAS-019,validation,schemaVersionMismatch,SCHEMA_VERSION_MISMATCH,PASS
ERCAS-020,validation,snapshotIdEmpty,SNAPSHOT_ID_EMPTY,PASS
ERCAS-021,validation,snapshotIdOuterWhitespace,SNAPSHOT_ID_OUTER_WHITESPACE,PASS
ERCAS-022,validation,evaluationChannelUndefined,EVALUATION_CHANNEL_UNDEFINED,PASS
ERCAS-023,validation,nullRow,ROW_NULL,PASS
ERCAS-024,validation,requirementIdEmpty,REQUIREMENT_ID_EMPTY,PASS
ERCAS-025,validation,requirementIdOuterWhitespace,REQUIREMENT_ID_OUTER_WHITESPACE,PASS
ERCAS-026,validation,duplicateRequirementId,REQUIREMENT_ID_DUPLICATE,PASS
ERCAS-027,validation,declaredChannelUndefined,DECLARED_CHANNEL_UNDEFINED,PASS
ERCAS-028,validation,applicabilityStateUndefined,APPLICABILITY_STATE_UNDEFINED,PASS
ERCAS-029,validation,sameChannelNotInChannel,SAME_CHANNEL_NOT_IN_CHANNEL,PASS
ERCAS-030,validation,crossChannelOtherState,CROSS_CHANNEL_STATE_INVALID,PASS
ERCAS-031,validation,emptyRows,validEmptySnapshot,PASS
ERCAS-032,combination,sameChannelStates,ApplicableOrUnknownOrNotApplicable,PASS
ERCAS-033,combination,crossChannelState,NotInChannelOnly,PASS
ERCAS-034,combination,validCount,15,PASS
ERCAS-035,combination,invalidCount,21,PASS
ERCAS-036,collection,inputRows,defensiveReadOnlyCopy,PASS
ERCAS-037,collection,snapshotRows,defensiveReadOnlyCopy,PASS
ERCAS-038,collection,snapshotOrdering,RequirementIdOrdinal,PASS
ERCAS-039,canonical,culture,InvariantCulture,PASS
ERCAS-040,canonical,rowOrdering,stableOrdinal,PASS
ERCAS-041,canonical,format,sha256Colon64LowerHex,PASS
ERCAS-042,canonical,inputOrder,insensitive,PASS
ERCAS-043,canonical,schemaFields,covered,PASS
ERCAS-044,canonical,snapshotId,covered,PASS
ERCAS-045,canonical,evaluationChannel,covered,PASS
ERCAS-046,canonical,requirementId,covered,PASS
ERCAS-047,canonical,declaredChannel,covered,PASS
ERCAS-048,canonical,applicabilityState,covered,PASS
ERCAS-049,semantics,Applicable,participatesInCurrentChannelOnly,PASS
ERCAS-050,semantics,Unknown,insufficientApplicabilityEvidence,PASS
ERCAS-051,semantics,NotApplicable,explicitStableIrrelevanceOnly,PASS
ERCAS-052,semantics,NotInChannel,crossChannelViewOnly,PASS
ERCAS-053,isolation,readinessOutcome,notGenerated,PASS
ERCAS-054,isolation,runtimeOutcome,notGenerated,PASS
ERCAS-055,isolation,realRequirementMigration,zero,PASS

