ownerType,fieldName,fieldType,cardinality,semantic,visibility,sourceOfTruth,futureConsumer
EnemySkillBossPhaseCatalogSnapshot,SchemaId,string,1,exact schema identity,shared metadata,E05,E06+ read-only adapters
EnemySkillBossPhaseCatalogSnapshot,SchemaVersion,int,1,schema version,shared metadata,E05,E06+ read-only adapters
EnemySkillBossPhaseCatalogSnapshot,SkillPatterns,IReadOnlyList<EnemySkillPatternSnapshot>,0..N,skill declarations,three-layer,E05,E06 feedback contracts
EnemySkillBossPhaseCatalogSnapshot,SkillSequences,IReadOnlyList<SkillSequenceSnapshot>,0..N,explicit ordered references,internal-only,E05,future runtime adapter
EnemySkillBossPhaseCatalogSnapshot,CarrierSkillBindings,IReadOnlyList<CarrierSkillBindingSnapshot>,0..N,carrier to reusable sequences,internal-only,E05 + E03 references,future runtime adapter
EnemySkillBossPhaseCatalogSnapshot,BossPhaseProfiles,IReadOnlyList<BossPhaseProfileSnapshot>,0..N,reusable phase declarations,three-layer,E05,E06 feedback contracts
EnemySkillBossPhaseCatalogSnapshot,BossPhasePlans,IReadOnlyList<BossPhasePlanSnapshot>,0..N,Boss to ordered phase references,internal-only,E05 + E03 references,future runtime adapter
EnemySkillBossPhaseCatalogSnapshot,CanonicalSignature,string,1,full SHA-256 signature,developer,E05 canonicalizer,QA
EnemySkillBossPhaseCatalogSnapshot,PlayerSafeCanonicalSignature,string,1,player-safe SHA-256 signature,player-safe metadata,E05 canonicalizer,E06 feedback contracts
EnemySkillPatternSnapshot,SkillPatternReference,SkillPatternReference,1,E01 stable reference and isolation flags,shared metadata,E01,E05 lookup
EnemySkillPatternSnapshot,PlayerSafe,SkillPatternPlayerProjection,1,public name intent and cues,player-safe,E05,E06 feedback contracts
EnemySkillPatternSnapshot,InternalOnly,SkillPatternInternalSpec,1,cast facts and mechanic references,internal-only,E05 + E03,future runtime adapter
EnemySkillPatternSnapshot,DeveloperOnly,SkillPatternDeveloperDiagnostics,1,diagnostic categories and provenance IDs,developer-only,E05 + E02,QA
SkillPatternPlayerProjection,SkillPatternId,string,1,stable public projection identity,player-safe,E01 reference,E06 feedback contracts
SkillPatternPlayerProjection,PublicSkillNameKey,string,1,public skill label key,player-safe,E05,E06 feedback contracts
SkillPatternPlayerProjection,IntentId,string,1,public intent identity,player-safe,E05,E06 feedback contracts
SkillPatternPlayerProjection,PublicIntentTextKey,string,1,public intent copy key,player-safe,E05,E06 feedback contracts
SkillPatternPlayerProjection,PublicTargetCueKey,string,1,target cue only; no selector,player-safe,E05,E06 feedback contracts
SkillPatternPlayerProjection,PublicCastCueKey,string,1,cast presentation cue key,player-safe,E05,E06 feedback contracts
SkillPatternPlayerProjection,PlayerHintCategoryKeys,IReadOnlyList<string>,0..N,E02 player hint categories,player-safe,E02,E06 feedback contracts
SkillPatternInternalSpec,SkillCastKind,SkillCastKind,1,Instant or Channeled declaration,internal-only,E05,future runtime adapter
SkillPatternInternalSpec,CastDurationMilliseconds,int,1,canonical cast duration fact,internal-only,E05,future runtime adapter
SkillPatternInternalSpec,RecoveryDurationMilliseconds,int,1,canonical recovery duration fact,internal-only,E05,future runtime adapter
SkillPatternInternalSpec,MechanicProfileIds,IReadOnlyList<string>,1..N,E03 mechanic profile references,internal-only,E03,future runtime adapter
SkillPatternDeveloperDiagnostics,DeveloperDiagnosticCategoryKeys,IReadOnlyList<string>,0..N,E02 diagnostic categories,developer-only,E02,QA
SkillPatternDeveloperDiagnostics,SourceReferenceIds,IReadOnlyList<string>,0..N,opaque provenance IDs; never paths,developer-only,E05,QA
SkillSequenceSnapshot,SkillSequenceId,string,1,stable sequence identity,internal-only,E05,future runtime adapter
SkillSequenceSnapshot,Steps,IReadOnlyList<SkillSequenceStepSnapshot>,1..N,ordered reusable Pattern references,internal-only,E05,future runtime adapter
SkillSequenceStepSnapshot,StepOrder,int,1,explicit contiguous order,internal-only,E05,future runtime adapter
SkillSequenceStepSnapshot,SkillPatternId,string,1,E05 Pattern reference,internal-only,E05,future runtime adapter
SkillSequenceStepSnapshot,DelayAfterPreviousMilliseconds,int,1,declarative delay fact; no timer,internal-only,E05,future runtime adapter
SkillSequenceStepSnapshot,RepeatCount,int,1,declarative repeat count,internal-only,E05,future runtime adapter
CarrierSkillBindingSnapshot,CarrierKind,EnemySkillCarrierKind,1,Enemy or Boss discriminator,internal-only,E05,future runtime adapter
CarrierSkillBindingSnapshot,CarrierId,string,1,E03 carrier reference,internal-only,E03,future runtime adapter
CarrierSkillBindingSnapshot,SkillSequenceIds,IReadOnlyList<string>,1..N,reusable sequence references,internal-only,E05,future runtime adapter
BossPhaseProfileSnapshot,BossPhaseReference,BossPhaseReference,1,E01 stable reference and isolation flags,shared metadata,E01,E05 lookup
BossPhaseProfileSnapshot,PlayerSafe,BossPhasePlayerProjection,1,public label and entry cue,player-safe,E05,E06 feedback contracts
BossPhaseProfileSnapshot,InternalOnly,BossPhaseInternalSpec,1,sequence and Boss mechanic references,internal-only,E05 + E03,future runtime adapter
BossPhaseProfileSnapshot,DeveloperOnly,BossPhaseDeveloperDiagnostics,1,diagnostic categories and provenance IDs,developer-only,E05 + E02,QA
BossPhasePlayerProjection,BossPhaseId,string,1,stable public projection identity,player-safe,E01 reference,E06 feedback contracts
BossPhasePlayerProjection,PublicPhaseLabelKey,string,1,public phase label key,player-safe,E05,E06 feedback contracts
BossPhasePlayerProjection,PublicPhaseEntryCueKey,string,1,public phase entry cue key,player-safe,E05,E06 feedback contracts
BossPhaseInternalSpec,SkillSequenceIds,IReadOnlyList<string>,1..N,reusable E05 sequences,internal-only,E05,future runtime adapter
BossPhaseInternalSpec,MechanicProfileIds,IReadOnlyList<string>,1..N,Boss-kind E03 profiles,internal-only,E03,future runtime adapter
BossPhaseDeveloperDiagnostics,DeveloperDiagnosticCategoryKeys,IReadOnlyList<string>,0..N,E02 diagnostic categories,developer-only,E02,QA
BossPhaseDeveloperDiagnostics,SourceReferenceIds,IReadOnlyList<string>,0..N,opaque provenance IDs; never paths,developer-only,E05,QA
BossPhasePlanSnapshot,BossId,string,1,E03 Boss reference,internal-only,E03,future runtime adapter
BossPhasePlanSnapshot,Entries,IReadOnlyList<BossPhasePlanEntrySnapshot>,1..N,ordered Phase references and conditions,internal-only,E05,future runtime adapter
BossPhasePlanEntrySnapshot,PhaseOrder,int,1,explicit contiguous order,internal-only,E05,future runtime adapter
BossPhasePlanEntrySnapshot,BossPhaseId,string,1,E05 Phase reference,internal-only,E05,future runtime adapter
