rowKind,ownerId,order,referenceId,publicLabelOrCueKey,castKind,durationMilliseconds,entryConditionKind,thresholdBasisPoints,playerVisible,fixtureOnly
SkillPattern,dev_skill_fixture_core_channel,,dev_boss_spirit_thief_core,boss.skill.fixture_core_channel,Channeled,1600,,,true,true
SkillPattern,dev_skill_fixture_guard_cast,,dev_enemy_caster_problem,enemy.skill.fixture_guard_cast,Instant,0,,,true,true
SkillPattern,dev_skill_fixture_pressure_channel,,dev_enemy_caster_problem,enemy.skill.fixture_pressure_channel,Channeled,1200,,,true,true
SkillPattern,dev_skill_fixture_spirit_pulse,,dev_boss_spirit_thief_core,boss.skill.fixture_spirit_pulse,Instant,0,,,true,true
SkillSequenceStep,dev_sequence_fixture_boss_pressure,0,dev_skill_fixture_spirit_pulse,,,0,,,false,true
SkillSequenceStep,dev_sequence_fixture_boss_pressure,1,dev_skill_fixture_core_channel,,,200,,,false,true
SkillSequenceStep,dev_sequence_fixture_enemy_echo,0,dev_skill_fixture_pressure_channel,,,0,,,false,true
SkillSequenceStep,dev_sequence_fixture_enemy_pressure,0,dev_skill_fixture_guard_cast,,,0,,,false,true
SkillSequenceStep,dev_sequence_fixture_enemy_pressure,1,dev_skill_fixture_pressure_channel,,,100,,,false,true
CarrierSkillBinding,Enemy:dev_enemy_caster_chanter,0,dev_sequence_fixture_enemy_echo,,,,,,false,true
CarrierSkillBinding,Enemy:dev_enemy_caster_chanter,1,dev_sequence_fixture_enemy_pressure,,,,,,false,true
CarrierSkillBinding,Boss:dev_boss_caster_zhenhun,0,dev_sequence_fixture_boss_pressure,,,,,,false,true
CarrierSkillBinding,Boss:dev_boss_energy_juneng,0,dev_sequence_fixture_boss_pressure,,,,,,false,true
BossPhaseProfile,dev_phase_fixture_opening,,dev_sequence_fixture_boss_pressure,boss.phase.fixture.opening,,,,,true,true
BossPhaseProfile,dev_phase_fixture_pressure,,dev_sequence_fixture_boss_pressure,boss.phase.fixture.pressure,,,,,true,true
BossPhaseProfile,dev_phase_fixture_signal,,dev_sequence_fixture_boss_pressure,boss.phase.fixture.signal,,,,,true,true
BossPhasePlanEntry,dev_boss_caster_zhenhun,0,dev_phase_fixture_opening,,,,EncounterStart,0,false,true
BossPhasePlanEntry,dev_boss_caster_zhenhun,1,dev_phase_fixture_pressure,,,,HealthRatioAtOrBelow,6000,false,true
BossPhasePlanEntry,dev_boss_caster_zhenhun,2,dev_phase_fixture_signal,,,,MechanicSignal,0,false,true
BossPhasePlanEntry,dev_boss_energy_juneng,0,dev_phase_fixture_opening,,,,EncounterStart,0,false,true
BossPhasePlanEntry,dev_boss_energy_juneng,1,dev_phase_fixture_pressure,,,,HealthRatioAtOrBelow,6000,false,true
BossPhasePlanEntry,dev_boss_energy_juneng,2,dev_phase_fixture_signal,,,,MechanicSignal,0,false,true
