carrierKind,carrierId,displayName,mechanicProfileIds,mechanicKeys,pressureKeys,bindingStatus,devOnly,isEnabled,entersFormalFlow
"Enemy","dev_enemy_basic","普通怪","","mechanic.basic_pressure","","BASELINE_ONLY",true,false,false
"Enemy","dev_enemy_burning_wisp","燃烧怪","dev_enemy_poison_burn_problem","mechanic.burning","pressure.status_damage","BOUND",true,false,false
"Enemy","dev_enemy_burst_assassin","高爆发怪","dev_enemy_burst_problem","mechanic.burst_spike","pressure.burst_survival","BOUND",true,false,false
"Enemy","dev_enemy_caster_chanter","施法怪","dev_enemy_caster_problem","mechanic.long_cast","pressure.cast_interrupt","BOUND",true,false,false
"Enemy","dev_enemy_formation_eye_jammer","阵眼干扰怪","dev_enemy_formation_eye_problem","mechanic.formation_eye_disruption","pressure.placement_formation","BOUND",true,false,false
"Enemy","dev_enemy_poison_cultist","毒怪","dev_enemy_poison_burn_problem","mechanic.poison","pressure.status_damage","BOUND",true,false,false
"Enemy","dev_enemy_seal_locker","封符怪","dev_enemy_seal_problem","mechanic.talisman_seal","pressure.seal_control","BOUND",true,false,false
"Enemy","dev_enemy_shield_guard","护盾怪","dev_enemy_shield_problem","mechanic.layered_shield","pressure.shield","BOUND",true,false,false
"Enemy","dev_enemy_spirit_thief","偷灵怪","dev_enemy_spirit_thief_problem","mechanic.energy_drain","pressure.resource_disruption","BOUND",true,false,false
"Enemy","dev_enemy_swarm_pack","群怪","dev_enemy_swarm_problem","mechanic.swarm_summon","pressure.multi_target","BOUND",true,false,false
"Enemy","dev_enemy_thick_blood","厚血怪","dev_enemy_thick_blood_problem","mechanic.high_health_endurance","pressure.sustained_output","BOUND",true,false,false
"Boss","dev_boss_burst_huzhen","高爆发Boss：验证护阵","dev_boss_bronze_formation_general","mechanic.burst_spike","pressure.burst_survival","BOUND",true,false,false
"Boss","dev_boss_caster_zhenhun","施法Boss：验证镇魂","dev_boss_spirit_thief_core","mechanic.long_cast","pressure.cast_interrupt","BOUND",true,false,false
"Boss","dev_boss_debuff_jinge","负面状态Boss：验证净厄","dev_boss_dirty_dream_mother","","pressure.status_damage","BOUND",true,false,false
"Boss","dev_boss_energy_juneng","供能干扰Boss：验证聚能","dev_boss_spirit_thief_core","mechanic.energy_drain","pressure.resource_disruption","BOUND",true,false,false
"Boss","dev_boss_hybrid_combo","混合机制Boss：验证组合Build","dev_boss_black_furnace_complex_eye","","","BOUND",true,false,false
"Boss","dev_boss_shield_jinglei","护盾Boss：验证惊雷","dev_boss_black_furnace_shell","mechanic.layered_shield","pressure.shield","BOUND",true,false,false
"Boss","dev_boss_swarm_lihuo","群怪Boss：验证离火","dev_boss_paper_faces","mechanic.swarm_summon","pressure.multi_target","BOUND",true,false,false
