checkId,expected,actual,status
"count.enemy","11","11",PASS
"count.boss","7","7",PASS
"count.carrier.total","18","18",PASS
"count.profile.enemy","10","10",PASS
"count.profile.boss","6","6",PASS
"count.profile.total","16","16",PASS
"count.map","10","10",PASS
"count.carrier.binding","17","17",PASS
"count.map.binding","30","30",PASS
"count.exception.carrier","1","1",PASS
"count.exception.profile","1","1",PASS
"id.ordinal.unique","44 unique non-empty","44",PASS
"domain.e01.projection","11/7/16/10","11/7/16/10",PASS
"lookup.ordinal","exact true / case variant false","True/False",PASS
"binding.reuse","profile reused","2",PASS
"binding.map.shape","2 enemy + 1 boss each","10",PASS
"orphan.unexplained","0","0",PASS
"mapping.status","MAPPED or OUT_OF_SCOPE","True",PASS
"canonical.order.independent","sha256:bbc3c329874019d01d05912ee3b727025432ffc57678c2e9a3ad0f3e9eaf3d46","sha256:bbc3c329874019d01d05912ee3b727025432ffc57678c2e9a3ad0f3e9eaf3d46",PASS
"player.canonical.order.independent","sha256:101c7f1887fb868a05a72be6b2e1f5c4aa08ae2d2a93e978b493460ea13733cd","sha256:101c7f1887fb868a05a72be6b2e1f5c4aa08ae2d2a93e978b493460ea13733cd",PASS
"canonical.enemy.developer-content.sensitive","changed","changed",PASS
"player.enemy.developer-content.isolated","unchanged","unchanged",PASS
"canonical.boss.developer-content.sensitive","changed","changed",PASS
"player.boss.developer-content.isolated","unchanged","unchanged",PASS
"canonical.player-safe-content.sensitive","changed","changed",PASS
"player.player-safe-content.sensitive","changed","changed",PASS
"player.answer.leak","none","none",PASS
"input.output.readonly","all public collections reject mutation","True",PASS
"runtime.buildsandbox.reference","0","0",PASS
"editor.legacy.reader","Editor-only adapter references BuildSandbox","1",PASS
"protected.e01e02","10/10 unchanged","10/10 unchanged",PASS
"protected.legacy","3/3 unchanged","3/3 unchanged",PASS
"package.scene.prefab.config.battle.board.item","0/0/0/0/0/0","0/0/0/0/0/0",PASS
