profileKind,mechanicProfileId,displayName,mechanicKeys,pressureKeys,requiredCapabilityKeys,optionalCapabilityKeys,carrierIds,mapRuleIds,developerOnly
Boss,"dev_boss_black_furnace_complex_eye","黑炉复合阵眼","","","capability.break_power;capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.guard_power","","dev_boss_hybrid_combo","dev_map_bluestone_crack;dev_map_furnace_ash_fall",true
Boss,"dev_boss_black_furnace_shell","黑炉护壳师","mechanic.layered_shield","pressure.shield","capability.break_power;capability.burst_window","","dev_boss_shield_jinglei","dev_map_black_furnace_smoke",true
Boss,"dev_boss_bronze_formation_general","叩阵铜将","mechanic.burst_spike","pressure.burst_survival","capability.energy_stability;capability.guard_power;capability.placement_shape","","dev_boss_burst_huzhen","dev_map_copper_bell_night;dev_map_formation_eye_shift",true
Boss,"dev_boss_dirty_dream_mother","秽签梦母","","pressure.status_damage","capability.cleanse_power;capability.control_power","","dev_boss_debuff_jinge","dev_map_bluestone_damp;dev_map_talisman_paper_damp",true
Boss,"dev_boss_paper_faces","纸人千面阵","mechanic.swarm_summon","pressure.multi_target","capability.burst_window;capability.clear_power;capability.control_power","","dev_boss_swarm_lihuo","dev_map_lamp_shortage;dev_map_old_lane_echo",true
Boss,"dev_boss_spirit_thief_core","偷灵炉心","mechanic.energy_drain;mechanic.long_cast","pressure.cast_interrupt;pressure.resource_disruption","capability.burst_window;capability.control_power;capability.energy_stability","","dev_boss_caster_zhenhun;dev_boss_energy_juneng","dev_map_night_watch_lamp_out",true
Enemy,"dev_enemy_burst_problem","高爆发","mechanic.burst_spike","pressure.burst_survival","capability.control_power;capability.guard_power","capability.burst_window;capability.energy_stability","dev_enemy_burst_assassin","dev_map_lamp_shortage;dev_map_night_watch_lamp_out",true
Enemy,"dev_enemy_caster_problem","施法","mechanic.long_cast","pressure.cast_interrupt","capability.control_power;capability.interrupt_timing","capability.burst_window;capability.cleanse_power","dev_enemy_caster_chanter","dev_map_copper_bell_night;dev_map_lamp_shortage",true
Enemy,"dev_enemy_formation_eye_problem","阵眼干扰","mechanic.formation_eye_disruption","pressure.placement_formation","capability.energy_stability;capability.placement_shape","capability.control_power;capability.guard_power","dev_enemy_formation_eye_jammer","dev_map_bluestone_crack;dev_map_formation_eye_shift;dev_map_furnace_ash_fall",true
Enemy,"dev_enemy_poison_burn_problem","毒 / 燃","mechanic.burning;mechanic.poison","pressure.status_damage","capability.cleanse_power;capability.debuff_counter","capability.energy_stability;capability.guard_power","dev_enemy_poison_cultist;dev_enemy_burning_wisp","dev_map_bluestone_damp;dev_map_talisman_paper_damp",true
Enemy,"dev_enemy_polluted_tile_problem","污染格","mechanic.polluted_tile","pressure.placement_formation","capability.cleanse_power;capability.placement_shape","capability.energy_stability;capability.guard_power","","dev_map_bluestone_damp;dev_map_furnace_ash_fall",true
Enemy,"dev_enemy_seal_problem","封符","mechanic.talisman_seal","pressure.seal_control","capability.cleanse_power;capability.control_power","capability.burst_window;capability.guard_power","dev_enemy_seal_locker","dev_map_copper_bell_night;dev_map_night_watch_lamp_out",true
Enemy,"dev_enemy_shield_problem","护盾","mechanic.layered_shield","pressure.shield","capability.break_power;capability.thunder_chain","capability.break_power;capability.guard_power","dev_enemy_shield_guard","dev_map_black_furnace_smoke",true
Enemy,"dev_enemy_spirit_thief_problem","偷灵","mechanic.energy_drain","pressure.resource_disruption","capability.energy_stability;capability.spirit_lock","capability.control_power;capability.placement_shape","dev_enemy_spirit_thief","dev_map_bluestone_crack;dev_map_formation_eye_shift",true
Enemy,"dev_enemy_swarm_problem","群怪","mechanic.swarm_summon","pressure.multi_target","capability.chain_reaction;capability.clear_power","capability.burst_window;capability.control_power","dev_enemy_swarm_pack","dev_map_black_furnace_smoke;dev_map_old_lane_echo",true
Enemy,"dev_enemy_thick_blood_problem","厚血","mechanic.high_health_endurance","pressure.sustained_output","capability.break_power;capability.sustained_damage","capability.clear_power;capability.energy_stability","dev_enemy_thick_blood","dev_map_old_lane_echo;dev_map_talisman_paper_damp",true
