scenarioId,contract,expected,actual,evidence,status
"S01","owned Inventory + empty board","PASS","PASS","Valid/Complete; placements=0","PASS"
"S02","Inventory ordinary rows stay unpowered","PASS","PASS","range=;rows=P_I001:source=False:direct=False:lit=False:depth=-1:counted=False|P_I007:source=False:direct=False:lit=False:depth=-1:counted=False","PASS"
"S03","owned Board + stable placement","PASS","PASS","ItemSystemSnapshot.v2/Complete/Board/owned=True/placed=True/SPECIAL_I031/P_SYSTEM_I031","PASS"
"S04","Inventory/Board transition identity","PASS","PASS","Inventory -> Board -> Board -> Inventory -> Board","PASS"
"S05","duplicate ownership rejected","PASS","PASS","I031_OWNERSHIP_DUPLICATE","PASS"
"S06","duplicate placement rejected","PASS","PASS","I031_PLACEMENT_ID_INVALID|I031_PLACEMENT_MULTIPLE|LIGHTING_SNAPSHOT_MISMATCH","PASS"
"S07","missing ownership is Unknown/Invalid","PASS","PASS","ItemSystemSnapshot.v2/Unknown/Unknown/owned=False/placed=False/SPECIAL_I031/P_SYSTEM_I031;I031_LOCATION_UNKNOWN|I031_OWNERSHIP_REQUIRED|I031_OWNERSHIP_UNKNOWN","PASS"
"S08","Inventory plus placement rejected","PASS","PASS","I031_INVENTORY_PLACEMENT_CONFLICT|LIGHTING_SNAPSHOT_MISMATCH","PASS"
"S09","Board without placement rejected","PASS","PASS","I031_BOARD_PLACEMENT_MISSING|LIGHTING_SNAPSHOT_MISMATCH","PASS"
"S10","stable identities enforced","PASS","PASS","I031_SPECIAL_IDENTITY_INVALID;I031_STABLE_PLACEMENT_ID_INVALID","PASS"
"S11","eye/overlap/out-of-bounds rejected","PASS","PASS","EYE_CELL_COVERED|LIGHTING_SNAPSHOT_MISMATCH|SNAPSHOT_RESULT_MISSING;LIGHTING_SNAPSHOT_MISMATCH|PLACEMENT_OVERLAP|SNAPSHOT_RESULT_MISSING;ITEM_OUT_OF_BOUNDS|LIGHTING_SNAPSHOT_MISMATCH|SNAPSHOT_RESULT_MISSING","PASS"
"S12","four orthogonal targets","PASS","PASS","(1,0);(0,1);(2,1);(1,2)","PASS"
"S13","corner/edge clipping","PASS","PASS","corner=(1,0);(0,1);edge=(1,0);(3,0);(2,1)","PASS"
"S14","direct neighbor versus outsider","PASS","PASS","range=(1,0);(0,1);(2,1);(1,2);rows=P_I001:source=False:direct=True:lit=True:depth=0:counted=True|P_I007:source=False:direct=False:lit=False:depth=-1:counted=False|P_SYSTEM_I031:source=True:direct=False:lit=True:depth=0:counted=False","PASS"
"S15","move replaces range","PASS","PASS","before=(1,0);(0,1);(2,1);(1,2);after=(3,2);(2,3);(4,3);(3,4)","PASS"
"S16","return clears lighting state","PASS","PASS","range=;rows=P_I001:source=False:direct=False:lit=False:depth=-1:counted=False|P_I007:source=False:direct=False:lit=False:depth=-1:counted=False","PASS"
"S17","I031 excluded from Build","PASS","PASS","sourceLit=True;sourceCounted=False","PASS"
"S18","I031 excluded from ordinary identity systems","PASS","PASS","projectionCount=0;IF01=Invalid","PASS"
"S19","IF01 empty set remains valid","PASS","PASS","schema=ItemInstancePlacementBindingContractSnapshot.v1;bindings=0;canonical=sha256:c29d558621cb9af5ffe2532c3c1300d6f721554fe3d06a4ab1e18c9398501b82","PASS"
"S20","P1 Inventory empty Complete","PASS","PASS","Complete/Complete/rows=0/sha256:e80ae9bdaec45783e256204f6a31707a21070ae1da3997a7bdbccb54109021d6","PASS"
"S21","P1 Board includes I031 without IF01 row","PASS","PASS","Complete/Complete/rows=1/sha256:62a53c4a147825042fd55ae97768af4cb2d5db1204ac3ac34008e397e592a97b;IF01=Valid","PASS"
"S22","Unknown/Invalid preserved through P1/P6","PASS","PASS","P1=Invalid;P6=Invalid;P6.P1=Invalid","PASS"
"S23","deterministic repeat/reversed canonical","PASS","PASS","Item=sha256:025ad6505526192d11a5e0e58193571d1a089abb144003e6584eccdbce50d0fa;P1=sha256:d376e7ebebf25e8d941a21b858c18b3263a083a8bfb3ca197df30fb07fb222b7","PASS"
"S24","immutable input/snapshot collections","PASS","PASS","inputRows=1;mutationBlocked=True","PASS"
"S25","protected hashes and leak scan","PASS","PASS","protected=7/7;Leak Count=0","PASS"
