caseId,category,expected,actual,validationCodes,result
"default-schema-valid","default-catalog","true","true","NONE","PASS"
"default-schema-id","default-catalog","true","true","NONE","PASS"
"default-definitions-zero","default-catalog","true","true","NONE","PASS"
"default-value-profiles-zero","default-catalog","true","true","NONE","PASS"
"default-slot-policies-zero","default-catalog","true","true","NONE","PASS"
"default-random-pools-zero","default-catalog","true","true","NONE","PASS"
"default-item-profiles-zero","default-catalog","true","true","NONE","PASS"
"default-fixed-bindings-zero","default-catalog","true","true","NONE","PASS"
"default-defined-weights-zero","default-catalog","true","true","NONE","PASS"
"default-mutex-groups-zero","default-catalog","true","true","NONE","PASS"
"catalog-schema-only","default-catalog","true","true","NONE","PASS"
"catalog-unresolved-coverage","default-catalog","true","true","NONE","PASS"
"fixture-marker","fixture-isolation","true","true","NONE","PASS"
"balance-marker","fixture-isolation","true","true","NONE","PASS"
"generation-marker","fixture-isolation","true","true","NONE","PASS"
"qa-fixture-valid","fixture","valid","valid","","PASS"
"qa-fixture-fixed-slot","fixture","true","true","NONE","PASS"
"qa-fixture-random-slot","fixture","true","true","NONE","PASS"
"qa-fixture-relative-weight-not-percent","fixture","true","true","NONE","PASS"
"qa-fixture-mutex","fixture","true","true","NONE","PASS"
"qa-fixture-repeat-policy","fixture","true","true","NONE","PASS"
"fixed-binding-has-no-value","fixed-affix","true","true","NONE","PASS"
"range-higher-valid","value-range","valid","valid","","PASS"
"range-lower-valid","value-range","valid","valid","","PASS"
"range-neutral-valid","value-range","valid","valid","","PASS"
"range-overlap-allowed","value-range","true","true","NONE","PASS"
"range-total-invalid","value-range","AFFIX_TOTAL_RANGE_INVALID","AFFIX_RANGE_OUTSIDE_TOTAL|AFFIX_TOTAL_RANGE_ENVELOPE_MISMATCH|AFFIX_TOTAL_RANGE_INVALID","AFFIX_RANGE_OUTSIDE_TOTAL|AFFIX_TOTAL_RANGE_ENVELOPE_MISMATCH|AFFIX_TOTAL_RANGE_INVALID","PASS"
"range-outside-total","value-range","AFFIX_RANGE_OUTSIDE_TOTAL","AFFIX_RANGE_OUTSIDE_TOTAL|AFFIX_TOTAL_RANGE_ENVELOPE_MISMATCH","AFFIX_RANGE_OUTSIDE_TOTAL|AFFIX_TOTAL_RANGE_ENVELOPE_MISMATCH","PASS"
"range-envelope-mismatch","value-range","AFFIX_TOTAL_RANGE_ENVELOPE_MISMATCH","AFFIX_TOTAL_RANGE_ENVELOPE_MISMATCH","AFFIX_TOTAL_RANGE_ENVELOPE_MISMATCH","PASS"
"step-invalid","value-range","AFFIX_STEP_UNITS_INVALID","AFFIX_STEP_UNITS_INVALID","AFFIX_STEP_UNITS_INVALID","PASS"
"step-misaligned","value-range","AFFIX_RANGE_STEP_MISALIGNED","AFFIX_RANGE_STEP_MISALIGNED","AFFIX_RANGE_STEP_MISALIGNED","PASS"
"rarity-missing","value-range","AFFIX_RARITY_SET_INCOMPLETE","AFFIX_RARITY_SET_INCOMPLETE","AFFIX_RARITY_SET_INCOMPLETE","PASS"
"rarity-duplicate","value-range","AFFIX_RARITY_DUPLICATE","AFFIX_RARITY_DUPLICATE","AFFIX_RARITY_DUPLICATE","PASS"
"rarity-invalid","value-range","AFFIX_RARITY_INVALID","AFFIX_RARITY_INVALID|AFFIX_RARITY_SET_INCOMPLETE","AFFIX_RARITY_INVALID|AFFIX_RARITY_SET_INCOMPLETE","PASS"
"higher-min-monotonic","value-range","AFFIX_HIGHER_MIN_NOT_MONOTONIC","AFFIX_HIGHER_MIN_NOT_MONOTONIC","AFFIX_HIGHER_MIN_NOT_MONOTONIC","PASS"
"higher-max-monotonic","value-range","AFFIX_HIGHER_MAX_NOT_MONOTONIC","AFFIX_HIGHER_MAX_NOT_MONOTONIC|AFFIX_RARITY_RANGE_INVALID","AFFIX_HIGHER_MAX_NOT_MONOTONIC|AFFIX_RARITY_RANGE_INVALID","PASS"
"lower-min-monotonic","value-range","AFFIX_LOWER_MIN_NOT_MONOTONIC","AFFIX_LOWER_MIN_NOT_MONOTONIC","AFFIX_LOWER_MIN_NOT_MONOTONIC","PASS"
"lower-max-monotonic","value-range","AFFIX_LOWER_MAX_NOT_MONOTONIC","AFFIX_LOWER_MAX_NOT_MONOTONIC","AFFIX_LOWER_MAX_NOT_MONOTONIC","PASS"
"unresolved-profile-has-range","value-range","UNRESOLVED_VALUE_PROFILE_HAS_RANGE","UNRESOLVED_VALUE_PROFILE_HAS_RANGE","UNRESOLVED_VALUE_PROFILE_HAS_RANGE","PASS"
"profile-definition-contract-mismatch","value-range","AFFIX_VALUE_PROFILE_DEFINITION_MISMATCH","AFFIX_RANGE_STEP_MISALIGNED|AFFIX_VALUE_PROFILE_DEFINITION_MISMATCH","AFFIX_RANGE_STEP_MISALIGNED|AFFIX_VALUE_PROFILE_DEFINITION_MISMATCH","PASS"
"fixed-unknown-affix","fixed-affix","AFFIX_DEFINITION_UNKNOWN","AFFIX_DEFINITION_UNKNOWN|AFFIX_VALUE_PROFILE_AFFIX_MISMATCH","AFFIX_DEFINITION_UNKNOWN|AFFIX_VALUE_PROFILE_AFFIX_MISMATCH","PASS"
"fixed-unknown-value-profile","fixed-affix","AFFIX_VALUE_PROFILE_UNKNOWN","AFFIX_VALUE_PROFILE_UNKNOWN","AFFIX_VALUE_PROFILE_UNKNOWN","PASS"
"fixed-value-profile-affix-mismatch","fixed-affix","AFFIX_VALUE_PROFILE_AFFIX_MISMATCH","AFFIX_VALUE_PROFILE_AFFIX_MISMATCH","AFFIX_VALUE_PROFILE_AFFIX_MISMATCH","PASS"
"fixed-unknown-slot","fixed-affix","AFFIX_FIXED_BINDING_SLOT_UNKNOWN","AFFIX_FIXED_BINDING_SLOT_UNKNOWN","AFFIX_FIXED_BINDING_SLOT_UNKNOWN","PASS"
"fixed-binding-random-slot","fixed-affix","AFFIX_FIXED_BINDING_SLOT_NOT_FIXED","AFFIX_FIXED_BINDING_SLOT_NOT_FIXED","AFFIX_FIXED_BINDING_SLOT_NOT_FIXED","PASS"
"fixed-binding-duplicate","fixed-affix","AFFIX_FIXED_BINDING_DUPLICATE","AFFIX_FIXED_BINDING_DUPLICATE","AFFIX_FIXED_BINDING_DUPLICATE","PASS"
"unresolved-entry-weight-zero-structure","random-pool","true","true","NONE","PASS"
"defined-relative-weight-positive","random-pool","true","true","NONE","PASS"
"unresolved-weight-nonzero","random-pool","UNRESOLVED_AFFIX_WEIGHT_NON_ZERO","DEFINED_POOL_HAS_UNRESOLVED_WEIGHT|UNRESOLVED_AFFIX_WEIGHT_NON_ZERO","DEFINED_POOL_HAS_UNRESOLVED_WEIGHT|UNRESOLVED_AFFIX_WEIGHT_NON_ZERO","PASS"
"defined-weight-zero","random-pool","DEFINED_AFFIX_WEIGHT_NOT_POSITIVE","DEFINED_AFFIX_WEIGHT_NOT_POSITIVE","DEFINED_AFFIX_WEIGHT_NOT_POSITIVE","PASS"
"pool-entry-duplicate","random-pool","AFFIX_POOL_ENTRY_DUPLICATE","AFFIX_POOL_ENTRY_DUPLICATE","AFFIX_POOL_ENTRY_DUPLICATE","PASS"
"mutex-unknown-member","random-pool","AFFIX_MUTEX_MEMBER_UNKNOWN","AFFIX_MUTEX_MEMBER_UNKNOWN","AFFIX_MUTEX_MEMBER_UNKNOWN","PASS"
"mutex-too-small","random-pool","AFFIX_MUTEX_GROUP_TOO_SMALL","AFFIX_MUTEX_GROUP_TOO_SMALL","AFFIX_MUTEX_GROUP_TOO_SMALL","PASS"
"mutex-duplicate-member","random-pool","AFFIX_MUTEX_MEMBER_DUPLICATE","AFFIX_MUTEX_GROUP_TOO_SMALL|AFFIX_MUTEX_MEMBER_DUPLICATE","AFFIX_MUTEX_GROUP_TOO_SMALL|AFFIX_MUTEX_MEMBER_DUPLICATE","PASS"
"unresolved-pool-content","random-pool","UNRESOLVED_POOL_HAS_CONTENT","UNRESOLVED_POOL_HAS_CONTENT","UNRESOLVED_POOL_HAS_CONTENT","PASS"
"defined-repeat-unresolved","random-pool","DEFINED_POOL_REPEAT_POLICY_UNRESOLVED","DEFINED_POOL_REPEAT_POLICY_UNRESOLVED","DEFINED_POOL_REPEAT_POLICY_UNRESOLVED","PASS"
"repeat-policy-invalid","random-pool","AFFIX_REPEAT_POLICY_INVALID","AFFIX_REPEAT_POLICY_INVALID","AFFIX_REPEAT_POLICY_INVALID","PASS"
"item-profile-i001-valid","item-profile","valid","valid","","PASS"
"item-profile-i031","item-profile","BASE_ITEM_NOT_ORDINARY","BASE_ITEM_NOT_ORDINARY","BASE_ITEM_NOT_ORDINARY","PASS"
"item-profile-i999","item-profile","BASE_ITEM_UNKNOWN","BASE_ITEM_UNKNOWN","BASE_ITEM_UNKNOWN","PASS"
"item-profile-empty","item-profile","BASE_ITEM_ID_EMPTY","BASE_ITEM_ID_EMPTY","BASE_ITEM_ID_EMPTY","PASS"
"item-profile-duplicate","item-profile","AFFIX_GENERATION_PROFILE_DUPLICATE","AFFIX_GENERATION_PROFILE_DUPLICATE","AFFIX_GENERATION_PROFILE_DUPLICATE","PASS"
"item-profile-unknown-policy","item-profile","AFFIX_SLOT_POLICY_UNKNOWN","AFFIX_SLOT_POLICY_UNKNOWN","AFFIX_SLOT_POLICY_UNKNOWN","PASS"
"item-profile-unknown-pool","item-profile","AFFIX_RANDOM_POOL_UNKNOWN","AFFIX_RANDOM_POOL_UNKNOWN","AFFIX_RANDOM_POOL_UNKNOWN","PASS"
"unresolved-item-profile-content","item-profile","UNRESOLVED_GENERATION_PROFILE_HAS_CONTENT","UNRESOLVED_GENERATION_PROFILE_HAS_CONTENT","UNRESOLVED_GENERATION_PROFILE_HAS_CONTENT","PASS"
"pool-without-random-slot","item-profile","AFFIX_RANDOM_POOL_SLOT_MISMATCH","AFFIX_RANDOM_POOL_SLOT_MISMATCH","AFFIX_RANDOM_POOL_SLOT_MISMATCH","PASS"
"query-affix-success","query","true","true","NONE","PASS"
"query-value-success","query","true","true","NONE","PASS"
"query-slot-success","query","true","true","NONE","PASS"
"query-pool-success","query","true","true","NONE","PASS"
"query-item-success","query","true","true","NONE","PASS"
"query-affix-missing","query","QUERY_AFFIX_NOT_FOUND","QUERY_AFFIX_NOT_FOUND","QUERY_AFFIX_NOT_FOUND","PASS"
"query-value-missing","query","QUERY_AFFIX_VALUE_PROFILE_NOT_FOUND","QUERY_AFFIX_VALUE_PROFILE_NOT_FOUND","QUERY_AFFIX_VALUE_PROFILE_NOT_FOUND","PASS"
"query-slot-missing","query","QUERY_AFFIX_SLOT_POLICY_NOT_FOUND","QUERY_AFFIX_SLOT_POLICY_NOT_FOUND","QUERY_AFFIX_SLOT_POLICY_NOT_FOUND","PASS"
"query-pool-missing","query","QUERY_AFFIX_POOL_NOT_FOUND","QUERY_AFFIX_POOL_NOT_FOUND","QUERY_AFFIX_POOL_NOT_FOUND","PASS"
"query-item-missing","query","QUERY_AFFIX_GENERATION_PROFILE_NOT_FOUND","QUERY_AFFIX_GENERATION_PROFILE_NOT_FOUND","QUERY_AFFIX_GENERATION_PROFILE_NOT_FOUND","PASS"
"query-input-empty","query","QUERY_INPUT_INVALID","QUERY_INPUT_INVALID","QUERY_INPUT_INVALID","PASS"
"canonical-input-reversal","determinism","true","true","NONE","PASS"
"source-mutation-isolated","immutability","true","true","NONE","PASS"
"top-level-read-only","immutability","true","true","NONE","PASS"
"rarity-ranges-read-only","immutability","true","true","NONE","PASS"
"slots-read-only","immutability","true","true","NONE","PASS"
"entries-read-only","immutability","true","true","NONE","PASS"
"mutex-members-read-only","immutability","true","true","NONE","PASS"
"bindings-read-only","immutability","true","true","NONE","PASS"
"no-generation-result-fields","reflection","true","true","NONE","PASS"
