typeName,typeKind,publicProperties,defaultFormalCount,notes
"ItemAffixDefinitionSnapshot","snapshot","affixId|dataMaturityKey|decimalPlaces|direction|displayName|roundingMode|stepUnits|valueUnitKey","0","Read-only schema; no generated result state."
"ItemAffixGenerationProfileSnapshot","snapshot","FixedAffixBindings|baseItemId|dataMaturityKey|randomPoolId|resolutionStatus|slotPolicyId","0","Read-only schema; no generated result state."
"ItemAffixMutexGroupSnapshot","snapshot","AffixIds|mutexGroupId","","Read-only schema; no generated result state."
"ItemAffixNumericRangeSnapshot","snapshot","maxUnits|minUnits","","Read-only schema; no generated result state."
"ItemAffixPoolAndRangeCatalog","static","","","Read-only schema; no generated result state."
"ItemAffixPoolAndRangeCatalogNotice","snapshot","balanceStatus|coverageStatus|dataMaturityKey|fixtureStatus|generationDataStatus","","Read-only schema; no generated result state."
"ItemAffixPoolAndRangeSchema","static","","","Read-only schema; no generated result state."
"ItemAffixPoolAndRangeSchemaSnapshot","snapshot","AffixDefinitions|AffixValueProfiles|ItemGenerationProfiles|RandomPools|SlotPolicies|ValidationErrors|isValid|schemaId","","Read-only schema; no generated result state."
"ItemAffixPoolAndRangeValidationCodes","static","","","Read-only schema; no generated result state."
"ItemAffixPoolAndRangeValidationError","snapshot","code|message","","Read-only schema; no generated result state."
"ItemAffixPoolEntrySnapshot","snapshot","affixId|affixValueProfileId|weightResolutionStatus|weightUnits","","Read-only schema; no generated result state."
"ItemAffixQueryResult`1","snapshot","isSuccess|validationError|value","","Read-only schema; no generated result state."
"ItemAffixRarityValueRangeSnapshot","snapshot","maxUnits|minUnits|rarity","","Read-only schema; no generated result state."
"ItemAffixRepeatPolicy","enum","","","Read-only schema; no generated result state."
"ItemAffixResolutionStatus","enum","","","Read-only schema; no generated result state."
"ItemAffixSlotKind","enum","","","Read-only schema; no generated result state."
"ItemAffixSlotPolicySnapshot","snapshot","Slots|dataMaturityKey|resolutionStatus|slotPolicyId","0","Read-only schema; no generated result state."
"ItemAffixSlotSnapshot","snapshot","slotId|slotKind","","Read-only schema; no generated result state."
"ItemAffixValueProfileSnapshot","snapshot","RarityRanges|affixId|affixValueProfileId|dataMaturityKey|decimalPlaces|direction|resolutionStatus|roundingMode|stepUnits|totalRange","0","Read-only schema; no generated result state."
"ItemAffixWeightResolutionStatus","enum","","","Read-only schema; no generated result state."
"ItemFixedAffixBindingSnapshot","snapshot","affixId|affixValueProfileId|slotId","","Read-only schema; no generated result state."
"ItemRandomAffixPoolSnapshot","snapshot","Entries|MutexGroups|dataMaturityKey|poolId|repeatPolicy|resolutionStatus","0","Read-only schema; no generated result state."
