recordType,id,rarity,detailA,detailB,detailC,detailD,dataMaturity
profile,I001,,affix_damage_up,affix_break_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_break_cooldown:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i001,BALANCE_CANDIDATE
profile,I002,,affix_damage_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_break_cooldown:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i002,BALANCE_CANDIDATE
profile,I003,,affix_break_up,affix_damage_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_array_guard:8|affix_break_cooldown:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i003,BALANCE_CANDIDATE
profile,I004,,affix_control_up,affix_damage_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_break_cooldown:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i004,BALANCE_CANDIDATE
profile,I005,,affix_break_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_break_cooldown:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i005,BALANCE_CANDIDATE
profile,I006,,affix_damage_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_isolated_power:8|affix_break_cooldown:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i006,BALANCE_CANDIDATE
profile,I007,,affix_damage_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_damage_cost_trade:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i007,BALANCE_CANDIDATE
profile,I008,,affix_damage_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_damage_cost_trade:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i008,BALANCE_CANDIDATE
profile,I009,,affix_damage_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_array_guard:8|affix_damage_cost_trade:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i009,BALANCE_CANDIDATE
profile,I010,,affix_damage_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_damage_cost_trade:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i010,BALANCE_CANDIDATE
profile,I011,,affix_damage_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_damage_cost_trade:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i011,BALANCE_CANDIDATE
profile,I012,,affix_damage_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_isolated_power:8|affix_damage_cost_trade:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i012,BALANCE_CANDIDATE
profile,I013,,affix_guard_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_guard_refund:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i013,BALANCE_CANDIDATE
